comparison,checkpoint,site,pairs,records,mean_delta,ci95_low,ci95_high,bootstrap_samples,seed
vision_vs_patch_permutation,step-000000,layer_03_image_mean,200,400,0.0,0.0,0.0,2000,20260880
vision_vs_random_label_probe,step-000000,layer_04_assistant,200,400,0.755,0.7225,0.79,2000,20260815
vision_vs_paired_counterfactual_image,step-000000,layer_04_assistant,200,400,1.0,1.0,1.0,2000,20260888
vision_vs_shuffled_image,step-000000,layer_04_assistant,200,400,0.7625,0.72,0.8,2000,20260889
vision_vs_patch_permutation,step-000000,layer_04_assistant,200,400,0.0,0.0,0.0,2000,20260890
vision_vs_random_label_probe,step-000000,layer_04_image_mean,200,400,0.83,0.7875,0.8675624999999997,2000,20260816
vision_vs_paired_counterfactual_image,step-000000,layer_04_image_mean,200,400,1.0,1.0,1.0,2000,20260898
vision_vs_shuffled_image,step-000000,layer_04_image_mean,200,400,0.7625,0.7225,0.8,2000,20260899
vision_vs_patch_permutation,step-000000,layer_04_image_mean,200,400,0.0,0.0,0.0,2000,20260900
vision_vs_random_label_probe,step-000000,layer_05_assistant,200,400,0.77,0.7275,0.8125,2000,20260817
vision_vs_paired_counterfactual_image,step-000000,layer_05_assistant,200,400,1.0,1.0,1.0,2000,20260908
vision_vs_shuffled_image,step-000000,layer_05_assistant,200,400,0.7625,0.7225,0.8,2000,20260909
vision_vs_patch_permutation,step-000000,layer_05_assistant,200,400,0.0025,0.0,0.0075,2000,20260910
vision_vs_random_label_probe,step-000000,layer_05_image_mean,200,400,0.7525,0.7125,0.7925,2000,20260818
vision_vs_paired_counterfactual_image,step-000000,layer_05_image_mean,200,400,1.0,1.0,1.0,2000,20260918
vision_vs_shuffled_image,step-000000,layer_05_image_mean,200,400,0.7625,0.72,0.8025,2000,20260919
vision_vs_patch_permutation,step-000000,layer_05_image_mean,200,400,0.0,0.0,0.0,2000,20260920
vision_vs_random_label_probe,step-000000,layer_06_assistant,200,400,0.4425,0.3999375,0.49,2000,20260819
vision_vs_paired_counterfactual_image,step-000000,layer_06_assistant,200,400,0.8325,0.79,0.875,2000,20260928
vision_vs_shuffled_image,step-000000,layer_06_assistant,200,400,0.64,0.5925,0.69,2000,20260929
vision_vs_patch_permutation,step-000000,layer_06_assistant,200,400,0.04,-0.0075,0.0875,2000,20260930
vision_vs_random_label_probe,step-000000,layer_06_image_mean,200,400,0.835,0.8024375,0.8675,2000,20260820
vision_vs_paired_counterfactual_image,step-000000,layer_06_image_mean,200,400,1.0,1.0,1.0,2000,20260938
vision_vs_shuffled_image,step-000000,layer_06_image_mean,200,400,0.7625,0.72,0.8025,2000,20260939
vision_vs_patch_permutation,step-000000,layer_06_image_mean,200,400,0.0225,0.01,0.0375,2000,20260940
vision_vs_random_label_probe,step-000000,layer_07_assistant,200,400,0.41,0.3625,0.455,2000,20260821
vision_vs_paired_counterfactual_image,step-000000,layer_07_assistant,200,400,0.7925,0.745,0.8375,2000,20260948
vision_vs_shuffled_image,step-000000,layer_07_assistant,200,400,0.635,0.59,0.6825624999999996,2000,20260949
vision_vs_patch_permutation,step-000000,layer_07_assistant,200,400,0.2025,0.1425,0.2625,2000,20260950
vision_vs_random_label_probe,step-000000,layer_07_image_mean,200,400,0.69,0.645,0.735,2000,20260822
vision_vs_paired_counterfactual_image,step-000000,layer_07_image_mean,200,400,0.7675,0.7224375000000001,0.815,2000,20260958
vision_vs_shuffled_image,step-000000,layer_07_image_mean,200,400,0.6,0.5525,0.6475,2000,20260959
vision_vs_patch_permutation,step-000000,layer_07_image_mean,200,400,0.065,0.0275,0.105,2000,20260960
vision_vs_random_label_probe,step-000000,layer_08_assistant,200,400,0.0725,0.0025,0.14,2000,20260823
vision_vs_paired_counterfactual_image,step-000000,layer_08_assistant,200,400,0.38,0.33,0.4325,2000,20260968
vision_vs_shuffled_image,step-000000,layer_08_assistant,200,400,0.3,0.2525,0.3475,2000,20260969
vision_vs_patch_permutation,step-000000,layer_08_assistant,200,400,-0.1875,-0.2325,-0.1425,2000,20260970
vision_vs_random_label_probe,step-000000,layer_08_image_mean,200,400,0.6375,0.595,0.68,2000,20260824
vision_vs_paired_counterfactual_image,step-000000,layer_08_image_mean,200,400,0.7025,0.6525,0.7525,2000,20260978
vision_vs_shuffled_image,step-000000,layer_08_image_mean,200,400,0.53,0.4825,0.575,2000,20260979
vision_vs_patch_permutation,step-000000,layer_08_image_mean,200,400,-0.03,-0.0650625,0.005,2000,20260980
vision_vs_random_label_probe,step-000000,layer_09_assistant,200,400,0.225,0.1575,0.29,2000,20260825
vision_vs_paired_counterfactual_image,step-000000,layer_09_assistant,200,400,0.3825,0.325,0.4375,2000,20260988
vision_vs_shuffled_image,step-000000,layer_09_assistant,200,400,0.3,0.2574375,0.3475,2000,20260989
vision_vs_patch_permutation,step-000000,layer_09_assistant,200,400,-0.0925,-0.1275,-0.055,2000,20260990
vision_vs_random_label_probe,step-000000,layer_09_image_mean,200,400,0.7225,0.68,0.7625,2000,20260826
vision_vs_paired_counterfactual_image,step-000000,layer_09_image_mean,200,400,0.91,0.875,0.94,2000,20260998
vision_vs_shuffled_image,step-000000,layer_09_image_mean,200,400,0.69,0.6425,0.7375,2000,20260999
vision_vs_patch_permutation,step-000000,layer_09_image_mean,200,400,-0.0125,-0.0375,0.0125,2000,20261000
vision_vs_random_label_probe,step-000000,layer_10_assistant,200,400,0.4625,0.42,0.5075,2000,20260827
vision_vs_paired_counterfactual_image,step-000000,layer_10_assistant,200,400,0.6975,0.645,0.745,2000,20261008
vision_vs_shuffled_image,step-000000,layer_10_assistant,200,400,0.57,0.525,0.615,2000,20261009
vision_vs_patch_permutation,step-000000,layer_10_assistant,200,400,0.19,0.155,0.2275,2000,20261010
vision_vs_random_label_probe,step-000000,layer_10_image_mean,200,400,0.74,0.695,0.7825,2000,20260828
vision_vs_paired_counterfactual_image,step-000000,layer_10_image_mean,200,400,0.845,0.8025,0.885,2000,20261018
vision_vs_shuffled_image,step-000000,layer_10_image_mean,200,400,0.655,0.605,0.7025,2000,20261019
vision_vs_patch_permutation,step-000000,layer_10_image_mean,200,400,0.035,0.012437500000000004,0.06,2000,20261020
vision_vs_random_label_probe,step-000000,layer_11_assistant,200,400,0.5375,0.4875,0.585,2000,20260829
vision_vs_paired_counterfactual_image,step-000000,layer_11_assistant,200,400,0.705,0.6525,0.755,2000,20261028
vision_vs_shuffled_image,step-000000,layer_11_assistant,200,400,0.5575,0.5074375,0.605,2000,20261029
vision_vs_patch_permutation,step-000000,layer_11_assistant,200,400,0.0425,0.0025,0.0825,2000,20261030
vision_vs_random_label_probe,step-000000,layer_11_image_mean,200,400,0.6425,0.6025,0.68,2000,20260830
vision_vs_paired_counterfactual_image,step-000000,layer_11_image_mean,200,400,0.91,0.875,0.94,2000,20261038
vision_vs_shuffled_image,step-000000,layer_11_image_mean,200,400,0.69,0.6425,0.7375,2000,20261039
vision_vs_patch_permutation,step-000000,layer_11_image_mean,200,400,0.07,0.0425,0.1,2000,20261040
vision_vs_random_label_probe,step-000000,layer_12_assistant,200,400,0.7275,0.69,0.7675,2000,20260831
vision_vs_paired_counterfactual_image,step-000000,layer_12_assistant,200,400,1.0,1.0,1.0,2000,20261048
vision_vs_shuffled_image,step-000000,layer_12_assistant,200,400,0.7625,0.72,0.8025,2000,20261049
vision_vs_patch_permutation,step-000000,layer_12_assistant,200,400,0.42,0.375,0.465,2000,20261050
vision_vs_random_label_probe,step-000000,layer_12_image_mean,200,400,0.6025,0.5575,0.6475,2000,20260832
vision_vs_paired_counterfactual_image,step-000000,layer_12_image_mean,200,400,0.7675,0.72,0.815,2000,20261058
vision_vs_shuffled_image,step-000000,layer_12_image_mean,200,400,0.6,0.5524375,0.65,2000,20261059
vision_vs_patch_permutation,step-000000,layer_12_image_mean,200,400,0.015,-0.01,0.04,2000,20261060
vision_vs_random_label_probe,step-000000,layer_13_assistant,200,400,0.45,0.385,0.5125,2000,20260833
vision_vs_paired_counterfactual_image,step-000000,layer_13_assistant,200,400,0.58,0.5225,0.64,2000,20261068
vision_vs_shuffled_image,step-000000,layer_13_assistant,200,400,0.445,0.3975,0.4925624999999996,2000,20261069
vision_vs_patch_permutation,step-000000,layer_13_assistant,200,400,-0.0275,-0.0875,0.0325,2000,20261070
vision_vs_random_label_probe,step-000000,layer_13_image_mean,200,400,0.72,0.6825,0.7575,2000,20260834
vision_vs_paired_counterfactual_image,step-000000,layer_13_image_mean,200,400,0.6975,0.64,0.7475624999999997,2000,20261078
vision_vs_shuffled_image,step-000000,layer_13_image_mean,200,400,0.545,0.495,0.595,2000,20261079
vision_vs_patch_permutation,step-000000,layer_13_image_mean,200,400,0.1375,0.0975,0.18,2000,20261080
vision_vs_random_label_probe,step-000000,layer_14_assistant,200,400,0.255,0.18,0.325,2000,20260835
vision_vs_paired_counterfactual_image,step-000000,layer_14_assistant,200,400,0.31,0.2525,0.3675,2000,20261088
vision_vs_shuffled_image,step-000000,layer_14_assistant,200,400,0.23,0.185,0.275,2000,20261089
vision_vs_patch_permutation,step-000000,layer_14_assistant,200,400,-0.1525,-0.2125,-0.0925,2000,20261090
vision_vs_random_label_probe,step-000000,layer_14_image_mean,200,400,0.615,0.5625,0.6675,2000,20260836
vision_vs_paired_counterfactual_image,step-000000,layer_14_image_mean,200,400,0.745,0.6975,0.795,2000,20261098
vision_vs_shuffled_image,step-000000,layer_14_image_mean,200,400,0.5925,0.5475,0.6375,2000,20261099
vision_vs_patch_permutation,step-000000,layer_14_image_mean,200,400,0.235,0.195,0.275,2000,20261100
vision_vs_random_label_probe,step-000000,layer_15_assistant,200,400,0.06,0.0025,0.1175,2000,20260837
vision_vs_paired_counterfactual_image,step-000000,layer_15_assistant,200,400,0.325,0.2749375,0.37756249999999963,2000,20261108
vision_vs_shuffled_image,step-000000,layer_15_assistant,200,400,0.2425,0.2025,0.2825,2000,20261109
vision_vs_patch_permutation,step-000000,layer_15_assistant,200,400,0.0825,0.04,0.125,2000,20261110
vision_vs_random_label_probe,step-000000,layer_15_image_mean,200,400,0.365,0.3125,0.4175,2000,20260838
vision_vs_paired_counterfactual_image,step-000000,layer_15_image_mean,200,400,0.67,0.615,0.725,2000,20261118
vision_vs_shuffled_image,step-000000,layer_15_image_mean,200,400,0.5325,0.4775,0.5875,2000,20261119
vision_vs_patch_permutation,step-000000,layer_15_image_mean,200,400,0.1825,0.14,0.2275,2000,20261120
vision_vs_random_label_probe,step-000000,layer_16_assistant,200,400,0.04,-0.0225,0.095,2000,20260839
vision_vs_paired_counterfactual_image,step-000000,layer_16_assistant,200,400,0.0,0.0,0.0,2000,20261128
vision_vs_shuffled_image,step-000000,layer_16_assistant,200,400,0.0,0.0,0.0,2000,20261129
vision_vs_patch_permutation,step-000000,layer_16_assistant,200,400,-0.1225,-0.155,-0.0925,2000,20261130
vision_vs_random_label_probe,step-000000,layer_16_image_mean,200,400,0.4275,0.375,0.4825,2000,20260840
vision_vs_paired_counterfactual_image,step-000000,layer_16_image_mean,200,400,0.67,0.615,0.725,2000,20261138
vision_vs_shuffled_image,step-000000,layer_16_image_mean,200,400,0.5325,0.48,0.585,2000,20261139
vision_vs_patch_permutation,step-000000,layer_16_image_mean,200,400,0.2175,0.175,0.2625,2000,20261140
vision_vs_random_label_probe,step-000000,layer_17_assistant,200,400,0.3975,0.325,0.47,2000,20260841
vision_vs_paired_counterfactual_image,step-000000,layer_17_assistant,200,400,0.505,0.4475,0.565,2000,20261148
vision_vs_shuffled_image,step-000000,layer_17_assistant,200,400,0.3775,0.33,0.4225624999999996,2000,20261149
vision_vs_patch_permutation,step-000000,layer_17_assistant,200,400,0.115,0.075,0.1575,2000,20261150
vision_vs_random_label_probe,step-000000,layer_17_image_mean,200,400,0.5025,0.465,0.5425,2000,20260842
vision_vs_paired_counterfactual_image,step-000000,layer_17_image_mean,200,400,0.7675,0.72,0.815,2000,20261158
vision_vs_shuffled_image,step-000000,layer_17_image_mean,200,400,0.6,0.5525,0.6475,2000,20261159
vision_vs_patch_permutation,step-000000,layer_17_image_mean,200,400,0.09,0.0625,0.12,2000,20261160
vision_vs_random_label_probe,step-000000,layer_18_assistant,200,400,0.2175,0.16,0.275,2000,20260843
vision_vs_paired_counterfactual_image,step-000000,layer_18_assistant,200,400,0.165,0.125,0.21,2000,20261168
vision_vs_shuffled_image,step-000000,layer_18_assistant,200,400,0.1275,0.0924375,0.1625,2000,20261169
vision_vs_patch_permutation,step-000000,layer_18_assistant,200,400,0.0125,-0.03,0.055,2000,20261170
vision_vs_random_label_probe,step-000000,layer_18_image_mean,200,400,0.5825,0.545,0.62,2000,20260844
vision_vs_paired_counterfactual_image,step-000000,layer_18_image_mean,200,400,0.7675,0.72,0.8125,2000,20261178
vision_vs_shuffled_image,step-000000,layer_18_image_mean,200,400,0.6,0.55,0.6475,2000,20261179
vision_vs_patch_permutation,step-000000,layer_18_image_mean,200,400,0.0675,0.045,0.0925,2000,20261180
vision_vs_random_label_probe,step-000000,layer_19_assistant,200,400,0.0675,0.02,0.12,2000,20260845
vision_vs_paired_counterfactual_image,step-000000,layer_19_assistant,200,400,0.165,0.125,0.2075,2000,20261188
vision_vs_shuffled_image,step-000000,layer_19_assistant,200,400,0.1275,0.0925,0.1625,2000,20261189
vision_vs_patch_permutation,step-000000,layer_19_assistant,200,400,0.05,0.015,0.0875,2000,20261190
vision_vs_random_label_probe,step-000000,layer_19_image_mean,200,400,0.4275,0.385,0.47,2000,20260846
vision_vs_paired_counterfactual_image,step-000000,layer_19_image_mean,200,400,0.7675,0.7199375,0.8125,2000,20261198
vision_vs_shuffled_image,step-000000,layer_19_image_mean,200,400,0.6,0.5525,0.645,2000,20261199
vision_vs_patch_permutation,step-000000,layer_19_image_mean,200,400,0.075,0.05,0.1,2000,20261200
vision_vs_random_label_probe,step-000000,layer_20_assistant,200,400,0.06,-0.005,0.125,2000,20260847
vision_vs_paired_counterfactual_image,step-000000,layer_20_assistant,200,400,0.1475,0.0925,0.205,2000,20261208
vision_vs_shuffled_image,step-000000,layer_20_assistant,200,400,0.1175,0.0675,0.1675,2000,20261209
vision_vs_patch_permutation,step-000000,layer_20_assistant,200,400,0.0225,-0.03,0.0775,2000,20261210
vision_vs_random_label_probe,step-000000,layer_20_image_mean,200,400,0.41,0.365,0.45506249999999965,2000,20260848
vision_vs_paired_counterfactual_image,step-000000,layer_20_image_mean,200,400,0.7675,0.7199375,0.8125624999999996,2000,20261218
vision_vs_shuffled_image,step-000000,layer_20_image_mean,200,400,0.6,0.5525,0.6475,2000,20261219
vision_vs_patch_permutation,step-000000,layer_20_image_mean,200,400,0.09,0.0625,0.12,2000,20261220
vision_vs_random_label_probe,step-000000,layer_21_assistant,200,400,-0.0075,-0.0625,0.045,2000,20260849
vision_vs_paired_counterfactual_image,step-000000,layer_21_assistant,200,400,-0.0175,-0.065,0.0275,2000,20261228
vision_vs_shuffled_image,step-000000,layer_21_assistant,200,400,0.0125,-0.0275,0.05256249999999966,2000,20261229
vision_vs_patch_permutation,step-000000,layer_21_assistant,200,400,-0.1175,-0.1575,-0.0775,2000,20261230
vision_vs_random_label_probe,step-000000,layer_21_image_mean,200,400,0.6725,0.6325,0.715,2000,20260850
vision_vs_paired_counterfactual_image,step-000000,layer_21_image_mean,200,400,0.845,0.8025,0.885,2000,20261238
vision_vs_shuffled_image,step-000000,layer_21_image_mean,200,400,0.655,0.6025,0.7025,2000,20261239
vision_vs_patch_permutation,step-000000,layer_21_image_mean,200,400,0.1725,0.1375,0.2075,2000,20261240
vision_vs_random_label_probe,step-000000,layer_22_assistant,200,400,0.1475,0.0825,0.2125,2000,20260851
vision_vs_paired_counterfactual_image,step-000000,layer_22_assistant,200,400,0.2475,0.19,0.3025,2000,20261248
vision_vs_shuffled_image,step-000000,layer_22_assistant,200,400,0.2025,0.1575,0.245,2000,20261249
vision_vs_patch_permutation,step-000000,layer_22_assistant,200,400,0.0175,-0.015,0.05,2000,20261250
vision_vs_random_label_probe,step-000000,layer_22_image_mean,200,400,0.475,0.43,0.5225,2000,20260852
vision_vs_paired_counterfactual_image,step-000000,layer_22_image_mean,200,400,0.7675,0.7225,0.815,2000,20261258
vision_vs_shuffled_image,step-000000,layer_22_image_mean,200,400,0.6,0.5525,0.6475,2000,20261259
vision_vs_patch_permutation,step-000000,layer_22_image_mean,200,400,0.11,0.08,0.14006249999999967,2000,20261260
vision_vs_random_label_probe,step-000000,layer_23_assistant,200,400,0.0725,0.0125,0.135,2000,20260853
vision_vs_paired_counterfactual_image,step-000000,layer_23_assistant,200,400,0.1525,0.09,0.2175,2000,20261268
vision_vs_shuffled_image,step-000000,layer_23_assistant,200,400,0.1475,0.0975,0.195,2000,20261269
vision_vs_patch_permutation,step-000000,layer_23_assistant,200,400,-0.0875,-0.125,-0.0525,2000,20261270
vision_vs_random_label_probe,step-000000,layer_23_image_mean,200,400,0.81,0.775,0.8425,2000,20260854
vision_vs_paired_counterfactual_image,step-000000,layer_23_image_mean,200,400,1.0,1.0,1.0,2000,20261278
vision_vs_shuffled_image,step-000000,layer_23_image_mean,200,400,0.7625,0.72,0.8025,2000,20261279
vision_vs_patch_permutation,step-000000,layer_23_image_mean,200,400,0.275,0.2375,0.315,2000,20261280
vision_vs_random_label_probe,step-000000,layer_24_assistant,200,400,0.125,0.065,0.185,2000,20260855
vision_vs_paired_counterfactual_image,step-000000,layer_24_assistant,200,400,0.2475,0.185,0.31,2000,20261288
vision_vs_shuffled_image,step-000000,layer_24_assistant,200,400,0.2175,0.165,0.2725,2000,20261289
vision_vs_patch_permutation,step-000000,layer_24_assistant,200,400,0.035,-0.0125,0.085,2000,20261290
vision_vs_random_label_probe,step-000000,layer_24_image_mean,200,400,0.81,0.7775,0.8425,2000,20260856
vision_vs_paired_counterfactual_image,step-000000,layer_24_image_mean,200,400,1.0,1.0,1.0,2000,20261298
vision_vs_shuffled_image,step-000000,layer_24_image_mean,200,400,0.7625,0.72,0.805,2000,20261299
vision_vs_patch_permutation,step-000000,layer_24_image_mean,200,400,0.3525,0.3075,0.3975,2000,20261300
vision_vs_random_label_probe,step-000000,projector_center_mean,200,400,0.755,0.7125,0.795,2000,20260857
vision_vs_paired_counterfactual_image,step-000000,projector_center_mean,200,400,1.0,1.0,1.0,2000,20261308
vision_vs_shuffled_image,step-000000,projector_center_mean,200,400,0.7625,0.7225,0.8025,2000,20261309
vision_vs_patch_permutation,step-000000,projector_center_mean,200,400,0.0475,0.0275,0.0675,2000,20261310
vision_vs_random_label_probe,step-000000,projector_global_mean,200,400,0.805,0.7725,0.8375,2000,20260858
vision_vs_paired_counterfactual_image,step-000000,projector_global_mean,200,400,1.0,1.0,1.0,2000,20261318
vision_vs_shuffled_image,step-000000,projector_global_mean,200,400,0.7625,0.72,0.8025,2000,20261319
vision_vs_patch_permutation,step-000000,projector_global_mean,200,400,0.0,0.0,0.0,2000,20261320
vision_vs_random_label_probe,step-000000,projector_spatial_2x2,200,400,0.805,0.7725,0.8375,2000,20260859
vision_vs_paired_counterfactual_image,step-000000,projector_spatial_2x2,200,400,1.0,1.0,1.0,2000,20261328
vision_vs_shuffled_image,step-000000,projector_spatial_2x2,200,400,0.7625,0.7225,0.8000624999999997,2000,20261329
vision_vs_patch_permutation,step-000000,projector_spatial_2x2,200,400,0.0,0.0,0.0,2000,20261330
vision_vs_random_label_probe,step-000000,tower_center_mean,200,400,0.8225,0.79,0.855,2000,20260860
vision_vs_paired_counterfactual_image,step-000000,tower_center_mean,200,400,1.0,1.0,1.0,2000,20261338
vision_vs_shuffled_image,step-000000,tower_center_mean,200,400,0.7625,0.7225,0.8000624999999997,2000,20261339
vision_vs_patch_permutation,step-000000,tower_center_mean,200,400,0.1125,0.0825,0.145,2000,20261340
vision_vs_random_label_probe,step-000000,tower_global_mean,200,400,0.7775,0.735,0.8175,2000,20260861
vision_vs_paired_counterfactual_image,step-000000,tower_global_mean,200,400,1.0,1.0,1.0,2000,20261348
vision_vs_shuffled_image,step-000000,tower_global_mean,200,400,0.7625,0.7225,0.8025,2000,20261349
vision_vs_patch_permutation,step-000000,tower_global_mean,200,400,0.0,0.0,0.0,2000,20261350
vision_vs_random_label_probe,step-000000,tower_spatial_2x2,200,400,0.705,0.6625,0.7425,2000,20260862
vision_vs_paired_counterfactual_image,step-000000,tower_spatial_2x2,200,400,1.0,1.0,1.0,2000,20261358
vision_vs_shuffled_image,step-000000,tower_spatial_2x2,200,400,0.7625,0.72,0.8,2000,20261359
vision_vs_patch_permutation,step-000000,tower_spatial_2x2,200,400,0.04,0.0225,0.06,2000,20261360
vision_vs_random_label_probe,step-001500,layer_00_assistant,200,400,0.0,0.0,0.0,2000,20261807
vision_vs_paired_counterfactual_image,step-001500,layer_00_assistant,200,400,0.0,0.0,0.0,2000,20261808
vision_vs_shuffled_image,step-001500,layer_00_assistant,200,400,0.0,0.0,0.0,2000,20261809
vision_vs_patch_permutation,step-001500,layer_00_assistant,200,400,0.0,0.0,0.0,2000,20261810
vision_vs_random_label_probe,step-001500,layer_00_image_mean,200,400,0.3625,0.32,0.405,2000,20261808
vision_vs_paired_counterfactual_image,step-001500,layer_00_image_mean,200,400,0.745,0.6975,0.7975,2000,20261818
vision_vs_shuffled_image,step-001500,layer_00_image_mean,200,400,0.54,0.4925,0.5900624999999996,2000,20261819
vision_vs_patch_permutation,step-001500,layer_00_image_mean,200,400,0.0,0.0,0.0,2000,20261820
vision_vs_random_label_probe,step-001500,layer_01_assistant,200,400,0.0,0.0,0.0,2000,20261809
vision_vs_paired_counterfactual_image,step-001500,layer_01_assistant,200,400,0.0,0.0,0.0,2000,20261828
vision_vs_shuffled_image,step-001500,layer_01_assistant,200,400,0.0,0.0,0.0,2000,20261829
vision_vs_patch_permutation,step-001500,layer_01_assistant,200,400,-0.025,-0.06,0.01,2000,20261830
vision_vs_random_label_probe,step-001500,layer_01_image_mean,200,400,0.295,0.2525,0.3375,2000,20261810
vision_vs_paired_counterfactual_image,step-001500,layer_01_image_mean,200,400,0.745,0.6975,0.7925,2000,20261838
vision_vs_shuffled_image,step-001500,layer_01_image_mean,200,400,0.54,0.49,0.5875624999999997,2000,20261839
vision_vs_patch_permutation,step-001500,layer_01_image_mean,200,400,0.0,0.0,0.0,2000,20261840
vision_vs_random_label_probe,step-001500,layer_02_assistant,200,400,0.2525,0.1899375,0.3175,2000,20261811
vision_vs_paired_counterfactual_image,step-001500,layer_02_assistant,200,400,0.3775,0.3225,0.43,2000,20261848
vision_vs_shuffled_image,step-001500,layer_02_assistant,200,400,0.2925,0.25,0.3375,2000,20261849
vision_vs_patch_permutation,step-001500,layer_02_assistant,200,400,0.045,0.01,0.0775,2000,20261850
vision_vs_random_label_probe,step-001500,layer_02_image_mean,200,400,0.295,0.255,0.3375,2000,20261812
vision_vs_paired_counterfactual_image,step-001500,layer_02_image_mean,200,400,0.745,0.6975,0.7925,2000,20261858
vision_vs_shuffled_image,step-001500,layer_02_image_mean,200,400,0.54,0.4875,0.5850624999999996,2000,20261859
vision_vs_patch_permutation,step-001500,layer_02_image_mean,200,400,0.0,0.0,0.0,2000,20261860
vision_vs_random_label_probe,step-001500,layer_03_assistant,200,400,-0.0525,-0.105,0.0025,2000,20261813
vision_vs_paired_counterfactual_image,step-001500,layer_03_assistant,200,400,0.0,0.0,0.0,2000,20261868
vision_vs_shuffled_image,step-001500,layer_03_assistant,200,400,0.0,0.0,0.0,2000,20261869
vision_vs_patch_permutation,step-001500,layer_03_assistant,200,400,0.0,0.0,0.0,2000,20261870
vision_vs_random_label_probe,step-001500,layer_03_image_mean,200,400,0.295,0.255,0.3375,2000,20261814
vision_vs_paired_counterfactual_image,step-001500,layer_03_image_mean,200,400,0.745,0.695,0.7925,2000,20261878
vision_vs_shuffled_image,step-001500,layer_03_image_mean,200,400,0.54,0.4925,0.5875,2000,20261879
vision_vs_patch_permutation,step-001500,layer_03_image_mean,200,400,0.0,0.0,0.0,2000,20261880
vision_vs_random_label_probe,step-001500,layer_04_assistant,200,400,-0.0525,-0.1075,0.0025,2000,20261815
vision_vs_paired_counterfactual_image,step-001500,layer_04_assistant,200,400,0.0,0.0,0.0,2000,20261888
vision_vs_shuffled_image,step-001500,layer_04_assistant,200,400,0.0,0.0,0.0,2000,20261889
vision_vs_patch_permutation,step-001500,layer_04_assistant,200,400,0.0,0.0,0.0,2000,20261890
vision_vs_random_label_probe,step-001500,layer_04_image_mean,200,400,0.3475,0.305,0.39,2000,20261816
