family,checkpoint_a,intervention_a,checkpoint_b,intervention_b,layer_index,records,pairs,mean_delta,ci95_low,ci95_high,bootstrap_samples,bootstrap_seed
correct_image_minus_assistant,step-000000,correct_image_span,step-000000,correct_assistant,8,100,50,-0.2865625,-0.4709453125,-0.13028906250000014,2000,20260830
correct_image_minus_assistant,step-000000,correct_image_span,step-000000,correct_assistant,9,100,50,-0.343125,-0.51471875,-0.17780468750000006,2000,20260831
correct_image_minus_assistant,step-000000,correct_image_span,step-000000,correct_assistant,10,100,50,-0.3396875,-0.49096875,-0.2021875,2000,20260832
correct_image_minus_assistant,step-000000,correct_image_span,step-000000,correct_assistant,11,100,50,-0.3609375,-0.5121953125,-0.21654687500000008,2000,20260833
correct_image_minus_assistant,step-000000,correct_image_span,step-000000,correct_assistant,12,100,50,-0.375625,-0.5250546875000001,-0.22061718750000003,2000,20260834
correct_image_minus_assistant,step-000000,correct_image_span,step-000000,correct_assistant,13,100,50,-0.41625,-0.582859375,-0.24936718750000006,2000,20260835
correct_image_minus_assistant,step-000000,correct_image_span,step-000000,correct_assistant,14,100,50,-0.1465625,-0.322234375,0.022546874999999744,2000,20260836
correct_image_minus_assistant,step-000000,correct_image_span,step-000000,correct_assistant,15,100,50,-0.1809375,-0.3653515625,-0.012804687500000042,2000,20260837
correct_image_minus_assistant,step-000000,correct_image_span,step-000000,correct_assistant,16,100,50,-0.123125,-0.3128671875,0.05189843749999987,2000,20260838
correct_image_minus_assistant,step-000000,correct_image_span,step-000000,correct_assistant,17,100,50,-0.15625,-0.3384453125,0.02875,2000,20260839
correct_image_minus_assistant,step-000000,correct_image_span,step-000000,correct_assistant,18,100,50,-0.1421875,-0.32501562500000003,0.0309375,2000,20260840
correct_image_minus_assistant,step-000000,correct_image_span,step-000000,correct_assistant,19,100,50,-0.0909375,-0.27220312500000005,0.0934375,2000,20260841
correct_image_minus_assistant,step-000000,correct_image_span,step-000000,correct_assistant,20,100,50,-0.1496875,-0.3234765625,0.009382812499999957,2000,20260842
correct_image_minus_assistant,step-000000,correct_image_span,step-000000,correct_assistant,21,100,50,-0.32875,-0.5121953125,-0.16592968750000003,2000,20260843
correct_image_minus_assistant,step-000000,correct_image_span,step-000000,correct_assistant,22,100,50,-0.151875,-0.31690625,-0.004335937500000214,2000,20260844
correct_image_minus_assistant,step-000000,correct_image_span,step-000000,correct_assistant,23,100,50,0.005625,-0.130015625,0.1431406249999999,2000,20260845
correct_image_minus_wrong_label_donor,step-001500,correct_image_span,step-001500,wrong_label_donor_image_span,0,100,50,0.211875,0.130609375,0.2975312499999998,2000,20260846
correct_image_minus_zero_donor,step-001500,correct_image_span,step-001500,zero_image_span,0,100,50,0.1446875,0.09874218750000001,0.19500781249999996,2000,20260847
correct_image_minus_wrong_label_donor,step-001500,correct_image_span,step-001500,wrong_label_donor_image_span,5,100,50,0.1725,0.13,0.2162656249999999,2000,20260848
correct_image_minus_zero_donor,step-001500,correct_image_span,step-001500,zero_image_span,5,100,50,0.26375,0.21185937500000002,0.32,2000,20260849
correct_image_minus_wrong_label_donor,step-001500,correct_image_span,step-001500,wrong_label_donor_image_span,11,100,50,0.219375,0.14625,0.299375,2000,20260850
correct_image_minus_zero_donor,step-001500,correct_image_span,step-001500,zero_image_span,11,100,50,0.31,0.2275,0.3906406249999999,2000,20260851
correct_image_minus_wrong_label_donor,step-001500,correct_image_span,step-001500,wrong_label_donor_image_span,17,100,50,0.0175,-0.02875,0.06625,2000,20260852
correct_image_minus_zero_donor,step-001500,correct_image_span,step-001500,zero_image_span,17,100,50,-0.0825,-0.12875,-0.043125,2000,20260853
correct_image_minus_wrong_label_donor,step-001500,correct_image_span,step-001500,wrong_label_donor_image_span,23,100,50,0.0,0.0,0.0,2000,20260854
correct_image_minus_zero_donor,step-001500,correct_image_span,step-001500,zero_image_span,23,100,50,0.0,0.0,0.0,2000,20260855
outer_input_minus_center_input,step-001500,input_clean_outer,step-001500,input_clean_center,-1,100,50,0.30125,0.19875,0.4187812499999998,2000,20260856
full_input_minus_outer_input,step-001500,input_clean_full,step-001500,input_clean_outer,-1,100,50,-0.004375,-0.011890624999999998,0.0025,2000,20260857
correct_image_minus_assistant,step-001500,correct_image_span,step-001500,correct_assistant,0,100,50,0.290625,0.195609375,0.3931406249999999,2000,20260858
correct_image_minus_assistant,step-001500,correct_image_span,step-001500,correct_assistant,1,100,50,0.285,0.216234375,0.35564062499999993,2000,20260859
correct_image_minus_assistant,step-001500,correct_image_span,step-001500,correct_assistant,2,100,50,0.285625,0.214375,0.361875,2000,20260860
correct_image_minus_assistant,step-001500,correct_image_span,step-001500,correct_assistant,3,100,50,0.29125,0.228125,0.358125,2000,20260861
correct_image_minus_assistant,step-001500,correct_image_span,step-001500,correct_assistant,4,100,50,0.183125,0.1325,0.233125,2000,20260862
correct_image_minus_assistant,step-001500,correct_image_span,step-001500,correct_assistant,5,100,50,0.259375,0.215625,0.303125,2000,20260863
correct_image_minus_assistant,step-001500,correct_image_span,step-001500,correct_assistant,6,100,50,0.31,0.25560937499999997,0.36375,2000,20260864
correct_image_minus_assistant,step-001500,correct_image_span,step-001500,correct_assistant,7,100,50,0.2625,0.216234375,0.309375,2000,20260865
correct_image_minus_assistant,step-001500,correct_image_span,step-001500,correct_assistant,8,100,50,0.263125,0.216875,0.3125,2000,20260866
correct_image_minus_assistant,step-001500,correct_image_span,step-001500,correct_assistant,9,100,50,0.250625,0.201875,0.300625,2000,20260867
correct_image_minus_assistant,step-001500,correct_image_span,step-001500,correct_assistant,10,100,50,0.205,0.15625,0.2525,2000,20260868
correct_image_minus_assistant,step-001500,correct_image_span,step-001500,correct_assistant,11,100,50,0.35125,0.24375,0.4543906249999999,2000,20260869
correct_image_minus_assistant,step-001500,correct_image_span,step-001500,correct_assistant,12,100,50,0.35,0.176171875,0.5375468749999998,2000,20260870
correct_image_minus_assistant,step-001500,correct_image_span,step-001500,correct_assistant,13,100,50,0.225,0.10498437499999999,0.35314062499999993,2000,20260871
correct_image_minus_assistant,step-001500,correct_image_span,step-001500,correct_assistant,14,100,50,-0.143125,-0.198125,-0.088125,2000,20260872
correct_image_minus_assistant,step-001500,correct_image_span,step-001500,correct_assistant,15,100,50,-0.1125,-0.186265625,-0.04375,2000,20260873
correct_image_minus_assistant,step-001500,correct_image_span,step-001500,correct_assistant,16,100,50,-0.12375,-0.195,-0.056875,2000,20260874
correct_image_minus_assistant,step-001500,correct_image_span,step-001500,correct_assistant,17,100,50,-0.249375,-0.33875,-0.1699843750000001,2000,20260875
correct_image_minus_assistant,step-001500,correct_image_span,step-001500,correct_assistant,18,100,50,-0.28125,-0.38753125,-0.1831093750000001,2000,20260876
correct_image_minus_assistant,step-001500,correct_image_span,step-001500,correct_assistant,19,100,50,-0.304375,-0.40251562500000004,-0.204375,2000,20260877
correct_image_minus_assistant,step-001500,correct_image_span,step-001500,correct_assistant,20,100,50,-0.2425,-0.36375,-0.1387187500000002,2000,20260878
correct_image_minus_assistant,step-001500,correct_image_span,step-001500,correct_assistant,21,100,50,-0.254375,-0.325,-0.1887343750000001,2000,20260879
correct_image_minus_assistant,step-001500,correct_image_span,step-001500,correct_assistant,22,100,50,-0.263125,-0.356890625,-0.171875,2000,20260880
correct_image_minus_assistant,step-001500,correct_image_span,step-001500,correct_assistant,23,100,50,-0.2925,-0.405,-0.1875,2000,20260881
correct_image_minus_wrong_label_donor,step-002000,correct_image_span,step-002000,wrong_label_donor_image_span,0,100,50,0.040625,0.020625,0.060625,2000,20260882
correct_image_minus_zero_donor,step-002000,correct_image_span,step-002000,zero_image_span,0,100,50,0.0303125,0.0103125,0.047820312499999955,2000,20260883
correct_image_minus_wrong_label_donor,step-002000,correct_image_span,step-002000,wrong_label_donor_image_span,5,100,50,0.085625,0.051875,0.118125,2000,20260884
correct_image_minus_zero_donor,step-002000,correct_image_span,step-002000,zero_image_span,5,100,50,0.20625,0.161859375,0.25375,2000,20260885
correct_image_minus_wrong_label_donor,step-002000,correct_image_span,step-002000,wrong_label_donor_image_span,11,100,50,0.07625,0.041234375000000004,0.11,2000,20260886
correct_image_minus_zero_donor,step-002000,correct_image_span,step-002000,zero_image_span,11,100,50,0.060625,0.026875,0.09439062499999991,2000,20260887
correct_image_minus_wrong_label_donor,step-002000,correct_image_span,step-002000,wrong_label_donor_image_span,17,100,50,0.03875,0.0225,0.055,2000,20260888
correct_image_minus_zero_donor,step-002000,correct_image_span,step-002000,zero_image_span,17,100,50,-0.001875,-0.016875,0.01375,2000,20260889
correct_image_minus_wrong_label_donor,step-002000,correct_image_span,step-002000,wrong_label_donor_image_span,23,100,50,0.0,0.0,0.0,2000,20260890
correct_image_minus_zero_donor,step-002000,correct_image_span,step-002000,zero_image_span,23,100,50,0.0,0.0,0.0,2000,20260891
outer_input_minus_center_input,step-002000,input_clean_outer,step-002000,input_clean_center,-1,100,50,0.07625,0.04,0.11,2000,20260892
full_input_minus_outer_input,step-002000,input_clean_full,step-002000,input_clean_outer,-1,100,50,0.009375,0.000625,0.01875,2000,20260893
correct_image_minus_assistant,step-002000,correct_image_span,step-002000,correct_assistant,0,100,50,0.083125,0.055609375,0.11125,2000,20260894
correct_image_minus_assistant,step-002000,correct_image_span,step-002000,correct_assistant,1,100,50,0.114375,0.083125,0.146875,2000,20260895
correct_image_minus_assistant,step-002000,correct_image_span,step-002000,correct_assistant,2,100,50,0.11,0.081875,0.14,2000,20260896
correct_image_minus_assistant,step-002000,correct_image_span,step-002000,correct_assistant,3,100,50,0.131875,0.093734375,0.168125,2000,20260897
correct_image_minus_assistant,step-002000,correct_image_span,step-002000,correct_assistant,4,100,50,0.07375,0.04125,0.1075,2000,20260898
correct_image_minus_assistant,step-002000,correct_image_span,step-002000,correct_assistant,5,100,50,0.16,0.119375,0.20126562499999992,2000,20260899
correct_image_minus_assistant,step-002000,correct_image_span,step-002000,correct_assistant,6,100,50,0.16375,0.114375,0.2112656249999999,2000,20260900
correct_image_minus_assistant,step-002000,correct_image_span,step-002000,correct_assistant,7,100,50,0.146875,0.099359375,0.19625,2000,20260901
correct_image_minus_assistant,step-002000,correct_image_span,step-002000,correct_assistant,8,100,50,0.14125,0.0975,0.18625,2000,20260902
correct_image_minus_assistant,step-002000,correct_image_span,step-002000,correct_assistant,9,100,50,0.145,0.096875,0.18875,2000,20260903
correct_image_minus_assistant,step-002000,correct_image_span,step-002000,correct_assistant,10,100,50,0.125625,0.086875,0.1656406249999999,2000,20260904
correct_image_minus_assistant,step-002000,correct_image_span,step-002000,correct_assistant,11,100,50,0.16625,0.11810937499999999,0.215,2000,20260905
correct_image_minus_assistant,step-002000,correct_image_span,step-002000,correct_assistant,12,100,50,0.1,0.053125,0.15,2000,20260906
correct_image_minus_assistant,step-002000,correct_image_span,step-002000,correct_assistant,13,100,50,0.02,-0.008125,0.0475,2000,20260907
correct_image_minus_assistant,step-002000,correct_image_span,step-002000,correct_assistant,14,100,50,0.0475,0.008734375000000003,0.086875,2000,20260908
correct_image_minus_assistant,step-002000,correct_image_span,step-002000,correct_assistant,15,100,50,0.0575,0.023734375000000002,0.090625,2000,20260909
correct_image_minus_assistant,step-002000,correct_image_span,step-002000,correct_assistant,16,100,50,0.073125,0.03125,0.11501562499999991,2000,20260910
correct_image_minus_assistant,step-002000,correct_image_span,step-002000,correct_assistant,17,100,50,0.02875,-0.001875,0.05939062499999991,2000,20260911
correct_image_minus_assistant,step-002000,correct_image_span,step-002000,correct_assistant,18,100,50,-0.04875,-0.078765625,-0.019375,2000,20260912
correct_image_minus_assistant,step-002000,correct_image_span,step-002000,correct_assistant,19,100,50,-0.080625,-0.11439062500000001,-0.04875,2000,20260913
correct_image_minus_assistant,step-002000,correct_image_span,step-002000,correct_assistant,20,100,50,-0.071875,-0.104390625,-0.039375,2000,20260914
correct_image_minus_assistant,step-002000,correct_image_span,step-002000,correct_assistant,21,100,50,-0.035,-0.06,-0.009375,2000,20260915
correct_image_minus_assistant,step-002000,correct_image_span,step-002000,correct_assistant,22,100,50,-0.076875,-0.099375,-0.0525,2000,20260916
correct_image_minus_assistant,step-002000,correct_image_span,step-002000,correct_assistant,23,100,50,-0.095,-0.12125,-0.07,2000,20260917
checkpoint_effect_delta,step-001500,correct_image_span,step-002000,correct_image_span,0,100,50,0.2025,0.10560937499999999,0.29875,2000,20260918
checkpoint_effect_delta,step-001500,correct_image_span,step-002000,correct_image_span,1,100,50,0.175,0.09625,0.25375,2000,20260919
checkpoint_effect_delta,step-001500,correct_image_span,step-002000,correct_image_span,2,100,50,0.175625,0.097484375,0.25875,2000,20260920
checkpoint_effect_delta,step-001500,correct_image_span,step-002000,correct_image_span,3,100,50,0.1625,0.08873437499999999,0.2425,2000,20260921
checkpoint_effect_delta,step-001500,correct_image_span,step-002000,correct_image_span,4,100,50,0.129375,0.054375,0.203125,2000,20260922
checkpoint_effect_delta,step-001500,correct_image_span,step-002000,correct_image_span,5,100,50,0.12,0.055,0.18564062499999992,2000,20260923
checkpoint_effect_delta,step-001500,correct_image_span,step-002000,correct_image_span,6,100,50,0.14,0.079375,0.2031406249999999,2000,20260924
checkpoint_effect_delta,step-001500,correct_image_span,step-002000,correct_image_span,7,100,50,0.139375,0.07125,0.2062656249999999,2000,20260925
checkpoint_effect_delta,step-001500,correct_image_span,step-002000,correct_image_span,8,100,50,0.12875,0.065,0.19751562499999992,2000,20260926
checkpoint_effect_delta,step-001500,correct_image_span,step-002000,correct_image_span,9,100,50,0.118125,0.04625,0.190625,2000,20260927
checkpoint_effect_delta,step-001500,correct_image_span,step-002000,correct_image_span,10,100,50,0.095625,0.036875,0.15439062499999992,2000,20260928
checkpoint_effect_delta,step-001500,correct_image_span,step-002000,correct_image_span,11,100,50,0.221875,0.13375,0.3093906249999999,2000,20260929
checkpoint_effect_delta,step-001500,correct_image_span,step-002000,correct_image_span,12,100,50,0.179375,0.081234375,0.2862656249999999,2000,20260930
checkpoint_effect_delta,step-001500,correct_image_span,step-002000,correct_image_span,13,100,50,0.145625,0.076859375,0.2256406249999999,2000,20260931
checkpoint_effect_delta,step-001500,correct_image_span,step-002000,correct_image_span,14,100,50,-0.05,-0.09625,-0.004375,2000,20260932
checkpoint_effect_delta,step-001500,correct_image_span,step-002000,correct_image_span,15,100,50,-0.0225,-0.078125,0.034375,2000,20260933
checkpoint_effect_delta,step-001500,correct_image_span,step-002000,correct_image_span,16,100,50,-0.045625,-0.09626562500000001,0.005,2000,20260934
checkpoint_effect_delta,step-001500,correct_image_span,step-002000,correct_image_span,17,100,50,-0.06625,-0.1225,-0.01684375000000017,2000,20260935
checkpoint_effect_delta,step-001500,correct_image_span,step-002000,correct_image_span,18,100,50,-0.0525,-0.0875,-0.020625,2000,20260936
checkpoint_effect_delta,step-001500,correct_image_span,step-002000,correct_image_span,19,100,50,-0.051875,-0.086265625,-0.020625,2000,20260937
checkpoint_effect_delta,step-001500,correct_image_span,step-002000,correct_image_span,20,100,50,0.005625,-0.010015624999999998,0.0225,2000,20260938
checkpoint_effect_delta,step-001500,correct_image_span,step-002000,correct_image_span,21,100,50,-0.023125,-0.04375,-0.00125,2000,20260939
checkpoint_effect_delta,step-001500,correct_image_span,step-002000,correct_image_span,22,100,50,-0.009375,-0.016875,-0.00125,2000,20260940
checkpoint_effect_delta,step-001500,correct_image_span,step-002000,correct_image_span,23,100,50,0.0,0.0,0.0,2000,20260941
checkpoint_effect_delta,step-001500,correct_assistant,step-002000,correct_assistant,0,100,50,-0.005,-0.017515625,0.008125,2000,20260942
checkpoint_effect_delta,step-001500,correct_assistant,step-002000,correct_assistant,1,100,50,0.004375,-0.0075,0.014375,2000,20260943
checkpoint_effect_delta,step-001500,correct_assistant,step-002000,correct_assistant,2,100,50,0.0,-0.01625,0.014375,2000,20260944
checkpoint_effect_delta,step-001500,correct_assistant,step-002000,correct_assistant,3,100,50,0.003125,-0.0075,0.01375,2000,20260945
checkpoint_effect_delta,step-001500,correct_assistant,step-002000,correct_assistant,4,100,50,0.02,0.0075,0.033125,2000,20260946
checkpoint_effect_delta,step-001500,correct_assistant,step-002000,correct_assistant,5,100,50,0.020625,0.004375,0.039375,2000,20260947
checkpoint_effect_delta,step-001500,correct_assistant,step-002000,correct_assistant,6,100,50,-0.00625,-0.023125,0.013125,2000,20260948
checkpoint_effect_delta,step-001500,correct_assistant,step-002000,correct_assistant,7,100,50,0.02375,0.00875,0.04,2000,20260949
checkpoint_effect_delta,step-001500,correct_assistant,step-002000,correct_assistant,8,100,50,0.006875,-0.00875,0.023125,2000,20260950
checkpoint_effect_delta,step-001500,correct_assistant,step-002000,correct_assistant,9,100,50,0.0125,-0.004375,0.03,2000,20260951
checkpoint_effect_delta,step-001500,correct_assistant,step-002000,correct_assistant,10,100,50,0.01625,0.00125,0.03375,2000,20260952
checkpoint_effect_delta,step-001500,correct_assistant,step-002000,correct_assistant,11,100,50,0.036875,0.013125,0.06375,2000,20260953
checkpoint_effect_delta,step-001500,correct_assistant,step-002000,correct_assistant,12,100,50,-0.070625,-0.110015625,-0.03375,2000,20260954
checkpoint_effect_delta,step-001500,correct_assistant,step-002000,correct_assistant,13,100,50,-0.059375,-0.090015625,-0.0275,2000,20260955
checkpoint_effect_delta,step-001500,correct_assistant,step-002000,correct_assistant,14,100,50,0.140625,0.098125,0.181875,2000,20260956
checkpoint_effect_delta,step-001500,correct_assistant,step-002000,correct_assistant,15,100,50,0.1475,0.10685937499999999,0.19,2000,20260957
checkpoint_effect_delta,step-001500,correct_assistant,step-002000,correct_assistant,16,100,50,0.15125,0.1025,0.20126562499999992,2000,20260958
checkpoint_effect_delta,step-001500,correct_assistant,step-002000,correct_assistant,17,100,50,0.211875,0.144359375,0.276875,2000,20260959
checkpoint_effect_delta,step-001500,correct_assistant,step-002000,correct_assistant,18,100,50,0.18,0.10373437499999999,0.26375,2000,20260960
checkpoint_effect_delta,step-001500,correct_assistant,step-002000,correct_assistant,19,100,50,0.171875,0.100625,0.25,2000,20260961
checkpoint_effect_delta,step-001500,correct_assistant,step-002000,correct_assistant,20,100,50,0.17625,0.079984375,0.2843906249999999,2000,20260962
checkpoint_effect_delta,step-001500,correct_assistant,step-002000,correct_assistant,21,100,50,0.19625,0.115609375,0.280625,2000,20260963
checkpoint_effect_delta,step-001500,correct_assistant,step-002000,correct_assistant,22,100,50,0.176875,0.086875,0.2775,2000,20260964
checkpoint_effect_delta,step-001500,correct_assistant,step-002000,correct_assistant,23,100,50,0.1975,0.0975,0.2975312499999998,2000,20260965
checkpoint_effect_delta,step-001500,correct_image_span,step-000000,correct_image_span,0,100,50,0.2265625,0.07373437499999999,0.3821953125,2000,20260966
checkpoint_effect_delta,step-001500,correct_image_span,step-000000,correct_image_span,1,100,50,0.1609375,0.0178046875,0.2959453125,2000,20260967
checkpoint_effect_delta,step-001500,correct_image_span,step-000000,correct_image_span,2,100,50,0.14,0.008359375000000006,0.2803203125,2000,20260968
checkpoint_effect_delta,step-001500,correct_image_span,step-000000,correct_image_span,3,100,50,0.165625,0.0381015625,0.2962578125,2000,20260969
checkpoint_effect_delta,step-001500,correct_image_span,step-000000,correct_image_span,4,100,50,0.2009375,0.07530468750000001,0.3350078125,2000,20260970
checkpoint_effect_delta,step-001500,correct_image_span,step-000000,correct_image_span,5,100,50,0.3415625,0.212484375,0.4831328125,2000,20260971
checkpoint_effect_delta,step-001500,correct_image_span,step-000000,correct_image_span,6,100,50,0.521875,0.3693359375,0.6803125,2000,20260972
checkpoint_effect_delta,step-001500,correct_image_span,step-000000,correct_image_span,7,100,50,0.4759375,0.32654687499999996,0.6240625,2000,20260973
checkpoint_effect_delta,step-001500,correct_image_span,step-000000,correct_image_span,8,100,50,0.4809375,0.3281171875,0.6403281249999999,2000,20260974
checkpoint_effect_delta,step-001500,correct_image_span,step-000000,correct_image_span,9,100,50,0.4440625,0.30840625,0.58625,2000,20260975
checkpoint_effect_delta,step-001500,correct_image_span,step-000000,correct_image_span,10,100,50,0.3671875,0.245625,0.4947109374999999,2000,20260976
checkpoint_effect_delta,step-001500,correct_image_span,step-000000,correct_image_span,11,100,50,0.5715625,0.4046875,0.7578203124999999,2000,20260977
checkpoint_effect_delta,step-001500,correct_image_span,step-000000,correct_image_span,12,100,50,0.3890625,0.23434375,0.5412578124999999,2000,20260978
checkpoint_effect_delta,step-001500,correct_image_span,step-000000,correct_image_span,13,100,50,0.3365625,0.1912265625,0.46688281249999997,2000,20260979
checkpoint_effect_delta,step-001500,correct_image_span,step-000000,correct_image_span,14,100,50,0.0721875,-0.0378125,0.18344531249999996,2000,20260980
checkpoint_effect_delta,step-001500,correct_image_span,step-000000,correct_image_span,15,100,50,0.1378125,0.027796875000000002,0.2518906249999999,2000,20260981
checkpoint_effect_delta,step-001500,correct_image_span,step-000000,correct_image_span,16,100,50,0.081875,-0.032507812500000004,0.18502343749999986,2000,20260982
checkpoint_effect_delta,step-001500,correct_image_span,step-000000,correct_image_span,17,100,50,0.0415625,-0.0609453125,0.13532031249999996,2000,20260983
checkpoint_effect_delta,step-001500,correct_image_span,step-000000,correct_image_span,18,100,50,0.02875,-0.0690859375,0.11938281249999995,2000,20260984
checkpoint_effect_delta,step-001500,correct_image_span,step-000000,correct_image_span,19,100,50,-0.0075,-0.0962578125,0.08125,2000,20260985
checkpoint_effect_delta,step-001500,correct_image_span,step-000000,correct_image_span,20,100,50,0.10625,0.0303125,0.19,2000,20260986
checkpoint_effect_delta,step-001500,correct_image_span,step-000000,correct_image_span,21,100,50,0.205625,0.13371093750000002,0.2843984374999999,2000,20260987
checkpoint_effect_delta,step-001500,correct_image_span,step-000000,correct_image_span,22,100,50,0.11,0.0584296875,0.16375,2000,20260988
checkpoint_effect_delta,step-001500,correct_image_span,step-000000,correct_image_span,23,100,50,0.0,0.0,0.0,2000,20260989
checkpoint_effect_delta,step-001500,correct_assistant,step-000000,correct_assistant,0,100,50,0.005625,-0.02125,0.031570312499999954,2000,20260990
checkpoint_effect_delta,step-001500,correct_assistant,step-000000,correct_assistant,1,100,50,-0.005,-0.0253203125,0.0178125,2000,20260991
checkpoint_effect_delta,step-001500,correct_assistant,step-000000,correct_assistant,2,100,50,-0.0159375,-0.0378125,0.007507812499999957,2000,20260992
checkpoint_effect_delta,step-001500,correct_assistant,step-000000,correct_assistant,3,100,50,-0.0234375,-0.0446875,-0.0024921875000000425,2000,20260993
checkpoint_effect_delta,step-001500,correct_assistant,step-000000,correct_assistant,4,100,50,0.0265625,0.004375,0.0484375,2000,20260994
checkpoint_effect_delta,step-001500,correct_assistant,step-000000,correct_assistant,5,100,50,0.0325,-0.021875,0.08657031249999995,2000,20260995
checkpoint_effect_delta,step-001500,correct_assistant,step-000000,correct_assistant,6,100,50,-0.0496875,-0.10126562500000001,0.005945312499999958,2000,20260996
checkpoint_effect_delta,step-001500,correct_assistant,step-000000,correct_assistant,7,100,50,-0.0340625,-0.09469531249999999,0.025023437499999874,2000,20260997
checkpoint_effect_delta,step-001500,correct_assistant,step-000000,correct_assistant,8,100,50,-0.06875,-0.1290703125,-0.003414062500000128,2000,20260998
checkpoint_effect_delta,step-001500,correct_assistant,step-000000,correct_assistant,9,100,50,-0.1496875,-0.222203125,-0.0765468750000001,2000,20260999
checkpoint_effect_delta,step-001500,correct_assistant,step-000000,correct_assistant,10,100,50,-0.1775,-0.24375,-0.10685156250000012,2000,20261000
checkpoint_effect_delta,step-001500,correct_assistant,step-000000,correct_assistant,11,100,50,-0.140625,-0.21032031250000002,-0.06278906250000012,2000,20261001
checkpoint_effect_delta,step-001500,correct_assistant,step-000000,correct_assistant,12,100,50,-0.3365625,-0.44751562500000003,-0.22686718750000004,2000,20261002
checkpoint_effect_delta,step-001500,correct_assistant,step-000000,correct_assistant,13,100,50,-0.3046875,-0.4140625,-0.19778906250000014,2000,20261003
checkpoint_effect_delta,step-001500,correct_assistant,step-000000,correct_assistant,14,100,50,0.06875,-0.0096875,0.14032031249999996,2000,20261004
checkpoint_effect_delta,step-001500,correct_assistant,step-000000,correct_assistant,15,100,50,0.069375,-0.036906249999999995,0.17438281249999996,2000,20261005
checkpoint_effect_delta,step-001500,correct_assistant,step-000000,correct_assistant,16,100,50,0.0825,-0.0231328125,0.18969531249999996,2000,20261006
checkpoint_effect_delta,step-001500,correct_assistant,step-000000,correct_assistant,17,100,50,0.1346875,0.0281171875,0.2397031249999999,2000,20261007
checkpoint_effect_delta,step-001500,correct_assistant,step-000000,correct_assistant,18,100,50,0.1678125,0.02625,0.3068984374999999,2000,20261008
checkpoint_effect_delta,step-001500,correct_assistant,step-000000,correct_assistant,19,100,50,0.2059375,0.0787421875,0.33567187499999973,2000,20261009
