checkpoint,intervention,layer_index,records,pairs,mean_clean_margin,mean_counterfactual_margin,mean_patched_margin,mean_effect,effect_ci95_low,effect_ci95_high,patched_preference_rate,bootstrap_samples,bootstrap_seed
step-000000,correct_image_span,0,100,50,-0.0028125,0.0028125,0.055625,0.0528125,-0.07625,0.19032031249999995,0.54,2000,20280831
step-000000,correct_image_span,1,100,50,-0.0028125,0.0028125,0.124375,0.1215625,-0.021281249999999998,0.2725,0.54,2000,20280832
step-000000,correct_image_span,2,100,50,-0.0028125,0.0028125,0.1390625,0.13625,-0.0072031249999999995,0.28469531249999996,0.51,2000,20280833
step-000000,correct_image_span,3,100,50,-0.0028125,0.0028125,0.1203125,0.1175,-0.023460937499999997,0.2668906249999999,0.54,2000,20280834
step-000000,correct_image_span,4,100,50,-0.0028125,0.0028125,0.0025,-0.0003125,-0.12719531250000002,0.1353515624999998,0.54,2000,20280835
step-000000,correct_image_span,5,100,50,-0.0028125,0.0028125,-0.0725,-0.0753125,-0.21813281250000002,0.05907031249999995,0.54,2000,20280836
step-000000,correct_image_span,6,100,50,-0.0028125,0.0028125,-0.2259375,-0.22875,-0.37657812500000004,-0.10185937500000009,0.5,2000,20280837
step-000000,correct_image_span,7,100,50,-0.0028125,0.0028125,-0.196875,-0.1996875,-0.3425234375,-0.06280468750000004,0.5,2000,20280838
step-000000,correct_image_span,8,100,50,-0.0028125,0.0028125,-0.21625,-0.2190625,-0.3587578125,-0.07966406250000012,0.5,2000,20280839
step-000000,correct_image_span,9,100,50,-0.0028125,0.0028125,-0.196875,-0.1996875,-0.3441015625,-0.060929687500000045,0.5,2000,20280840
step-000000,correct_image_span,10,100,50,-0.0028125,0.0028125,-0.160625,-0.1634375,-0.2825390625,-0.046242187500000045,0.5,2000,20280841
step-000000,correct_image_span,11,100,50,-0.0028125,0.0028125,-0.215,-0.2178125,-0.35125,-0.09185156250000012,0.5,2000,20280842
step-000000,correct_image_span,12,100,50,-0.0028125,0.0028125,-0.12375,-0.1265625,-0.2484375,-0.0084375,0.5,2000,20280843
step-000000,correct_image_span,13,100,50,-0.0028125,0.0028125,-0.13625,-0.1390625,-0.2678125,-0.009367187500000042,0.46,2000,20280844
step-000000,correct_image_span,14,100,50,-0.0028125,0.0028125,-0.05,-0.0528125,-0.16064062499999998,0.06064062499999991,0.57,2000,20280845
step-000000,correct_image_span,15,100,50,-0.0028125,0.0028125,-0.07125,-0.0740625,-0.186265625,0.04128124999999983,0.54,2000,20280846
step-000000,correct_image_span,16,100,50,-0.0028125,0.0028125,-0.0403125,-0.043125,-0.1578203125,0.06532031249999995,0.57,2000,20280847
step-000000,correct_image_span,17,100,50,-0.0028125,0.0028125,-0.043125,-0.0459375,-0.1578125,0.06282031249999995,0.54,2000,20280848
step-000000,correct_image_span,18,100,50,-0.0028125,0.0028125,-0.0609375,-0.06375,-0.1675,0.04251562499999992,0.54,2000,20280849
step-000000,correct_image_span,19,100,50,-0.0028125,0.0028125,-0.0428125,-0.045625,-0.153765625,0.06439062499999991,0.54,2000,20280850
step-000000,correct_image_span,20,100,50,-0.0028125,0.0028125,-0.0946875,-0.0975,-0.1803203125,-0.01842968750000004,0.5,2000,20280851
step-000000,correct_image_span,21,100,50,-0.0028125,0.0028125,-0.1990625,-0.201875,-0.27125,-0.13092968750000006,0.46,2000,20280852
step-000000,correct_image_span,22,100,50,-0.0028125,0.0028125,-0.1071875,-0.11,-0.1631328125,-0.05875,0.5,2000,20280853
step-000000,correct_image_span,23,100,50,-0.0028125,0.0028125,0.0028125,0.0,0.0,0.0,0.46,2000,20280854
step-000000,input_clean_center,-1,100,50,-0.0028125,0.0028125,0.1675,0.1646875,0.12280468750000001,0.20532031249999996,0.5,2000,20280855
step-000000,input_clean_full,-1,100,50,-0.0028125,0.0028125,-0.0028125,-0.005625,-0.1419375,0.12439062499999991,0.54,2000,20280856
step-000000,input_clean_outer,-1,100,50,-0.0028125,0.0028125,-0.1675,-0.1703125,-0.3062578125,-0.029984375000000084,0.5,2000,20280857
step-000000,wrong_label_donor_image_span,0,100,50,-0.0028125,0.0028125,0.07375,0.0709375,-0.0290625,0.17282031249999996,0.46,2000,20280858
step-000000,wrong_label_donor_image_span,5,100,50,-0.0028125,0.0028125,-0.013125,-0.0159375,-0.102515625,0.0696875,0.49,2000,20280859
step-000000,wrong_label_donor_image_span,11,100,50,-0.0028125,0.0028125,-0.0440625,-0.046875,-0.1153203125,0.018445312499999957,0.49,2000,20280860
step-000000,wrong_label_donor_image_span,17,100,50,-0.0028125,0.0028125,0.0015625,-0.00125,-0.064390625,0.061875,0.49,2000,20280861
step-000000,wrong_label_donor_image_span,23,100,50,-0.0028125,0.0028125,0.0028125,0.0,0.0,0.0,0.46,2000,20280862
step-000000,zero_image_span,0,100,50,-0.0028125,0.0028125,0.050625,0.0478125,-0.0240625,0.1234375,0.5,2000,20280863
step-000000,zero_image_span,5,100,50,-0.0028125,0.0028125,-0.04625,-0.0490625,-0.1650234375,0.06157031249999995,0.49,2000,20280864
step-000000,zero_image_span,11,100,50,-0.0028125,0.0028125,0.1040625,0.10125,0.021558593749999997,0.18986718749999987,0.5,2000,20280865
step-000000,zero_image_span,17,100,50,-0.0028125,0.0028125,-0.131875,-0.1346875,-0.203140625,-0.06967968750000005,0.45,2000,20280866
step-000000,zero_image_span,23,100,50,-0.0028125,0.0028125,0.0028125,0.0,0.0,0.0,0.46,2000,20280867
step-001500,correct_assistant,0,100,50,0.14625,-0.14625,-0.1575,-0.01125,-0.02,-0.003125,0.43,2000,20280868
step-001500,correct_assistant,1,100,50,0.14625,-0.14625,-0.14875,-0.0025,-0.010625,0.005,0.43,2000,20280869
step-001500,correct_assistant,2,100,50,0.14625,-0.14625,-0.155625,-0.009375,-0.019390624999999998,0.0,0.43,2000,20280870
step-001500,correct_assistant,3,100,50,0.14625,-0.14625,-0.154375,-0.008125,-0.015,-0.0012343750000000852,0.43,2000,20280871
step-001500,correct_assistant,4,100,50,0.14625,-0.14625,-0.12875,0.0175,0.006875,0.02875,0.43,2000,20280872
step-001500,correct_assistant,5,100,50,0.14625,-0.14625,-0.139375,0.006875,-0.01125,0.025,0.43,2000,20280873
step-001500,correct_assistant,6,100,50,0.14625,-0.14625,-0.163125,-0.016875,-0.033125,0.0,0.43,2000,20280874
step-001500,correct_assistant,7,100,50,0.14625,-0.14625,-0.1325,0.01375,-0.00625,0.035625,0.43,2000,20280875
step-001500,correct_assistant,8,100,50,0.14625,-0.14625,-0.1475,-0.00125,-0.02,0.018140624999999914,0.43,2000,20280876
step-001500,correct_assistant,9,100,50,0.14625,-0.14625,-0.1525,-0.00625,-0.025,0.011875,0.43,2000,20280877
step-001500,correct_assistant,10,100,50,0.14625,-0.14625,-0.1475,-0.00125,-0.0175,0.016875,0.43,2000,20280878
step-001500,correct_assistant,11,100,50,0.14625,-0.14625,-0.14375,0.0025,-0.015625,0.020625,0.43,2000,20280879
step-001500,correct_assistant,12,100,50,0.14625,-0.14625,-0.23375,-0.0875,-0.14875,-0.03125,0.47,2000,20280880
step-001500,correct_assistant,13,100,50,0.14625,-0.14625,-0.17375,-0.0275,-0.073125,0.015640624999999915,0.5,2000,20280881
step-001500,correct_assistant,14,100,50,0.14625,-0.14625,0.01625,0.1625,0.13498437500000002,0.189375,0.57,2000,20280882
step-001500,correct_assistant,15,100,50,0.14625,-0.14625,0.03,0.17625,0.142484375,0.21375,0.54,2000,20280883
step-001500,correct_assistant,16,100,50,0.14625,-0.14625,0.01625,0.1625,0.128734375,0.1943906249999999,0.51,2000,20280884
step-001500,correct_assistant,17,100,50,0.14625,-0.14625,0.09875,0.245,0.186875,0.304375,0.48,2000,20280885
step-001500,correct_assistant,18,100,50,0.14625,-0.14625,0.1,0.24625,0.159375,0.33753124999999984,0.46,2000,20280886
step-001500,correct_assistant,19,100,50,0.14625,-0.14625,0.105,0.25125,0.168125,0.3362656249999999,0.5,2000,20280887
step-001500,correct_assistant,20,100,50,0.14625,-0.14625,0.105,0.25125,0.15185937500000002,0.3575156249999999,0.47,2000,20280888
step-001500,correct_assistant,21,100,50,0.14625,-0.14625,0.111875,0.258125,0.179953125,0.3468906249999999,0.57,2000,20280889
step-001500,correct_assistant,22,100,50,0.14625,-0.14625,0.116875,0.263125,0.174375,0.3668906249999999,0.54,2000,20280890
step-001500,correct_assistant,23,100,50,0.14625,-0.14625,0.113125,0.259375,0.16375,0.3525,0.5,2000,20280891
step-001500,correct_image_span,0,100,50,0.14625,-0.14625,0.133125,0.279375,0.17810937500000001,0.3806406249999999,0.57,2000,20280892
step-001500,correct_image_span,1,100,50,0.14625,-0.14625,0.13625,0.2825,0.2075,0.36125,0.57,2000,20280893
step-001500,correct_image_span,2,100,50,0.14625,-0.14625,0.13,0.27625,0.199375,0.35625,0.57,2000,20280894
step-001500,correct_image_span,3,100,50,0.14625,-0.14625,0.136875,0.283125,0.2175,0.3512656249999999,0.57,2000,20280895
step-001500,correct_image_span,4,100,50,0.14625,-0.14625,0.054375,0.200625,0.145,0.26189062499999993,0.53,2000,20280896
step-001500,correct_image_span,5,100,50,0.14625,-0.14625,0.12,0.26625,0.209375,0.325625,0.57,2000,20280897
step-001500,correct_image_span,6,100,50,0.14625,-0.14625,0.146875,0.293125,0.23125,0.3550156249999999,0.57,2000,20280898
step-001500,correct_image_span,7,100,50,0.14625,-0.14625,0.13,0.27625,0.219984375,0.335,0.57,2000,20280899
step-001500,correct_image_span,8,100,50,0.14625,-0.14625,0.115625,0.261875,0.204984375,0.3237656249999999,0.57,2000,20280900
step-001500,correct_image_span,9,100,50,0.14625,-0.14625,0.098125,0.244375,0.185,0.306875,0.57,2000,20280901
step-001500,correct_image_span,10,100,50,0.14625,-0.14625,0.0575,0.20375,0.15375,0.25625,0.57,2000,20280902
step-001500,correct_image_span,11,100,50,0.14625,-0.14625,0.2075,0.35375,0.250625,0.4568906249999999,0.57,2000,20280903
step-001500,correct_image_span,12,100,50,0.14625,-0.14625,0.11625,0.2625,0.15125,0.3987656249999999,0.5,2000,20280904
step-001500,correct_image_span,13,100,50,0.14625,-0.14625,0.05125,0.1975,0.116234375,0.284375,0.51,2000,20280905
step-001500,correct_image_span,14,100,50,0.14625,-0.14625,-0.126875,0.019375,-0.0325,0.0725156249999999,0.43,2000,20280906
step-001500,correct_image_span,15,100,50,0.14625,-0.14625,-0.0825,0.06375,-0.006875,0.13501562499999992,0.43,2000,20280907
step-001500,correct_image_span,16,100,50,0.14625,-0.14625,-0.1075,0.03875,-0.024390625,0.10875,0.43,2000,20280908
step-001500,correct_image_span,17,100,50,0.14625,-0.14625,-0.150625,-0.004375,-0.06940625,0.05814062499999992,0.43,2000,20280909
step-001500,correct_image_span,18,100,50,0.14625,-0.14625,-0.18125,-0.035,-0.066875,-0.00375,0.43,2000,20280910
step-001500,correct_image_span,19,100,50,0.14625,-0.14625,-0.199375,-0.053125,-0.0925,-0.015,0.43,2000,20280911
step-001500,correct_image_span,20,100,50,0.14625,-0.14625,-0.1375,0.00875,-0.0075,0.025625,0.46,2000,20280912
step-001500,correct_image_span,21,100,50,0.14625,-0.14625,-0.1425,0.00375,-0.0175,0.025625,0.43,2000,20280913
step-001500,correct_image_span,22,100,50,0.14625,-0.14625,-0.14625,0.0,-0.0075,0.0075,0.43,2000,20280914
step-001500,correct_image_span,23,100,50,0.14625,-0.14625,-0.14625,0.0,0.0,0.0,0.43,2000,20280915
step-001500,input_clean_center,-1,100,50,0.14625,-0.14625,-0.150625,-0.004375,-0.011875,0.0025,0.43,2000,20280916
step-001500,input_clean_full,-1,100,50,0.14625,-0.14625,0.14625,0.2925,0.19125,0.40125,0.57,2000,20280917
step-001500,input_clean_outer,-1,100,50,0.14625,-0.14625,0.150625,0.296875,0.19625,0.4087812499999998,0.57,2000,20280918
step-001500,wrong_label_donor_image_span,0,100,50,0.14625,-0.14625,-0.07875,0.0675,0.007484375000000001,0.125625,0.45,2000,20280919
step-001500,wrong_label_donor_image_span,5,100,50,0.14625,-0.14625,-0.0525,0.09375,0.059984375,0.130625,0.48,2000,20280920
step-001500,wrong_label_donor_image_span,11,100,50,0.14625,-0.14625,-0.011875,0.134375,0.07,0.204375,0.48,2000,20280921
step-001500,wrong_label_donor_image_span,17,100,50,0.14625,-0.14625,-0.168125,-0.021875,-0.059375,0.016890624999999916,0.43,2000,20280922
step-001500,wrong_label_donor_image_span,23,100,50,0.14625,-0.14625,-0.14625,0.0,0.0,0.0,0.43,2000,20280923
step-001500,zero_image_span,0,100,50,0.14625,-0.14625,-0.0115625,0.1346875,0.0803125,0.19282031249999995,0.5,2000,20280924
step-001500,zero_image_span,5,100,50,0.14625,-0.14625,-0.14375,0.0025,-0.03875,0.043125,0.5,2000,20280925
step-001500,zero_image_span,11,100,50,0.14625,-0.14625,-0.1025,0.04375,-0.001875,0.088125,0.5,2000,20280926
step-001500,zero_image_span,17,100,50,0.14625,-0.14625,-0.068125,0.078125,0.04875,0.10875,0.39,2000,20280927
step-001500,zero_image_span,23,100,50,0.14625,-0.14625,-0.14625,0.0,0.0,0.0,0.43,2000,20280928
step-002000,correct_assistant,0,100,50,0.0475,-0.0475,-0.05375,-0.00625,-0.013125,0.0,0.5,2000,20280929
step-002000,correct_assistant,1,100,50,0.0475,-0.0475,-0.054375,-0.006875,-0.014375,0.000625,0.5,2000,20280930
step-002000,correct_assistant,2,100,50,0.0475,-0.0475,-0.056875,-0.009375,-0.01625,-0.00125,0.5,2000,20280931
step-002000,correct_assistant,3,100,50,0.0475,-0.0475,-0.05875,-0.01125,-0.018125,-0.004375,0.5,2000,20280932
step-002000,correct_assistant,4,100,50,0.0475,-0.0475,-0.05,-0.0025,-0.009375,0.004375,0.5,2000,20280933
step-002000,correct_assistant,5,100,50,0.0475,-0.0475,-0.06125,-0.01375,-0.02125,-0.005625,0.5,2000,20280934
step-002000,correct_assistant,6,100,50,0.0475,-0.0475,-0.058125,-0.010625,-0.02375,0.00125,0.5,2000,20280935
step-002000,correct_assistant,7,100,50,0.0475,-0.0475,-0.0575,-0.01,-0.0225,0.0025,0.5,2000,20280936
step-002000,correct_assistant,8,100,50,0.0475,-0.0475,-0.055625,-0.008125,-0.019375,0.0018906249999999147,0.5,2000,20280937
step-002000,correct_assistant,9,100,50,0.0475,-0.0475,-0.06625,-0.01875,-0.0325,-0.005,0.5,2000,20280938
step-002000,correct_assistant,10,100,50,0.0475,-0.0475,-0.065,-0.0175,-0.025625,-0.009375,0.5,2000,20280939
step-002000,correct_assistant,11,100,50,0.0475,-0.0475,-0.081875,-0.034375,-0.05,-0.019375,0.5,2000,20280940
step-002000,correct_assistant,12,100,50,0.0475,-0.0475,-0.064375,-0.016875,-0.04375,0.01,0.5,2000,20280941
step-002000,correct_assistant,13,100,50,0.0475,-0.0475,-0.015625,0.031875,0.00625,0.05689062499999992,0.5,2000,20280942
step-002000,correct_assistant,14,100,50,0.0475,-0.0475,-0.025625,0.021875,-0.006875,0.049375,0.5,2000,20280943
step-002000,correct_assistant,15,100,50,0.0475,-0.0475,-0.01875,0.02875,0.004984375000000001,0.053765624999999914,0.5,2000,20280944
step-002000,correct_assistant,16,100,50,0.0475,-0.0475,-0.03625,0.01125,-0.01625,0.038125,0.5,2000,20280945
step-002000,correct_assistant,17,100,50,0.0475,-0.0475,-0.014375,0.033125,0.007484375000000001,0.05876562499999991,0.5,2000,20280946
step-002000,correct_assistant,18,100,50,0.0475,-0.0475,0.01875,0.06625,0.04,0.0925,0.5,2000,20280947
step-002000,correct_assistant,19,100,50,0.0475,-0.0475,0.031875,0.079375,0.051875,0.10625,0.5,2000,20280948
step-002000,correct_assistant,20,100,50,0.0475,-0.0475,0.0275,0.075,0.049359375000000004,0.101875,0.5,2000,20280949
step-002000,correct_assistant,21,100,50,0.0475,-0.0475,0.014375,0.061875,0.0375,0.0875,0.5,2000,20280950
step-002000,correct_assistant,22,100,50,0.0475,-0.0475,0.03875,0.08625,0.063125,0.11,0.5,2000,20280951
step-002000,correct_assistant,23,100,50,0.0475,-0.0475,0.036875,0.084375,0.06125,0.1075,0.5,2000,20280952
step-002000,correct_image_span,0,100,50,0.0475,-0.0475,0.029375,0.076875,0.051859375,0.101875,0.5,2000,20280953
step-002000,correct_image_span,1,100,50,0.0475,-0.0475,0.06,0.1075,0.078125,0.138125,0.5,2000,20280954
step-002000,correct_image_span,2,100,50,0.0475,-0.0475,0.053125,0.100625,0.07125,0.1325,0.5,2000,20280955
step-002000,correct_image_span,3,100,50,0.0475,-0.0475,0.073125,0.120625,0.0875,0.1550156249999999,0.5,2000,20280956
step-002000,correct_image_span,4,100,50,0.0475,-0.0475,0.02375,0.07125,0.040625,0.1025,0.5,2000,20280957
step-002000,correct_image_span,5,100,50,0.0475,-0.0475,0.09875,0.14625,0.108734375,0.184375,0.5,2000,20280958
step-002000,correct_image_span,6,100,50,0.0475,-0.0475,0.105625,0.153125,0.1125,0.1931406249999999,0.5,2000,20280959
step-002000,correct_image_span,7,100,50,0.0475,-0.0475,0.089375,0.136875,0.09625,0.1775,0.5,2000,20280960
step-002000,correct_image_span,8,100,50,0.0475,-0.0475,0.085625,0.133125,0.093125,0.171875,0.5,2000,20280961
step-002000,correct_image_span,9,100,50,0.0475,-0.0475,0.07875,0.12625,0.09,0.16375,0.5,2000,20280962
step-002000,correct_image_span,10,100,50,0.0475,-0.0475,0.060625,0.108125,0.0725,0.140625,0.5,2000,20280963
step-002000,correct_image_span,11,100,50,0.0475,-0.0475,0.084375,0.131875,0.090625,0.1725,0.5,2000,20280964
step-002000,correct_image_span,12,100,50,0.0475,-0.0475,0.035625,0.083125,0.050609375000000005,0.113125,0.5,2000,20280965
step-002000,correct_image_span,13,100,50,0.0475,-0.0475,0.004375,0.051875,0.033125,0.070625,0.5,2000,20280966
step-002000,correct_image_span,14,100,50,0.0475,-0.0475,0.021875,0.069375,0.051234375,0.0875,0.5,2000,20280967
step-002000,correct_image_span,15,100,50,0.0475,-0.0475,0.03875,0.08625,0.06625,0.106875,0.5,2000,20280968
step-002000,correct_image_span,16,100,50,0.0475,-0.0475,0.036875,0.084375,0.063125,0.106875,0.5,2000,20280969
step-002000,correct_image_span,17,100,50,0.0475,-0.0475,0.014375,0.061875,0.045,0.08,0.5,2000,20280970
step-002000,correct_image_span,18,100,50,0.0475,-0.0475,-0.03,0.0175,0.005,0.030625,0.5,2000,20280971
step-002000,correct_image_span,19,100,50,0.0475,-0.0475,-0.04875,-0.00125,-0.014375,0.01375,0.5,2000,20280972
step-002000,correct_image_span,20,100,50,0.0475,-0.0475,-0.044375,0.003125,-0.008125,0.01375,0.5,2000,20280973
step-002000,correct_image_span,21,100,50,0.0475,-0.0475,-0.020625,0.026875,0.0175,0.036875,0.5,2000,20280974
step-002000,correct_image_span,22,100,50,0.0475,-0.0475,-0.038125,0.009375,0.004375,0.015625,0.5,2000,20280975
step-002000,correct_image_span,23,100,50,0.0475,-0.0475,-0.0475,0.0,0.0,0.0,0.5,2000,20280976
step-002000,input_clean_center,-1,100,50,0.0475,-0.0475,-0.038125,0.009375,0.00125,0.01875,0.5,2000,20280977
step-002000,input_clean_full,-1,100,50,0.0475,-0.0475,0.0475,0.095,0.07125,0.12125,0.5,2000,20280978
step-002000,input_clean_outer,-1,100,50,0.0475,-0.0475,0.038125,0.085625,0.05625,0.113125,0.5,2000,20280979
step-002000,wrong_label_donor_image_span,0,100,50,0.0475,-0.0475,-0.01125,0.03625,0.02125,0.051875,0.5,2000,20280980
step-002000,wrong_label_donor_image_span,5,100,50,0.0475,-0.0475,0.013125,0.060625,0.0425,0.08,0.5,2000,20280981
step-002000,wrong_label_donor_image_span,11,100,50,0.0475,-0.0475,0.008125,0.055625,0.038125,0.075625,0.5,2000,20280982
step-002000,wrong_label_donor_image_span,17,100,50,0.0475,-0.0475,-0.024375,0.023125,0.01125,0.034375,0.5,2000,20280983
step-002000,wrong_label_donor_image_span,23,100,50,0.0475,-0.0475,-0.0475,0.0,0.0,0.0,0.5,2000,20280984
step-002000,zero_image_span,0,100,50,0.0475,-0.0475,-0.0009375,0.0465625,0.0325,0.060625,0.5,2000,20280985
step-002000,zero_image_span,5,100,50,0.0475,-0.0475,-0.1075,-0.06,-0.081875,-0.036875,0.45,2000,20280986
step-002000,zero_image_span,11,100,50,0.0475,-0.0475,0.02375,0.07125,0.0525,0.09375,0.45,2000,20280987
step-002000,zero_image_span,17,100,50,0.0475,-0.0475,0.01625,0.06375,0.052484375,0.0756406249999999,0.5,2000,20280988
step-002000,zero_image_span,23,100,50,0.0475,-0.0475,-0.0475,0.0,0.0,0.0,0.5,2000,20280989
