checkpoint,optimizer_steps,examples_seen,condition,task,accuracy_numerator,accuracy_denominator,accuracy,paired_numerator,paired_denominator,paired_accuracy,answer_flip_numerator,answer_flip_denominator,answer_flip_accuracy,prediction_flip_rate
step-000000,0,0,shuffled_image,spatial,0,100,0.0,0,50,0.0,0,50,0.0,0.0
step-000000,0,0,paired_counterfactual_image,overall,0,600,0.0,0,300,0.0,0,300,0.0,0.49
step-000000,0,0,paired_counterfactual_image,color,0,100,0.0,0,50,0.0,0,50,0.0,0.66
step-000000,0,0,paired_counterfactual_image,coordinate,0,100,0.0,0,50,0.0,0,50,0.0,0.0
step-000000,0,0,paired_counterfactual_image,count,0,100,0.0,0,50,0.0,0,50,0.0,0.66
step-000000,0,0,paired_counterfactual_image,ocr,0,100,0.0,0,50,0.0,0,50,0.0,0.7
step-000000,0,0,paired_counterfactual_image,shape,0,100,0.0,0,50,0.0,0,50,0.0,0.92
step-000000,0,0,paired_counterfactual_image,spatial,0,100,0.0,0,50,0.0,0,50,0.0,0.0
step-000000,0,0,background_matched_aux,overall,0,600,0.0,0,300,0.0,0,300,0.0,0.37333333333333335
step-000000,0,0,background_matched_aux,color,0,100,0.0,0,50,0.0,0,50,0.0,0.28
step-000000,0,0,background_matched_aux,coordinate,0,100,0.0,0,50,0.0,0,50,0.0,0.0
step-000000,0,0,background_matched_aux,count,0,100,0.0,0,50,0.0,0,50,0.0,0.68
step-000000,0,0,background_matched_aux,ocr,0,100,0.0,0,50,0.0,0,50,0.0,0.74
step-000000,0,0,background_matched_aux,shape,0,100,0.0,0,50,0.0,0,50,0.0,0.54
step-000000,0,0,background_matched_aux,spatial,0,100,0.0,0,50,0.0,0,50,0.0,0.0
step-001500,1500,12000,vision,overall,81,600,0.135,0,300,0.0,0,300,0.0,0.2733333333333333
step-001500,1500,12000,vision,color,22,100,0.22,0,50,0.0,0,50,0.0,0.4
step-001500,1500,12000,vision,coordinate,0,100,0.0,0,50,0.0,0,50,0.0,0.52
step-001500,1500,12000,vision,count,11,100,0.11,0,50,0.0,0,50,0.0,0.0
step-001500,1500,12000,vision,ocr,0,100,0.0,0,50,0.0,0,50,0.0,0.5
step-001500,1500,12000,vision,shape,26,100,0.26,0,50,0.0,0,50,0.0,0.0
step-001500,1500,12000,vision,spatial,22,100,0.22,0,50,0.0,0,50,0.0,0.22
step-001500,1500,12000,blind,overall,0,600,0.0,0,300,0.0,0,300,0.0,0.0
step-001500,1500,12000,blind,color,0,100,0.0,0,50,0.0,0,50,0.0,0.0
step-001500,1500,12000,blind,coordinate,0,100,0.0,0,50,0.0,0,50,0.0,0.0
step-001500,1500,12000,blind,count,0,100,0.0,0,50,0.0,0,50,0.0,0.0
step-001500,1500,12000,blind,ocr,0,100,0.0,0,50,0.0,0,50,0.0,0.0
step-001500,1500,12000,blind,shape,0,100,0.0,0,50,0.0,0,50,0.0,0.0
step-001500,1500,12000,blind,spatial,0,100,0.0,0,50,0.0,0,50,0.0,0.0
step-001500,1500,12000,shuffled_image,overall,88,600,0.14666666666666667,0,300,0.0,0,300,0.0,0.19
step-001500,1500,12000,shuffled_image,color,18,100,0.18,0,50,0.0,0,50,0.0,0.34
step-001500,1500,12000,shuffled_image,coordinate,0,100,0.0,0,50,0.0,0,50,0.0,0.42
step-001500,1500,12000,shuffled_image,count,11,100,0.11,0,50,0.0,0,50,0.0,0.0
step-001500,1500,12000,shuffled_image,ocr,0,100,0.0,0,50,0.0,0,50,0.0,0.38
step-001500,1500,12000,shuffled_image,shape,26,100,0.26,0,50,0.0,0,50,0.0,0.0
step-001500,1500,12000,shuffled_image,spatial,33,100,0.33,0,50,0.0,0,50,0.0,0.0
step-001500,1500,12000,paired_counterfactual_image,overall,81,600,0.135,0,300,0.0,0,300,0.0,0.2733333333333333
step-001500,1500,12000,paired_counterfactual_image,color,22,100,0.22,0,50,0.0,0,50,0.0,0.4
step-001500,1500,12000,paired_counterfactual_image,coordinate,0,100,0.0,0,50,0.0,0,50,0.0,0.52
step-001500,1500,12000,paired_counterfactual_image,count,11,100,0.11,0,50,0.0,0,50,0.0,0.0
step-001500,1500,12000,paired_counterfactual_image,ocr,0,100,0.0,0,50,0.0,0,50,0.0,0.5
step-001500,1500,12000,paired_counterfactual_image,shape,26,100,0.26,0,50,0.0,0,50,0.0,0.0
step-001500,1500,12000,paired_counterfactual_image,spatial,22,100,0.22,0,50,0.0,0,50,0.0,0.22
step-001500,1500,12000,background_matched_aux,overall,88,600,0.14666666666666667,0,300,0.0,0,300,0.0,0.17
step-001500,1500,12000,background_matched_aux,color,18,100,0.18,0,50,0.0,0,50,0.0,0.06
step-001500,1500,12000,background_matched_aux,coordinate,0,100,0.0,0,50,0.0,0,50,0.0,0.56
step-001500,1500,12000,background_matched_aux,count,11,100,0.11,0,50,0.0,0,50,0.0,0.0
step-001500,1500,12000,background_matched_aux,ocr,0,100,0.0,0,50,0.0,0,50,0.0,0.4
step-001500,1500,12000,background_matched_aux,shape,26,100,0.26,0,50,0.0,0,50,0.0,0.0
step-001500,1500,12000,background_matched_aux,spatial,33,100,0.33,0,50,0.0,0,50,0.0,0.0
shape-projector-step50,1550,12400,vision,overall,161,600,0.2683333333333333,50,300,0.16666666666666666,50,300,0.16666666666666666,0.2633333333333333
shape-projector-step50,1550,12400,vision,color,17,100,0.17,0,50,0.0,0,50,0.0,0.0
shape-projector-step50,1550,12400,vision,coordinate,0,100,0.0,0,50,0.0,0,50,0.0,0.0
shape-projector-step50,1550,12400,vision,count,11,100,0.11,0,50,0.0,0,50,0.0,0.16
shape-projector-step50,1550,12400,vision,ocr,0,100,0.0,0,50,0.0,0,50,0.0,0.08
shape-projector-step50,1550,12400,vision,shape,100,100,1.0,50,50,1.0,50,50,1.0,1.0
shape-projector-step50,1550,12400,vision,spatial,33,100,0.33,0,50,0.0,0,50,0.0,0.34
shape-projector-step50,1550,12400,blind,overall,0,600,0.0,0,300,0.0,0,300,0.0,0.0
shape-projector-step50,1550,12400,blind,color,0,100,0.0,0,50,0.0,0,50,0.0,0.0
shape-projector-step50,1550,12400,blind,coordinate,0,100,0.0,0,50,0.0,0,50,0.0,0.0
shape-projector-step50,1550,12400,blind,count,0,100,0.0,0,50,0.0,0,50,0.0,0.0
shape-projector-step50,1550,12400,blind,ocr,0,100,0.0,0,50,0.0,0,50,0.0,0.0
shape-projector-step50,1550,12400,blind,shape,0,100,0.0,0,50,0.0,0,50,0.0,0.0
shape-projector-step50,1550,12400,blind,spatial,0,100,0.0,0,50,0.0,0,50,0.0,0.0
shape-projector-step50,1550,12400,shuffled_image,overall,73,600,0.12166666666666667,1,300,0.0033333333333333335,1,300,0.0033333333333333335,0.15333333333333332
shape-projector-step50,1550,12400,shuffled_image,color,17,100,0.17,0,50,0.0,0,50,0.0,0.0
shape-projector-step50,1550,12400,shuffled_image,coordinate,0,100,0.0,0,50,0.0,0,50,0.0,0.0
shape-projector-step50,1550,12400,shuffled_image,count,5,100,0.05,0,50,0.0,0,50,0.0,0.14
shape-projector-step50,1550,12400,shuffled_image,ocr,0,100,0.0,0,50,0.0,0,50,0.0,0.02
shape-projector-step50,1550,12400,shuffled_image,shape,18,100,0.18,1,50,0.02,1,50,0.02,0.76
shape-projector-step50,1550,12400,shuffled_image,spatial,33,100,0.33,0,50,0.0,0,50,0.0,0.0
shape-projector-step50,1550,12400,paired_counterfactual_image,overall,161,600,0.2683333333333333,50,300,0.16666666666666666,50,300,0.16666666666666666,0.2633333333333333
shape-projector-step50,1550,12400,paired_counterfactual_image,color,17,100,0.17,0,50,0.0,0,50,0.0,0.0
shape-projector-step50,1550,12400,paired_counterfactual_image,coordinate,0,100,0.0,0,50,0.0,0,50,0.0,0.0
shape-projector-step50,1550,12400,paired_counterfactual_image,count,11,100,0.11,0,50,0.0,0,50,0.0,0.16
shape-projector-step50,1550,12400,paired_counterfactual_image,ocr,0,100,0.0,0,50,0.0,0,50,0.0,0.08
shape-projector-step50,1550,12400,paired_counterfactual_image,shape,100,100,1.0,50,50,1.0,50,50,1.0,1.0
shape-projector-step50,1550,12400,paired_counterfactual_image,spatial,33,100,0.33,0,50,0.0,0,50,0.0,0.34
shape-projector-step50,1550,12400,background_matched_aux,overall,156,600,0.26,45,300,0.15,45,300,0.15,0.2
shape-projector-step50,1550,12400,background_matched_aux,color,17,100,0.17,0,50,0.0,0,50,0.0,0.0
shape-projector-step50,1550,12400,background_matched_aux,coordinate,0,100,0.0,0,50,0.0,0,50,0.0,0.0
shape-projector-step50,1550,12400,background_matched_aux,count,11,100,0.11,0,50,0.0,0,50,0.0,0.24
shape-projector-step50,1550,12400,background_matched_aux,ocr,0,100,0.0,0,50,0.0,0,50,0.0,0.0
shape-projector-step50,1550,12400,background_matched_aux,shape,95,100,0.95,45,50,0.9,45,50,0.9,0.96
shape-projector-step50,1550,12400,background_matched_aux,spatial,33,100,0.33,0,50,0.0,0,50,0.0,0.0
