state,kind,adaptation_step,adaptation_examples_seen,condition,task,records,pairs,sample_preference_accuracy,paired_preference_accuracy,mean_correct_margin
projector-step50,projector,50,1200,paired_counterfactual_image,overall,2400,1200,0.23541666666666666,0.005833333333333334,-1.7913725143226968
projector-step50,projector,50,1200,paired_counterfactual_image,color,400,200,0.165,0.0,-2.14906249884516
projector-step50,projector,50,1200,paired_counterfactual_image,coordinate,400,200,0.2925,0.0,-0.6878134559839963
projector-step50,projector,50,1200,paired_counterfactual_image,count,400,200,0.285,0.03,-0.3317187450826168
projector-step50,projector,50,1200,paired_counterfactual_image,ocr,400,200,0.425,0.005,-0.5105445665291378
projector-step50,projector,50,1200,paired_counterfactual_image,shape,400,200,0.12,0.0,-6.109453103743144
projector-step50,projector,50,1200,paired_counterfactual_image,spatial,400,200,0.125,0.0,-0.9596427157521248
projector-step50,projector,50,1200,shuffled_image,overall,2400,1200,0.42625,0.11416666666666667,-0.21532882158500272
projector-step50,projector,50,1200,shuffled_image,color,400,200,0.4575,0.16,-0.03375000894069671
projector-step50,projector,50,1200,shuffled_image,coordinate,400,200,0.5125,0.09,-0.004405829161405563
projector-step50,projector,50,1200,shuffled_image,count,400,200,0.4625,0.165,-0.023750002682209014
projector-step50,projector,50,1200,shuffled_image,ocr,400,200,0.5175,0.08,0.02022860912481945
projector-step50,projector,50,1200,shuffled_image,shape,400,200,0.4825,0.19,-0.532421865639626
projector-step50,projector,50,1200,shuffled_image,spatial,400,200,0.125,0.0,-0.7178738322108984
