family,metric,state_a,condition_a,state_b,condition_b,pairs,mean_a,mean_b,mean_gap,ci95_low,ci95_high,bootstrap_samples,bootstrap_seed
vision_minus_shuffle,paired_preference,projector-step50,vision,projector-step50,shuffled_image,200,1.0,0.18,0.82,0.765,0.87,2000,20260840
adaptation_minus_frozen,mean_margin,projector-step50,vision,frozen-step1500,vision,200,10.222968741107907,0.12218749195337296,10.100781249154533,9.77093751272565,10.432968754842005,2000,20260841
vision_minus_shuffle,mean_margin,projector-step50,vision,projector-step50,shuffled_image,200,10.222968741107907,-0.38406249316612956,10.607031234274036,9.710937490064243,11.466406217442708,2000,20260842
vision_minus_paired_counterfactual,mean_margin,projector-step50,vision,projector-step50,paired_counterfactual_image,200,10.222968741107907,-10.222968741107907,20.445937482215815,19.758437525142217,21.179687481333968,2000,20260843
adaptation_minus_frozen,generation_paired,projector-step50,vision,frozen-step1500,vision,50,1.0,0.0,1.0,1.0,1.0,2000,20260844
adaptation_minus_frozen,generation_sample,projector-step50,vision,frozen-step1500,vision,50,1.0,0.27,0.73,0.66,0.8,2000,20260845
adaptation_minus_frozen,generation_flip,projector-step50,vision,frozen-step1500,vision,50,1.0,0.0,1.0,1.0,1.0,2000,20260846
adaptation_minus_frozen,paired_preference,projector-step100,vision,frozen-step1500,vision,200,0.945,0.13,0.815,0.76,0.865,2000,20260847
vision_minus_shuffle,paired_preference,projector-step100,vision,projector-step100,shuffled_image,200,0.945,0.17,0.775,0.71,0.835,2000,20260848
adaptation_minus_frozen,mean_margin,projector-step100,vision,frozen-step1500,vision,200,10.339843730725079,0.12218749195337296,10.217656238771706,9.788593728869364,10.667031250865694,2000,20260849
vision_minus_shuffle,mean_margin,projector-step100,vision,projector-step100,shuffled_image,200,10.339843730725079,-0.35328124889698304,10.693124979622063,9.716874989261887,11.70218749028054,2000,20260850
vision_minus_paired_counterfactual,mean_margin,projector-step100,vision,projector-step100,paired_counterfactual_image,200,10.339843730725079,-10.339843730725079,20.679687461450158,19.803749995060315,21.554062460102468,2000,20260851
adaptation_minus_frozen,generation_paired,projector-step100,vision,frozen-step1500,vision,50,0.88,0.0,0.88,0.78,0.96,2000,20260852
adaptation_minus_frozen,generation_sample,projector-step100,vision,frozen-step1500,vision,50,0.94,0.27,0.67,0.57,0.76,2000,20260853
adaptation_minus_frozen,generation_flip,projector-step100,vision,frozen-step1500,vision,50,0.92,0.0,0.92,0.84,0.98,2000,20260854
adaptation_minus_frozen,paired_preference,projector-step200,vision,frozen-step1500,vision,200,0.945,0.13,0.815,0.76,0.865,2000,20260855
vision_minus_shuffle,paired_preference,projector-step200,vision,projector-step200,shuffled_image,200,0.945,0.18,0.765,0.7,0.825,2000,20260856
adaptation_minus_frozen,mean_margin,projector-step200,vision,frozen-step1500,vision,200,11.513593777993457,0.12218749195337296,11.391406286040082,10.93156252418993,11.889218801100014,2000,20260857
vision_minus_shuffle,mean_margin,projector-step200,vision,projector-step200,shuffled_image,200,11.513593777993457,-0.4300000238381654,11.943593801831621,10.878749995342023,12.970312546855512,2000,20260858
vision_minus_paired_counterfactual,mean_margin,projector-step200,vision,projector-step200,paired_counterfactual_image,200,11.513593777993457,-11.513593777993457,23.027187555986913,22.01781254332769,24.053750071109352,2000,20260859
adaptation_minus_frozen,generation_paired,projector-step200,vision,frozen-step1500,vision,50,0.88,0.0,0.88,0.78,0.96,2000,20260860
adaptation_minus_frozen,generation_sample,projector-step200,vision,frozen-step1500,vision,50,0.94,0.27,0.67,0.57,0.76,2000,20260861
adaptation_minus_frozen,generation_flip,projector-step200,vision,frozen-step1500,vision,50,0.92,0.0,0.92,0.84,0.98,2000,20260862
lora_minus_projector_equal_examples,paired_preference,lora-step50,vision,projector-step50,vision,200,0.18,1.0,-0.82,-0.87,-0.765,2000,20260863
lora_minus_projector_equal_examples,mean_margin,lora-step50,vision,projector-step50,vision,200,2.14437504081754,10.222968741107907,-8.078593700290366,-8.429374926088785,-7.710468720958743,2000,20260864
lora_minus_projector_equal_examples,generation_paired,lora-step50,vision,projector-step50,vision,50,0.0,1.0,-1.0,-1.0,-1.0,2000,20260865
lora_minus_projector_equal_examples,generation_sample,lora-step50,vision,projector-step50,vision,50,0.2,1.0,-0.8,-0.87,-0.73,2000,20260866
lora_minus_projector_equal_examples,paired_preference,lora-step100,vision,projector-step100,vision,200,0.605,0.945,-0.34,-0.405,-0.27,2000,20260867
lora_minus_projector_equal_examples,mean_margin,lora-step100,vision,projector-step100,vision,200,5.876875022315289,10.339843730725079,-4.4629687084097895,-5.053906198275581,-3.8474999662353184,2000,20260868
lora_minus_projector_equal_examples,generation_paired,lora-step100,vision,projector-step100,vision,50,0.08,0.88,-0.8,-0.9,-0.68,2000,20260869
lora_minus_projector_equal_examples,generation_sample,lora-step100,vision,projector-step100,vision,50,0.45,0.94,-0.49,-0.58,-0.4,2000,20260870
lora_minus_projector_equal_examples,paired_preference,lora-step200,vision,projector-step200,vision,200,0.43,0.945,-0.515,-0.585,-0.45,2000,20260871
lora_minus_projector_equal_examples,mean_margin,lora-step200,vision,projector-step200,vision,200,6.180253806060582,11.513593777993457,-5.333339971932873,-6.1995703888855225,-4.4243360591983585,2000,20260872
lora_minus_projector_equal_examples,generation_paired,lora-step200,vision,projector-step200,vision,50,0.08,0.88,-0.8,-0.9,-0.68,2000,20260873
lora_minus_projector_equal_examples,generation_sample,lora-step200,vision,projector-step200,vision,50,0.45,0.94,-0.49,-0.57,-0.41,2000,20260874
