state,kind,adaptation_step,adaptation_examples_seen,interpolation_alpha,condition,task,records,pairs,accuracy,paired_accuracy,answer_flip_accuracy,prediction_flip_rate
projector-interp025,projector,25,,0.25,vision,ocr,100,50,0.0,0.0,0.0,0.84
projector-interp025,projector,25,,0.25,vision,shape,100,50,0.69,0.44,0.44,0.82
projector-interp025,projector,25,,0.25,vision,spatial,100,50,1.0,1.0,1.0,1.0
projector-interp025,projector,25,,0.25,paired_counterfactual_image,overall,600,300,0.41333333333333333,0.27,0.27,0.76
projector-interp025,projector,25,,0.25,paired_counterfactual_image,color,100,50,0.31,0.08,0.08,0.6
projector-interp025,projector,25,,0.25,paired_counterfactual_image,coordinate,100,50,0.36,0.1,0.1,0.62
projector-interp025,projector,25,,0.25,paired_counterfactual_image,count,100,50,0.12,0.0,0.0,0.68
projector-interp025,projector,25,,0.25,paired_counterfactual_image,ocr,100,50,0.0,0.0,0.0,0.84
projector-interp025,projector,25,,0.25,paired_counterfactual_image,shape,100,50,0.69,0.44,0.44,0.82
projector-interp025,projector,25,,0.25,paired_counterfactual_image,spatial,100,50,1.0,1.0,1.0,1.0
projector-interp050,projector,50,,0.5,vision,overall,600,300,0.435,0.2833333333333333,0.2833333333333333,0.81
projector-interp050,projector,50,,0.5,vision,color,100,50,0.27,0.04,0.04,0.66
projector-interp050,projector,50,,0.5,vision,coordinate,100,50,0.61,0.34,0.34,0.86
projector-interp050,projector,50,,0.5,vision,count,100,50,0.13,0.02,0.02,0.64
projector-interp050,projector,50,,0.5,vision,ocr,100,50,0.0,0.0,0.0,0.94
projector-interp050,projector,50,,0.5,vision,shape,100,50,0.6,0.3,0.3,0.76
projector-interp050,projector,50,,0.5,vision,spatial,100,50,1.0,1.0,1.0,1.0
projector-interp050,projector,50,,0.5,paired_counterfactual_image,overall,600,300,0.435,0.2833333333333333,0.2833333333333333,0.81
projector-interp050,projector,50,,0.5,paired_counterfactual_image,color,100,50,0.27,0.04,0.04,0.66
projector-interp050,projector,50,,0.5,paired_counterfactual_image,coordinate,100,50,0.61,0.34,0.34,0.86
projector-interp050,projector,50,,0.5,paired_counterfactual_image,count,100,50,0.13,0.02,0.02,0.64
projector-interp050,projector,50,,0.5,paired_counterfactual_image,ocr,100,50,0.0,0.0,0.0,0.94
projector-interp050,projector,50,,0.5,paired_counterfactual_image,shape,100,50,0.6,0.3,0.3,0.76
projector-interp050,projector,50,,0.5,paired_counterfactual_image,spatial,100,50,1.0,1.0,1.0,1.0
projector-interp075,projector,75,,0.75,vision,overall,600,300,0.42833333333333334,0.2733333333333333,0.2733333333333333,0.8133333333333334
projector-interp075,projector,75,,0.75,vision,color,100,50,0.38,0.16,0.16,0.74
projector-interp075,projector,75,,0.75,vision,coordinate,100,50,0.61,0.34,0.34,0.86
projector-interp075,projector,75,,0.75,vision,count,100,50,0.12,0.02,0.02,0.54
projector-interp075,projector,75,,0.75,vision,ocr,100,50,0.0,0.0,0.0,1.0
projector-interp075,projector,75,,0.75,vision,shape,100,50,0.46,0.12,0.12,0.74
projector-interp075,projector,75,,0.75,vision,spatial,100,50,1.0,1.0,1.0,1.0
projector-interp075,projector,75,,0.75,paired_counterfactual_image,overall,600,300,0.42833333333333334,0.2733333333333333,0.2733333333333333,0.8133333333333334
projector-interp075,projector,75,,0.75,paired_counterfactual_image,color,100,50,0.38,0.16,0.16,0.74
projector-interp075,projector,75,,0.75,paired_counterfactual_image,coordinate,100,50,0.61,0.34,0.34,0.86
projector-interp075,projector,75,,0.75,paired_counterfactual_image,count,100,50,0.12,0.02,0.02,0.54
projector-interp075,projector,75,,0.75,paired_counterfactual_image,ocr,100,50,0.0,0.0,0.0,1.0
projector-interp075,projector,75,,0.75,paired_counterfactual_image,shape,100,50,0.46,0.12,0.12,0.74
projector-interp075,projector,75,,0.75,paired_counterfactual_image,spatial,100,50,1.0,1.0,1.0,1.0
projector-interp100,projector,100,,1.0,vision,overall,600,300,0.41,0.25666666666666665,0.25666666666666665,0.7966666666666666
projector-interp100,projector,100,,1.0,vision,color,100,50,0.38,0.16,0.16,0.7
projector-interp100,projector,100,,1.0,vision,coordinate,100,50,0.51,0.24,0.24,0.88
projector-interp100,projector,100,,1.0,vision,count,100,50,0.11,0.02,0.02,0.68
projector-interp100,projector,100,,1.0,vision,ocr,100,50,0.0,0.0,0.0,0.96
projector-interp100,projector,100,,1.0,vision,shape,100,50,0.46,0.12,0.12,0.56
projector-interp100,projector,100,,1.0,vision,spatial,100,50,1.0,1.0,1.0,1.0
projector-interp100,projector,100,,1.0,paired_counterfactual_image,overall,600,300,0.41,0.25666666666666665,0.25666666666666665,0.7966666666666666
projector-interp100,projector,100,,1.0,paired_counterfactual_image,color,100,50,0.38,0.16,0.16,0.7
projector-interp100,projector,100,,1.0,paired_counterfactual_image,coordinate,100,50,0.51,0.24,0.24,0.88
projector-interp100,projector,100,,1.0,paired_counterfactual_image,count,100,50,0.11,0.02,0.02,0.68
projector-interp100,projector,100,,1.0,paired_counterfactual_image,ocr,100,50,0.0,0.0,0.0,0.96
projector-interp100,projector,100,,1.0,paired_counterfactual_image,shape,100,50,0.46,0.12,0.12,0.56
projector-interp100,projector,100,,1.0,paired_counterfactual_image,spatial,100,50,1.0,1.0,1.0,1.0
