family,arm,modality,metric,late_state,early_state,condition,task,denominator,sum_a,sum_b,mean_a,mean_b,mean_gap,a_only_better,b_only_better,equal,ci95_low,ci95_high,bootstrap_samples,seed
late_minus_early_cross_run,lora,preference,mean_margin,lora-step100,lora-step50,paired_counterfactual_image,shape,200,-1274.171876853332,-1069.796863971278,-6.37085938426666,-5.34898431985639,-1.0218750644102692,14,186,0,-1.103125088661909,-0.9356250763172284,2000,20260838
late_minus_early_cross_run,lora,preference,paired_preference,lora-step100,lora-step50,paired_counterfactual_image,spatial,200,0.0,0.0,0.0,0.0,0.0,0,0,200,0.0,0.0,2000,20260839
late_minus_early_cross_run,lora,preference,sample_preference,lora-step100,lora-step50,paired_counterfactual_image,spatial,200,100.0,75.0,0.5,0.375,0.125,50,0,150,0.095,0.1525,2000,20260840
late_minus_early_cross_run,lora,preference,mean_margin,lora-step100,lora-step50,paired_counterfactual_image,spatial,200,-75.18115655891597,-36.32768057286739,-0.37590578279457987,-0.18163840286433697,-0.1942673799302429,50,100,50,-0.2358438812289387,-0.1545296854618937,2000,20260841
late_minus_early_cross_run,lora,preference,paired_preference,lora-step100,lora-step50,shuffled_image,overall,1200,91.0,81.0,0.07583333333333334,0.0675,0.008333333333333333,36,26,1138,-0.004166666666666667,0.020833333333333332,2000,20260842
late_minus_early_cross_run,lora,preference,sample_preference,lora-step100,lora-step50,shuffled_image,overall,1200,579.5,581.5,0.48291666666666666,0.4845833333333333,-0.0016666666666666668,60,64,1076,-0.01125,0.0075,2000,20260843
late_minus_early_cross_run,lora,preference,mean_margin,lora-step100,lora-step50,shuffled_image,overall,1200,-181.89675626038974,-120.37486657184505,-0.15158063021699145,-0.10031238880987087,-0.05126824140712057,453,642,105,-0.0747956248447373,-0.029644219713204266,2000,20260844
late_minus_early_cross_run,lora,preference,paired_preference,lora-step100,lora-step50,shuffled_image,color,200,19.0,19.0,0.095,0.095,0.0,11,11,178,-0.045,0.045,2000,20260845
late_minus_early_cross_run,lora,preference,sample_preference,lora-step100,lora-step50,shuffled_image,color,200,91.0,95.0,0.455,0.475,-0.02,19,27,154,-0.055,0.015,2000,20260846
late_minus_early_cross_run,lora,preference,mean_margin,lora-step100,lora-step50,shuffled_image,color,200,-1.5000008046627045,-0.15624821186065674,-0.007500004023313522,-0.0007812410593032836,-0.0067187629640102385,91,98,11,-0.04390625923871994,0.03265623047947883,2000,20260847
late_minus_early_cross_run,lora,preference,paired_preference,lora-step100,lora-step50,shuffled_image,coordinate,200,7.0,0.0,0.035,0.0,0.035,7,0,193,0.01,0.06,2000,20260848
late_minus_early_cross_run,lora,preference,sample_preference,lora-step100,lora-step50,shuffled_image,coordinate,200,100.5,98.5,0.5025,0.4925,0.01,9,5,186,-0.0075,0.03,2000,20260849
late_minus_early_cross_run,lora,preference,mean_margin,lora-step100,lora-step50,shuffled_image,coordinate,200,-0.052971601486206055,0.20868533849716187,-0.00026485800743103027,0.0010434266924858092,-0.0013082846999168396,79,95,26,-0.011995289027690887,0.009595815241336823,2000,20260850
late_minus_early_cross_run,lora,preference,paired_preference,lora-step100,lora-step50,shuffled_image,count,200,19.0,8.0,0.095,0.04,0.055,12,1,187,0.025,0.09,2000,20260851
late_minus_early_cross_run,lora,preference,sample_preference,lora-step100,lora-step50,shuffled_image,count,200,95.0,92.5,0.475,0.4625,0.0125,17,12,171,-0.0125,0.04,2000,20260852
late_minus_early_cross_run,lora,preference,mean_margin,lora-step100,lora-step50,shuffled_image,count,200,-8.999999284744263,-2.812500074505806,-0.044999996423721315,-0.01406250037252903,-0.030937496051192285,100,96,4,-0.09203124530613423,0.03250000208616257,2000,20260853
late_minus_early_cross_run,lora,preference,paired_preference,lora-step100,lora-step50,shuffled_image,ocr,200,12.0,12.0,0.06,0.06,0.0,2,2,196,-0.02,0.02,2000,20260854
late_minus_early_cross_run,lora,preference,sample_preference,lora-step100,lora-step50,shuffled_image,ocr,200,98.5,99.5,0.4925,0.4975,-0.005,4,6,190,-0.02,0.01,2000,20260855
late_minus_early_cross_run,lora,preference,mean_margin,lora-step100,lora-step50,shuffled_image,ocr,200,4.041389363152636,3.8586824530646924,0.02020694681576318,0.01929341226532346,0.0009135345504397186,101,99,0,-0.016924432198206624,0.018913175713448253,2000,20260856
late_minus_early_cross_run,lora,preference,paired_preference,lora-step100,lora-step50,shuffled_image,shape,200,34.0,42.0,0.17,0.21,-0.04,4,12,184,-0.08,-0.005,2000,20260857
late_minus_early_cross_run,lora,preference,sample_preference,lora-step100,lora-step50,shuffled_image,shape,200,94.5,96.0,0.4725,0.48,-0.0075,11,14,175,-0.0325,0.0175,2000,20260858
late_minus_early_cross_run,lora,preference,mean_margin,lora-step100,lora-step50,shuffled_image,shape,200,-119.07812074292451,-95.24999829754233,-0.5953906037146226,-0.4762499914877117,-0.11914061222691089,82,104,14,-0.22656247336417437,-0.007968742339871824,2000,20260859
late_minus_early_cross_run,lora,preference,paired_preference,lora-step100,lora-step50,shuffled_image,spatial,200,0.0,0.0,0.0,0.0,0.0,0,0,200,0.0,0.0,2000,20260860
late_minus_early_cross_run,lora,preference,sample_preference,lora-step100,lora-step50,shuffled_image,spatial,200,100.0,100.0,0.5,0.5,0.0,0,0,200,0.0,0.0,2000,20260861
late_minus_early_cross_run,lora,preference,mean_margin,lora-step100,lora-step50,shuffled_image,spatial,200,-56.307053189724684,-26.2234877794981,-0.28153526594862344,-0.1311174388974905,-0.1504178270511329,0,150,50,-0.1698548354115337,-0.13066006145440043,2000,20260862
late_minus_early_cross_run,lora,preference,paired_preference,lora-step100,lora-step50,vision,overall,1200,296.0,292.0,0.24666666666666667,0.24333333333333335,0.0033333333333333335,76,72,1052,-0.016666666666666666,0.023333333333333334,2000,20260863
late_minus_early_cross_run,lora,preference,sample_preference,lora-step100,lora-step50,vision,overall,1200,726.5,729.5,0.6054166666666667,0.6079166666666667,-0.0025,76,82,1042,-0.012916666666666667,0.008333333333333333,2000,20260864
late_minus_early_cross_run,lora,preference,mean_margin,lora-step100,lora-step50,vision,overall,1200,1654.1080628276227,1399.9769392450473,1.3784233856896855,1.1666474493708727,0.21177593631881275,721,405,74,0.18340604410868966,0.23981384775143794,2000,20260865
late_minus_early_cross_run,lora,preference,paired_preference,lora-step100,lora-step50,vision,color,200,66.0,70.0,0.33,0.35,-0.02,29,33,138,-0.095,0.055,2000,20260866
late_minus_early_cross_run,lora,preference,sample_preference,lora-step100,lora-step50,vision,color,200,133.0,135.0,0.665,0.675,-0.01,29,33,138,-0.05,0.0275,2000,20260867
late_minus_early_cross_run,lora,preference,mean_margin,lora-step100,lora-step50,vision,color,200,201.18749549984932,167.46876120567322,1.0059374774992467,0.8373438060283661,0.1685936714708805,148,39,13,0.12499993264675141,0.21140616968274117,2000,20260868
late_minus_early_cross_run,lora,preference,paired_preference,lora-step100,lora-step50,vision,coordinate,200,19.0,9.0,0.095,0.045,0.05,19,9,172,-0.005,0.105,2000,20260869
late_minus_early_cross_run,lora,preference,sample_preference,lora-step100,lora-step50,vision,coordinate,200,109.5,104.5,0.5475,0.5225,0.025,19,9,172,0.0,0.05,2000,20260870
late_minus_early_cross_run,lora,preference,mean_margin,lora-step100,lora-step50,vision,coordinate,200,20.149036824703217,15.012629866600037,0.10074518412351609,0.07506314933300018,0.0256820347905159,84,109,7,0.015528545677661897,0.03572173327207565,2000,20260871
late_minus_early_cross_run,lora,preference,paired_preference,lora-step100,lora-step50,vision,count,200,0.0,2.0,0.0,0.01,-0.01,0,2,198,-0.025,0.0,2000,20260872
late_minus_early_cross_run,lora,preference,sample_preference,lora-step100,lora-step50,vision,count,200,78.5,84.5,0.3925,0.4225,-0.03,0,12,188,-0.0475,-0.015,2000,20260873
late_minus_early_cross_run,lora,preference,mean_margin,lora-step100,lora-step50,vision,count,200,-37.12500040233135,2.4375003278255463,-0.18562500201165677,0.012187501639127732,-0.19781250365078448,72,124,4,-0.26531250528991224,-0.13562500022351742,2000,20260874
late_minus_early_cross_run,lora,preference,paired_preference,lora-step100,lora-step50,vision,ocr,200,35.0,31.0,0.175,0.155,0.02,8,4,188,-0.01,0.055,2000,20260875
late_minus_early_cross_run,lora,preference,sample_preference,lora-step100,lora-step50,vision,ocr,200,117.5,115.5,0.5875,0.5775,0.01,8,4,188,-0.0075,0.0275,2000,20260876
late_minus_early_cross_run,lora,preference,mean_margin,lora-step100,lora-step50,vision,ocr,200,120.54349749315354,108.93350330080305,0.6027174874657677,0.5446675165040152,0.058049970961752406,131,69,0,0.040839376029514145,0.07529172806512743,2000,20260877
late_minus_early_cross_run,lora,preference,paired_preference,lora-step100,lora-step50,vision,shape,200,176.0,180.0,0.88,0.9,-0.02,20,24,156,-0.085,0.045,2000,20260878
late_minus_early_cross_run,lora,preference,sample_preference,lora-step100,lora-step50,vision,shape,200,188.0,190.0,0.94,0.95,-0.01,20,24,156,-0.0425,0.0225,2000,20260879
late_minus_early_cross_run,lora,preference,mean_margin,lora-step100,lora-step50,vision,shape,200,1274.171876853332,1069.796863971278,6.37085938426666,5.34898431985639,1.0218750644102692,186,14,0,0.9307032018015161,1.1067969381203875,2000,20260880
late_minus_early_cross_run,lora,preference,paired_preference,lora-step100,lora-step50,vision,spatial,200,0.0,0.0,0.0,0.0,0.0,0,0,200,0.0,0.0,2000,20260881
late_minus_early_cross_run,lora,preference,sample_preference,lora-step100,lora-step50,vision,spatial,200,100.0,100.0,0.5,0.5,0.0,0,0,200,0.0,0.0,2000,20260882
late_minus_early_cross_run,lora,preference,mean_margin,lora-step100,lora-step50,vision,spatial,200,75.18115655891597,36.32768057286739,0.37590578279457987,0.18163840286433697,0.1942673799302429,100,50,50,0.1543382628681138,0.23455962663050742,2000,20260883
late_minus_early_cross_run,lora,generation,generation_paired,lora-step100,lora-step50,paired_counterfactual_image,overall,300,24.0,30.0,0.08,0.1,-0.02,15,21,264,-0.06,0.02,2000,20260884
late_minus_early_cross_run,lora,generation,generation_sample,lora-step100,lora-step50,paired_counterfactual_image,overall,300,65.0,68.0,0.21666666666666667,0.22666666666666666,-0.01,20,26,254,-0.03166666666666667,0.011666666666666667,2000,20260885
late_minus_early_cross_run,lora,generation,prediction_flip,lora-step100,lora-step50,paired_counterfactual_image,overall,300,169.0,122.0,0.5633333333333334,0.4066666666666667,0.15666666666666668,66,19,215,0.09666666666666666,0.21333333333333335,2000,20260886
late_minus_early_cross_run,lora,generation,generation_paired,lora-step100,lora-step50,paired_counterfactual_image,color,50,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,2000,20260887
late_minus_early_cross_run,lora,generation,generation_sample,lora-step100,lora-step50,paired_counterfactual_image,color,50,3.0,3.0,0.06,0.06,0.0,5,5,40,-0.06,0.06,2000,20260888
late_minus_early_cross_run,lora,generation,prediction_flip,lora-step100,lora-step50,paired_counterfactual_image,color,50,13.0,11.0,0.26,0.22,0.04,9,7,34,-0.12,0.2,2000,20260889
late_minus_early_cross_run,lora,generation,generation_paired,lora-step100,lora-step50,paired_counterfactual_image,coordinate,50,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,2000,20260890
late_minus_early_cross_run,lora,generation,generation_sample,lora-step100,lora-step50,paired_counterfactual_image,coordinate,50,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,2000,20260891
late_minus_early_cross_run,lora,generation,prediction_flip,lora-step100,lora-step50,paired_counterfactual_image,coordinate,50,29.0,0.0,0.58,0.0,0.58,29,0,21,0.44,0.72,2000,20260892
late_minus_early_cross_run,lora,generation,generation_paired,lora-step100,lora-step50,paired_counterfactual_image,count,50,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,2000,20260893
late_minus_early_cross_run,lora,generation,generation_sample,lora-step100,lora-step50,paired_counterfactual_image,count,50,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,2000,20260894
late_minus_early_cross_run,lora,generation,prediction_flip,lora-step100,lora-step50,paired_counterfactual_image,count,50,38.0,31.0,0.76,0.62,0.14,9,2,39,0.02,0.28,2000,20260895
late_minus_early_cross_run,lora,generation,generation_paired,lora-step100,lora-step50,paired_counterfactual_image,ocr,50,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,2000,20260896
late_minus_early_cross_run,lora,generation,generation_sample,lora-step100,lora-step50,paired_counterfactual_image,ocr,50,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,2000,20260897
late_minus_early_cross_run,lora,generation,prediction_flip,lora-step100,lora-step50,paired_counterfactual_image,ocr,50,45.0,35.0,0.9,0.7,0.2,14,4,32,0.04,0.36,2000,20260898
late_minus_early_cross_run,lora,generation,generation_paired,lora-step100,lora-step50,paired_counterfactual_image,shape,50,24.0,30.0,0.48,0.6,-0.12,15,21,14,-0.36,0.12,2000,20260899
late_minus_early_cross_run,lora,generation,generation_sample,lora-step100,lora-step50,paired_counterfactual_image,shape,50,37.0,40.0,0.74,0.8,-0.06,15,21,14,-0.17,0.06,2000,20260900
late_minus_early_cross_run,lora,generation,prediction_flip,lora-step100,lora-step50,paired_counterfactual_image,shape,50,44.0,45.0,0.88,0.9,-0.02,5,6,39,-0.16,0.1,2000,20260901
late_minus_early_cross_run,lora,generation,generation_paired,lora-step100,lora-step50,paired_counterfactual_image,spatial,50,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,2000,20260902
late_minus_early_cross_run,lora,generation,generation_sample,lora-step100,lora-step50,paired_counterfactual_image,spatial,50,25.0,25.0,0.5,0.5,0.0,0,0,50,0.0,0.0,2000,20260903
late_minus_early_cross_run,lora,generation,prediction_flip,lora-step100,lora-step50,paired_counterfactual_image,spatial,50,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,2000,20260904
late_minus_early_cross_run,lora,generation,generation_paired,lora-step100,lora-step50,vision,overall,300,24.0,30.0,0.08,0.1,-0.02,15,21,264,-0.056666666666666664,0.02,2000,20260905
late_minus_early_cross_run,lora,generation,generation_sample,lora-step100,lora-step50,vision,overall,300,65.0,68.0,0.21666666666666667,0.22666666666666666,-0.01,20,26,254,-0.03166666666666667,0.01,2000,20260906
late_minus_early_cross_run,lora,generation,prediction_flip,lora-step100,lora-step50,vision,overall,300,169.0,122.0,0.5633333333333334,0.4066666666666667,0.15666666666666668,66,19,215,0.09666666666666666,0.21333333333333335,2000,20260907
late_minus_early_cross_run,lora,generation,generation_paired,lora-step100,lora-step50,vision,color,50,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,2000,20260908
late_minus_early_cross_run,lora,generation,generation_sample,lora-step100,lora-step50,vision,color,50,3.0,3.0,0.06,0.06,0.0,5,5,40,-0.06,0.06,2000,20260909
late_minus_early_cross_run,lora,generation,prediction_flip,lora-step100,lora-step50,vision,color,50,13.0,11.0,0.26,0.22,0.04,9,7,34,-0.12,0.2,2000,20260910
late_minus_early_cross_run,lora,generation,generation_paired,lora-step100,lora-step50,vision,coordinate,50,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,2000,20260911
late_minus_early_cross_run,lora,generation,generation_sample,lora-step100,lora-step50,vision,coordinate,50,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,2000,20260912
late_minus_early_cross_run,lora,generation,prediction_flip,lora-step100,lora-step50,vision,coordinate,50,29.0,0.0,0.58,0.0,0.58,29,0,21,0.44,0.72,2000,20260913
late_minus_early_cross_run,lora,generation,generation_paired,lora-step100,lora-step50,vision,count,50,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,2000,20260914
late_minus_early_cross_run,lora,generation,generation_sample,lora-step100,lora-step50,vision,count,50,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,2000,20260915
late_minus_early_cross_run,lora,generation,prediction_flip,lora-step100,lora-step50,vision,count,50,38.0,31.0,0.76,0.62,0.14,9,2,39,0.02,0.26,2000,20260916
late_minus_early_cross_run,lora,generation,generation_paired,lora-step100,lora-step50,vision,ocr,50,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,2000,20260917
late_minus_early_cross_run,lora,generation,generation_sample,lora-step100,lora-step50,vision,ocr,50,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,2000,20260918
late_minus_early_cross_run,lora,generation,prediction_flip,lora-step100,lora-step50,vision,ocr,50,45.0,35.0,0.9,0.7,0.2,14,4,32,0.04,0.36,2000,20260919
late_minus_early_cross_run,lora,generation,generation_paired,lora-step100,lora-step50,vision,shape,50,24.0,30.0,0.48,0.6,-0.12,15,21,14,-0.34,0.12,2000,20260920
late_minus_early_cross_run,lora,generation,generation_sample,lora-step100,lora-step50,vision,shape,50,37.0,40.0,0.74,0.8,-0.06,15,21,14,-0.18,0.06,2000,20260921
late_minus_early_cross_run,lora,generation,prediction_flip,lora-step100,lora-step50,vision,shape,50,44.0,45.0,0.88,0.9,-0.02,5,6,39,-0.14,0.1,2000,20260922
late_minus_early_cross_run,lora,generation,generation_paired,lora-step100,lora-step50,vision,spatial,50,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,2000,20260923
late_minus_early_cross_run,lora,generation,generation_sample,lora-step100,lora-step50,vision,spatial,50,25.0,25.0,0.5,0.5,0.0,0,0,50,0.0,0.0,2000,20260924
late_minus_early_cross_run,lora,generation,prediction_flip,lora-step100,lora-step50,vision,spatial,50,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,2000,20260925
late_minus_early_cross_run,projector,preference,paired_preference,projector-step100,projector-step50,paired_counterfactual_image,overall,1200,15.0,7.0,0.0125,0.005833333333333334,0.006666666666666667,9,1,1190,0.0025,0.011666666666666667,2000,20260926
late_minus_early_cross_run,projector,preference,sample_preference,projector-step100,projector-step50,paired_counterfactual_image,overall,1200,297.5,282.5,0.24791666666666667,0.23541666666666666,0.0125,182,153,865,-0.0020833333333333333,0.0275,2000,20260927
late_minus_early_cross_run,projector,preference,mean_margin,projector-step100,projector-step50,paired_counterfactual_image,overall,1200,-2985.8259563141773,-2149.647017187236,-2.488188296928481,-1.7913725143226968,-0.6968157826057845,296,897,7,-0.7845394814782293,-0.6127366362606574,2000,20260928
late_minus_early_cross_run,projector,preference,paired_preference,projector-step100,projector-step50,paired_counterfactual_image,color,200,0.0,0.0,0.0,0.0,0.0,0,0,200,0.0,0.0,2000,20260929
late_minus_early_cross_run,projector,preference,sample_preference,projector-step100,projector-step50,paired_counterfactual_image,color,200,24.5,33.0,0.1225,0.165,-0.0425,25,42,133,-0.085,-0.0025,2000,20260930
late_minus_early_cross_run,projector,preference,mean_margin,projector-step100,projector-step50,paired_counterfactual_image,color,200,-735.000001892331,-429.812499769032,-3.6750000094616553,-2.14906249884516,-1.5259375106164952,8,192,0,-1.6287500260036905,-1.4168749986955662,2000,20260931
late_minus_early_cross_run,projector,preference,paired_preference,projector-step100,projector-step50,paired_counterfactual_image,coordinate,200,0.0,0.0,0.0,0.0,0.0,0,0,200,0.0,0.0,2000,20260932
late_minus_early_cross_run,projector,preference,sample_preference,projector-step100,projector-step50,paired_counterfactual_image,coordinate,200,42.5,58.5,0.2125,0.2925,-0.08,8,40,152,-0.1125,-0.0475,2000,20260933
late_minus_early_cross_run,projector,preference,mean_margin,projector-step100,projector-step50,paired_counterfactual_image,coordinate,200,-297.3686847835779,-137.56269119679928,-1.4868434239178896,-0.6878134559839963,-0.7990299679338932,0,200,0,-0.8690304939448833,-0.7315090627968311,2000,20260934
late_minus_early_cross_run,projector,preference,paired_preference,projector-step100,projector-step50,paired_counterfactual_image,count,200,14.0,6.0,0.07,0.03,0.04,8,0,192,0.015,0.07,2000,20260935
late_minus_early_cross_run,projector,preference,sample_preference,projector-step100,projector-step50,paired_counterfactual_image,count,200,95.5,57.0,0.4775,0.285,0.1925,76,0,124,0.1575,0.2275,2000,20260936
late_minus_early_cross_run,projector,preference,mean_margin,projector-step100,projector-step50,paired_counterfactual_image,count,200,-62.37500088661909,-66.34374901652336,-0.31187500443309546,-0.3317187450826168,0.019843740649521352,80,113,7,-0.022656255699694157,0.06515623584389686,2000,20260937
late_minus_early_cross_run,projector,preference,paired_preference,projector-step100,projector-step50,paired_counterfactual_image,ocr,200,1.0,1.0,0.005,0.005,0.0,1,1,198,-0.015,0.015,2000,20260938
late_minus_early_cross_run,projector,preference,sample_preference,projector-step100,projector-step50,paired_counterfactual_image,ocr,200,78.5,85.0,0.3925,0.425,-0.0325,8,21,171,-0.06,-0.005,2000,20260939
late_minus_early_cross_run,projector,preference,mean_margin,projector-step100,projector-step50,paired_counterfactual_image,ocr,200,-133.9524838368098,-102.10891330582756,-0.669762419184049,-0.5105445665291378,-0.1592178526549112,59,141,0,-0.20290920786630542,-0.12080560826687585,2000,20260940
late_minus_early_cross_run,projector,preference,paired_preference,projector-step100,projector-step50,paired_counterfactual_image,shape,200,0.0,0.0,0.0,0.0,0.0,0,0,200,0.0,0.0,2000,20260941
late_minus_early_cross_run,projector,preference,sample_preference,projector-step100,projector-step50,paired_counterfactual_image,shape,200,56.5,24.0,0.2825,0.12,0.1625,65,0,135,0.13,0.1975,2000,20260942
late_minus_early_cross_run,projector,preference,mean_margin,projector-step100,projector-step50,paired_counterfactual_image,shape,200,-965.7343833487248,-1221.8906207486289,-4.828671916743624,-6.109453103743144,1.2807811869995203,149,51,0,1.069687451396603,1.495937398718088,2000,20260943
late_minus_early_cross_run,projector,preference,paired_preference,projector-step100,projector-step50,paired_counterfactual_image,spatial,200,0.0,0.0,0.0,0.0,0.0,0,0,200,0.0,0.0,2000,20260944
late_minus_early_cross_run,projector,preference,sample_preference,projector-step100,projector-step50,paired_counterfactual_image,spatial,200,0.0,25.0,0.0,0.125,-0.125,0,50,150,-0.155,-0.095,2000,20260945
late_minus_early_cross_run,projector,preference,mean_margin,projector-step100,projector-step50,paired_counterfactual_image,spatial,200,-791.3954015661147,-191.92854315042496,-3.9569770078305737,-0.9596427157521248,-2.997334292078449,0,200,0,-3.1039115471612604,-2.8932111083930065,2000,20260946
late_minus_early_cross_run,projector,preference,paired_preference,projector-step100,projector-step50,shuffled_image,overall,1200,151.0,137.0,0.12583333333333332,0.11416666666666667,0.011666666666666667,63,49,1088,-0.005,0.029166666666666667,2000,20260947
late_minus_early_cross_run,projector,preference,sample_preference,projector-step100,projector-step50,shuffled_image,overall,1200,520.0,511.5,0.43333333333333335,0.42625,0.007083333333333333,129,113,958,-0.005833333333333334,0.019583333333333335,2000,20260948
late_minus_early_cross_run,projector,preference,mean_margin,projector-step100,projector-step50,shuffled_image,overall,1200,-556.8745283932176,-258.39458590200326,-0.46406210699434797,-0.21532882158500272,-0.24873328540934528,548,613,39,-0.31182299425881677,-0.18499961369587428,2000,20260949
late_minus_early_cross_run,projector,preference,paired_preference,projector-step100,projector-step50,shuffled_image,color,200,48.0,32.0,0.24,0.16,0.08,21,5,174,0.03,0.13,2000,20260950
late_minus_early_cross_run,projector,preference,sample_preference,projector-step100,projector-step50,shuffled_image,color,200,98.5,91.5,0.4925,0.4575,0.035,36,23,141,-0.0025,0.0725,2000,20260951
late_minus_early_cross_run,projector,preference,mean_margin,projector-step100,projector-step50,shuffled_image,color,200,-24.468749647494406,-6.750001788139343,-0.12234374823747203,-0.03375000894069671,-0.08859373929677532,93,107,0,-0.2467187453591032,0.0670312737848144,2000,20260952
late_minus_early_cross_run,projector,preference,paired_preference,projector-step100,projector-step50,shuffled_image,coordinate,200,25.0,18.0,0.125,0.09,0.035,16,9,175,-0.015,0.08,2000,20260953
late_minus_early_cross_run,projector,preference,sample_preference,projector-step100,projector-step50,shuffled_image,coordinate,200,101.0,102.5,0.505,0.5125,-0.0075,21,24,155,-0.04,0.0225,2000,20260954
late_minus_early_cross_run,projector,preference,mean_margin,projector-step100,projector-step50,shuffled_image,coordinate,200,-0.6272370219230652,-0.8811658322811127,-0.003136185109615326,-0.004405829161405563,0.0012696440517902374,95,82,23,-0.07541537381708623,0.07213737934827805,2000,20260955
