modality,state,anchor_weight,condition,task,metric,pairs,mean
preference,anchor-1e-2,0.01,vision,coordinate,paired_preference,50,0.72
preference,anchor-1e-2,0.01,vision,coordinate,sample_preference,50,0.86
preference,anchor-1e-2,0.01,vision,coordinate,mean_margin,50,1.481261156797409
preference,anchor-1e-2,0.01,vision,count,paired_preference,50,0.16
preference,anchor-1e-2,0.01,vision,count,sample_preference,50,0.54
preference,anchor-1e-2,0.01,vision,count,mean_margin,50,0.6037500010430813
preference,anchor-1e-2,0.01,vision,ocr,paired_preference,50,0.22
preference,anchor-1e-2,0.01,vision,ocr,sample_preference,50,0.61
preference,anchor-1e-2,0.01,vision,ocr,mean_margin,50,0.7532463207699004
preference,anchor-1e-2,0.01,vision,shape,paired_preference,50,0.54
preference,anchor-1e-2,0.01,vision,shape,sample_preference,50,0.77
preference,anchor-1e-2,0.01,vision,shape,mean_margin,50,6.418437471565557
preference,anchor-1e-2,0.01,vision,spatial,paired_preference,50,0.76
preference,anchor-1e-2,0.01,vision,spatial,sample_preference,50,0.88
preference,anchor-1e-2,0.01,vision,spatial,mean_margin,50,3.3240309002040886
preference,anchor-1e-3,0.001,paired_counterfactual_image,overall,paired_preference,300,0.01
preference,anchor-1e-3,0.001,paired_counterfactual_image,overall,sample_preference,300,0.22
preference,anchor-1e-3,0.001,paired_counterfactual_image,overall,mean_margin,300,-2.783618850793967
preference,anchor-1e-3,0.001,paired_counterfactual_image,color,paired_preference,50,0.0
preference,anchor-1e-3,0.001,paired_counterfactual_image,color,sample_preference,50,0.03
preference,anchor-1e-3,0.001,paired_counterfactual_image,color,mean_margin,50,-4.249375026569469
preference,anchor-1e-3,0.001,paired_counterfactual_image,coordinate,paired_preference,50,0.0
preference,anchor-1e-3,0.001,paired_counterfactual_image,coordinate,sample_preference,50,0.17
preference,anchor-1e-3,0.001,paired_counterfactual_image,coordinate,mean_margin,50,-1.4142161583900452
preference,anchor-1e-3,0.001,paired_counterfactual_image,count,paired_preference,50,0.06
preference,anchor-1e-3,0.001,paired_counterfactual_image,count,sample_preference,50,0.48
preference,anchor-1e-3,0.001,paired_counterfactual_image,count,mean_margin,50,-0.5068750059604645
preference,anchor-1e-3,0.001,paired_counterfactual_image,ocr,paired_preference,50,0.0
preference,anchor-1e-3,0.001,paired_counterfactual_image,ocr,sample_preference,50,0.41
preference,anchor-1e-3,0.001,paired_counterfactual_image,ocr,mean_margin,50,-0.7153843285015651
preference,anchor-1e-3,0.001,paired_counterfactual_image,shape,paired_preference,50,0.0
preference,anchor-1e-3,0.001,paired_counterfactual_image,shape,sample_preference,50,0.23
preference,anchor-1e-3,0.001,paired_counterfactual_image,shape,mean_margin,50,-6.018437535561389
preference,anchor-1e-3,0.001,paired_counterfactual_image,spatial,paired_preference,50,0.0
preference,anchor-1e-3,0.001,paired_counterfactual_image,spatial,sample_preference,50,0.0
preference,anchor-1e-3,0.001,paired_counterfactual_image,spatial,mean_margin,50,-3.797425049780868
preference,anchor-1e-3,0.001,shuffled_image,overall,paired_preference,300,0.14
preference,anchor-1e-3,0.001,shuffled_image,overall,sample_preference,300,0.48333333333333334
preference,anchor-1e-3,0.001,shuffled_image,overall,mean_margin,300,-0.34132824957653296
preference,anchor-1e-3,0.001,shuffled_image,color,paired_preference,50,0.28
preference,anchor-1e-3,0.001,shuffled_image,color,sample_preference,50,0.52
preference,anchor-1e-3,0.001,shuffled_image,color,mean_margin,50,0.12312501129694282
preference,anchor-1e-3,0.001,shuffled_image,coordinate,paired_preference,50,0.18
preference,anchor-1e-3,0.001,shuffled_image,coordinate,sample_preference,50,0.54
preference,anchor-1e-3,0.001,shuffled_image,coordinate,mean_margin,50,0.09266119986772538
preference,anchor-1e-3,0.001,shuffled_image,count,paired_preference,50,0.14
preference,anchor-1e-3,0.001,shuffled_image,count,sample_preference,50,0.45
preference,anchor-1e-3,0.001,shuffled_image,count,mean_margin,50,-0.02875000685453415
preference,anchor-1e-3,0.001,shuffled_image,ocr,paired_preference,50,0.08
preference,anchor-1e-3,0.001,shuffled_image,ocr,sample_preference,50,0.5
preference,anchor-1e-3,0.001,shuffled_image,ocr,mean_margin,50,-0.018385691937946116
preference,anchor-1e-3,0.001,shuffled_image,shape,paired_preference,50,0.16
preference,anchor-1e-3,0.001,shuffled_image,shape,sample_preference,50,0.52
preference,anchor-1e-3,0.001,shuffled_image,shape,mean_margin,50,0.19968745780526662
preference,anchor-1e-3,0.001,shuffled_image,spatial,paired_preference,50,0.0
preference,anchor-1e-3,0.001,shuffled_image,spatial,sample_preference,50,0.37
preference,anchor-1e-3,0.001,shuffled_image,spatial,mean_margin,50,-2.4163074676366523
preference,anchor-1e-3,0.001,vision,overall,paired_preference,300,0.57
preference,anchor-1e-3,0.001,vision,overall,sample_preference,300,0.78
preference,anchor-1e-3,0.001,vision,overall,mean_margin,300,2.783618850793967
preference,anchor-1e-3,0.001,vision,color,paired_preference,50,0.94
preference,anchor-1e-3,0.001,vision,color,sample_preference,50,0.97
preference,anchor-1e-3,0.001,vision,color,mean_margin,50,4.249375026569469
preference,anchor-1e-3,0.001,vision,coordinate,paired_preference,50,0.66
preference,anchor-1e-3,0.001,vision,coordinate,sample_preference,50,0.83
preference,anchor-1e-3,0.001,vision,coordinate,mean_margin,50,1.4142161583900452
preference,anchor-1e-3,0.001,vision,count,paired_preference,50,0.1
preference,anchor-1e-3,0.001,vision,count,sample_preference,50,0.52
preference,anchor-1e-3,0.001,vision,count,mean_margin,50,0.5068750059604645
preference,anchor-1e-3,0.001,vision,ocr,paired_preference,50,0.18
preference,anchor-1e-3,0.001,vision,ocr,sample_preference,50,0.59
preference,anchor-1e-3,0.001,vision,ocr,mean_margin,50,0.7153843285015651
preference,anchor-1e-3,0.001,vision,shape,paired_preference,50,0.54
preference,anchor-1e-3,0.001,vision,shape,sample_preference,50,0.77
preference,anchor-1e-3,0.001,vision,shape,mean_margin,50,6.018437535561389
preference,anchor-1e-3,0.001,vision,spatial,paired_preference,50,1.0
preference,anchor-1e-3,0.001,vision,spatial,sample_preference,50,1.0
preference,anchor-1e-3,0.001,vision,spatial,mean_margin,50,3.797425049780868
preference,anchor-1e-4,0.0001,paired_counterfactual_image,overall,paired_preference,300,0.01
preference,anchor-1e-4,0.0001,paired_counterfactual_image,overall,sample_preference,300,0.25666666666666665
preference,anchor-1e-4,0.0001,paired_counterfactual_image,overall,mean_margin,300,-2.4203644022299793
preference,anchor-1e-4,0.0001,paired_counterfactual_image,color,paired_preference,50,0.0
preference,anchor-1e-4,0.0001,paired_counterfactual_image,color,sample_preference,50,0.15
preference,anchor-1e-4,0.0001,paired_counterfactual_image,color,mean_margin,50,-3.0681249632500114
preference,anchor-1e-4,0.0001,paired_counterfactual_image,coordinate,paired_preference,50,0.0
preference,anchor-1e-4,0.0001,paired_counterfactual_image,coordinate,sample_preference,50,0.26
preference,anchor-1e-4,0.0001,paired_counterfactual_image,coordinate,mean_margin,50,-1.3144805228710175
preference,anchor-1e-4,0.0001,paired_counterfactual_image,count,paired_preference,50,0.06
preference,anchor-1e-4,0.0001,paired_counterfactual_image,count,sample_preference,50,0.45
preference,anchor-1e-4,0.0001,paired_counterfactual_image,count,mean_margin,50,-0.405625002682209
preference,anchor-1e-4,0.0001,paired_counterfactual_image,ocr,paired_preference,50,0.0
preference,anchor-1e-4,0.0001,paired_counterfactual_image,ocr,sample_preference,50,0.39
preference,anchor-1e-4,0.0001,paired_counterfactual_image,ocr,mean_margin,50,-0.7212211199715024
preference,anchor-1e-4,0.0001,paired_counterfactual_image,shape,paired_preference,50,0.0
preference,anchor-1e-4,0.0001,paired_counterfactual_image,shape,sample_preference,50,0.29
preference,anchor-1e-4,0.0001,paired_counterfactual_image,shape,mean_margin,50,-5.27593748469837
preference,anchor-1e-4,0.0001,paired_counterfactual_image,spatial,paired_preference,50,0.0
preference,anchor-1e-4,0.0001,paired_counterfactual_image,spatial,sample_preference,50,0.0
preference,anchor-1e-4,0.0001,paired_counterfactual_image,spatial,mean_margin,50,-3.736797319906764
preference,anchor-1e-4,0.0001,shuffled_image,overall,paired_preference,300,0.14333333333333334
preference,anchor-1e-4,0.0001,shuffled_image,overall,sample_preference,300,0.4666666666666667
preference,anchor-1e-4,0.0001,shuffled_image,overall,mean_margin,300,-0.30785921118939147
preference,anchor-1e-4,0.0001,shuffled_image,color,paired_preference,50,0.28
preference,anchor-1e-4,0.0001,shuffled_image,color,sample_preference,50,0.51
preference,anchor-1e-4,0.0001,shuffled_image,color,mean_margin,50,-0.04375003039836883
preference,anchor-1e-4,0.0001,shuffled_image,coordinate,paired_preference,50,0.18
preference,anchor-1e-4,0.0001,shuffled_image,coordinate,sample_preference,50,0.55
preference,anchor-1e-4,0.0001,shuffled_image,coordinate,mean_margin,50,0.14081960827112197
preference,anchor-1e-4,0.0001,shuffled_image,count,paired_preference,50,0.18
preference,anchor-1e-4,0.0001,shuffled_image,count,sample_preference,50,0.47
preference,anchor-1e-4,0.0001,shuffled_image,count,mean_margin,50,-0.010624996721744537
preference,anchor-1e-4,0.0001,shuffled_image,ocr,paired_preference,50,0.1
preference,anchor-1e-4,0.0001,shuffled_image,ocr,sample_preference,50,0.51
preference,anchor-1e-4,0.0001,shuffled_image,ocr,mean_margin,50,-0.016408061754135908
preference,anchor-1e-4,0.0001,shuffled_image,shape,paired_preference,50,0.12
preference,anchor-1e-4,0.0001,shuffled_image,shape,sample_preference,50,0.51
preference,anchor-1e-4,0.0001,shuffled_image,shape,mean_margin,50,0.4834374561160803
preference,anchor-1e-4,0.0001,shuffled_image,spatial,paired_preference,50,0.0
preference,anchor-1e-4,0.0001,shuffled_image,spatial,sample_preference,50,0.25
preference,anchor-1e-4,0.0001,shuffled_image,spatial,mean_margin,50,-2.400629242649302
preference,anchor-1e-4,0.0001,vision,overall,paired_preference,300,0.49666666666666665
preference,anchor-1e-4,0.0001,vision,overall,sample_preference,300,0.74
preference,anchor-1e-4,0.0001,vision,overall,mean_margin,300,2.4203644022299793
preference,anchor-1e-4,0.0001,vision,color,paired_preference,50,0.7
preference,anchor-1e-4,0.0001,vision,color,sample_preference,50,0.85
preference,anchor-1e-4,0.0001,vision,color,mean_margin,50,3.0681249632500114
preference,anchor-1e-4,0.0001,vision,coordinate,paired_preference,50,0.48
preference,anchor-1e-4,0.0001,vision,coordinate,sample_preference,50,0.74
preference,anchor-1e-4,0.0001,vision,coordinate,mean_margin,50,1.3144805228710175
preference,anchor-1e-4,0.0001,vision,count,paired_preference,50,0.16
preference,anchor-1e-4,0.0001,vision,count,sample_preference,50,0.53
preference,anchor-1e-4,0.0001,vision,count,mean_margin,50,0.405625002682209
preference,anchor-1e-4,0.0001,vision,ocr,paired_preference,50,0.22
preference,anchor-1e-4,0.0001,vision,ocr,sample_preference,50,0.61
preference,anchor-1e-4,0.0001,vision,ocr,mean_margin,50,0.7212211199715024
preference,anchor-1e-4,0.0001,vision,shape,paired_preference,50,0.42
preference,anchor-1e-4,0.0001,vision,shape,sample_preference,50,0.71
preference,anchor-1e-4,0.0001,vision,shape,mean_margin,50,5.27593748469837
preference,anchor-1e-4,0.0001,vision,spatial,paired_preference,50,1.0
preference,anchor-1e-4,0.0001,vision,spatial,sample_preference,50,1.0
preference,anchor-1e-4,0.0001,vision,spatial,mean_margin,50,3.736797319906764
preference,resume-control,,paired_counterfactual_image,overall,paired_preference,300,0.016666666666666666
preference,resume-control,,paired_counterfactual_image,overall,sample_preference,300,0.245
preference,resume-control,,paired_counterfactual_image,overall,mean_margin,300,-2.5322879816515433
preference,resume-control,,paired_counterfactual_image,color,paired_preference,50,0.0
preference,resume-control,,paired_counterfactual_image,color,sample_preference,50,0.11
preference,resume-control,,paired_counterfactual_image,color,mean_margin,50,-3.600000024421606
preference,resume-control,,paired_counterfactual_image,coordinate,paired_preference,50,0.0
preference,resume-control,,paired_counterfactual_image,coordinate,sample_preference,50,0.23
preference,resume-control,,paired_counterfactual_image,coordinate,mean_margin,50,-1.5377499413490296
preference,resume-control,,paired_counterfactual_image,count,paired_preference,50,0.1
preference,resume-control,,paired_counterfactual_image,count,sample_preference,50,0.48
preference,resume-control,,paired_counterfactual_image,count,mean_margin,50,-0.35125000417232516
preference,resume-control,,paired_counterfactual_image,ocr,paired_preference,50,0.0
preference,resume-control,,paired_counterfactual_image,ocr,sample_preference,50,0.39
preference,resume-control,,paired_counterfactual_image,ocr,mean_margin,50,-0.7732174833842685
preference,resume-control,,paired_counterfactual_image,shape,paired_preference,50,0.0
preference,resume-control,,paired_counterfactual_image,shape,sample_preference,50,0.26
preference,resume-control,,paired_counterfactual_image,shape,mean_margin,50,-4.946562510877848
preference,resume-control,,paired_counterfactual_image,spatial,paired_preference,50,0.0
preference,resume-control,,paired_counterfactual_image,spatial,sample_preference,50,0.0
preference,resume-control,,paired_counterfactual_image,spatial,mean_margin,50,-3.984947925704182
preference,resume-control,,shuffled_image,overall,paired_preference,300,0.14666666666666667
preference,resume-control,,shuffled_image,overall,sample_preference,300,0.44166666666666665
preference,resume-control,,shuffled_image,overall,mean_margin,300,-0.30473046509010276
preference,resume-control,,shuffled_image,color,paired_preference,50,0.28
preference,resume-control,,shuffled_image,color,sample_preference,50,0.51
preference,resume-control,,shuffled_image,color,mean_margin,50,0.009999985098838806
preference,resume-control,,shuffled_image,coordinate,paired_preference,50,0.16
preference,resume-control,,shuffled_image,coordinate,sample_preference,50,0.52
preference,resume-control,,shuffled_image,coordinate,mean_margin,50,0.10555765390396118
preference,resume-control,,shuffled_image,count,paired_preference,50,0.16
preference,resume-control,,shuffled_image,count,sample_preference,50,0.45
preference,resume-control,,shuffled_image,count,mean_margin,50,-0.039999998658895496
preference,resume-control,,shuffled_image,ocr,paired_preference,50,0.12
preference,resume-control,,shuffled_image,ocr,sample_preference,50,0.52
preference,resume-control,,shuffled_image,ocr,mean_margin,50,-0.01788814179102578
preference,resume-control,,shuffled_image,shape,paired_preference,50,0.16
preference,resume-control,,shuffled_image,shape,sample_preference,50,0.52
preference,resume-control,,shuffled_image,shape,mean_margin,50,0.41281252628192305
preference,resume-control,,shuffled_image,spatial,paired_preference,50,0.0
preference,resume-control,,shuffled_image,spatial,sample_preference,50,0.13
preference,resume-control,,shuffled_image,spatial,mean_margin,50,-2.2988648153754183
preference,resume-control,,vision,overall,paired_preference,300,0.5166666666666667
preference,resume-control,,vision,overall,sample_preference,300,0.75
preference,resume-control,,vision,overall,mean_margin,300,2.5322879816515433
preference,resume-control,,vision,color,paired_preference,50,0.74
preference,resume-control,,vision,color,sample_preference,50,0.87
preference,resume-control,,vision,color,mean_margin,50,3.600000024421606
preference,resume-control,,vision,coordinate,paired_preference,50,0.54
preference,resume-control,,vision,coordinate,sample_preference,50,0.77
preference,resume-control,,vision,coordinate,mean_margin,50,1.5377499413490296
preference,resume-control,,vision,count,paired_preference,50,0.12
preference,resume-control,,vision,count,sample_preference,50,0.51
preference,resume-control,,vision,count,mean_margin,50,0.35125000417232516
preference,resume-control,,vision,ocr,paired_preference,50,0.22
preference,resume-control,,vision,ocr,sample_preference,50,0.61
preference,resume-control,,vision,ocr,mean_margin,50,0.7732174833842685
preference,resume-control,,vision,shape,paired_preference,50,0.48
preference,resume-control,,vision,shape,sample_preference,50,0.74
preference,resume-control,,vision,shape,mean_margin,50,4.946562510877848
preference,resume-control,,vision,spatial,paired_preference,50,1.0
preference,resume-control,,vision,spatial,sample_preference,50,1.0
preference,resume-control,,vision,spatial,mean_margin,50,3.984947925704182
generation,frozen-base,,paired_counterfactual_image,overall,generation_paired,300,0.23333333333333334
generation,frozen-base,,paired_counterfactual_image,overall,generation_sample,300,0.3883333333333333
generation,frozen-base,,paired_counterfactual_image,overall,prediction_flip,300,0.7066666666666667
generation,frozen-base,,paired_counterfactual_image,color,generation_paired,50,0.14
generation,frozen-base,,paired_counterfactual_image,color,generation_sample,50,0.37
generation,frozen-base,,paired_counterfactual_image,color,prediction_flip,50,0.72
generation,frozen-base,,paired_counterfactual_image,coordinate,generation_paired,50,0.02
generation,frozen-base,,paired_counterfactual_image,coordinate,generation_sample,50,0.17
generation,frozen-base,,paired_counterfactual_image,coordinate,prediction_flip,50,0.42
generation,frozen-base,,paired_counterfactual_image,count,generation_paired,50,0.02
generation,frozen-base,,paired_counterfactual_image,count,generation_sample,50,0.21
generation,frozen-base,,paired_counterfactual_image,count,prediction_flip,50,0.72
generation,frozen-base,,paired_counterfactual_image,ocr,generation_paired,50,0.0
generation,frozen-base,,paired_counterfactual_image,ocr,generation_sample,50,0.0
generation,frozen-base,,paired_counterfactual_image,ocr,prediction_flip,50,0.78
generation,frozen-base,,paired_counterfactual_image,shape,generation_paired,50,0.44
generation,frozen-base,,paired_counterfactual_image,shape,generation_sample,50,0.69
generation,frozen-base,,paired_counterfactual_image,shape,prediction_flip,50,0.82
generation,frozen-base,,paired_counterfactual_image,spatial,generation_paired,50,0.78
generation,frozen-base,,paired_counterfactual_image,spatial,generation_sample,50,0.89
generation,frozen-base,,paired_counterfactual_image,spatial,prediction_flip,50,0.78
generation,frozen-base,,vision,overall,generation_paired,300,0.23333333333333334
generation,frozen-base,,vision,overall,generation_sample,300,0.3883333333333333
generation,frozen-base,,vision,overall,prediction_flip,300,0.7066666666666667
generation,frozen-base,,vision,color,generation_paired,50,0.14
generation,frozen-base,,vision,color,generation_sample,50,0.37
generation,frozen-base,,vision,color,prediction_flip,50,0.72
generation,frozen-base,,vision,coordinate,generation_paired,50,0.02
generation,frozen-base,,vision,coordinate,generation_sample,50,0.17
generation,frozen-base,,vision,coordinate,prediction_flip,50,0.42
generation,frozen-base,,vision,count,generation_paired,50,0.02
generation,frozen-base,,vision,count,generation_sample,50,0.21
generation,frozen-base,,vision,count,prediction_flip,50,0.72
generation,frozen-base,,vision,ocr,generation_paired,50,0.0
generation,frozen-base,,vision,ocr,generation_sample,50,0.0
generation,frozen-base,,vision,ocr,prediction_flip,50,0.78
generation,frozen-base,,vision,shape,generation_paired,50,0.44
generation,frozen-base,,vision,shape,generation_sample,50,0.69
generation,frozen-base,,vision,shape,prediction_flip,50,0.82
generation,frozen-base,,vision,spatial,generation_paired,50,0.78
generation,frozen-base,,vision,spatial,generation_sample,50,0.89
generation,frozen-base,,vision,spatial,prediction_flip,50,0.78
generation,anchor-1e-2,0.01,paired_counterfactual_image,overall,generation_paired,300,0.3
generation,anchor-1e-2,0.01,paired_counterfactual_image,overall,generation_sample,300,0.475
generation,anchor-1e-2,0.01,paired_counterfactual_image,overall,prediction_flip,300,0.82
generation,anchor-1e-2,0.01,paired_counterfactual_image,color,generation_paired,50,0.58
generation,anchor-1e-2,0.01,paired_counterfactual_image,color,generation_sample,50,0.78
generation,anchor-1e-2,0.01,paired_counterfactual_image,color,prediction_flip,50,0.92
generation,anchor-1e-2,0.01,paired_counterfactual_image,coordinate,generation_paired,50,0.28
generation,anchor-1e-2,0.01,paired_counterfactual_image,coordinate,generation_sample,50,0.57
generation,anchor-1e-2,0.01,paired_counterfactual_image,coordinate,prediction_flip,50,0.96
generation,anchor-1e-2,0.01,paired_counterfactual_image,count,generation_paired,50,0.04
generation,anchor-1e-2,0.01,paired_counterfactual_image,count,generation_sample,50,0.15
generation,anchor-1e-2,0.01,paired_counterfactual_image,count,prediction_flip,50,0.62
generation,anchor-1e-2,0.01,paired_counterfactual_image,ocr,generation_paired,50,0.0
generation,anchor-1e-2,0.01,paired_counterfactual_image,ocr,generation_sample,50,0.0
