pairs_per_task,trial,task,mean_gap,ci95_low,ci95_high,triggered,sampling_seed,bootstrap_seed
8,20,ocr,0.0,0.0,0.0,False,28262829,28262830
8,20,shape,0.0,0.0,0.0,False,28262830,28262831
8,20,spatial,0.25,0.0,0.625,False,28262831,28262832
8,21,color,0.125,0.0,0.375,False,28262926,28262927
8,21,coordinate,0.0,-0.375,0.375,False,28262927,28262928
8,21,count,-0.5,-0.875,-0.125,True,28262928,28262929
8,21,ocr,0.125,0.0,0.375,False,28262929,28262930
8,21,shape,0.125,0.0,0.375,False,28262930,28262931
8,21,spatial,0.25,0.0,0.625,False,28262931,28262932
8,22,color,0.0,-0.5,0.5,False,28263026,28263027
8,22,coordinate,0.125,-0.25,0.5,False,28263027,28263028
8,22,count,-0.25,-0.625,0.0,False,28263028,28263029
8,22,ocr,-0.125,-0.375,0.0,False,28263029,28263030
8,22,shape,-0.125,-0.5,0.25,False,28263030,28263031
8,22,spatial,0.5,0.125,0.875,False,28263031,28263032
8,23,color,0.75,0.375,1.0,False,28263126,28263127
8,23,coordinate,0.0,-0.5,0.5,False,28263127,28263128
8,23,count,-0.25,-0.625,0.0,False,28263128,28263129
8,23,ocr,0.0,0.0,0.0,False,28263129,28263130
8,23,shape,-0.125,-0.375,0.0,False,28263130,28263131
8,23,spatial,0.0,0.0,0.0,False,28263131,28263132
8,24,color,0.375,0.125,0.75,False,28263226,28263227
8,24,coordinate,-0.125,-0.5,0.25,False,28263227,28263228
8,24,count,-0.5,-0.875,-0.125,True,28263228,28263229
8,24,ocr,0.0,0.0,0.0,False,28263229,28263230
8,24,shape,-0.125,-0.375,0.0,False,28263230,28263231
8,24,spatial,0.625,0.25,0.875,False,28263231,28263232
8,25,color,0.375,-0.125,0.875,False,28263326,28263327
8,25,coordinate,0.125,0.0,0.375,False,28263327,28263328
8,25,count,-0.375,-0.75,-0.125,True,28263328,28263329
8,25,ocr,0.0,-0.375,0.375,False,28263329,28263330
8,25,shape,-0.125,-0.375,0.0,False,28263330,28263331
8,25,spatial,0.5,0.125,0.875,False,28263331,28263332
8,26,color,0.5,0.0,0.875,False,28263426,28263427
8,26,coordinate,0.375,0.0,0.75,False,28263427,28263428
8,26,count,-0.375,-0.75,0.0,False,28263428,28263429
8,26,ocr,0.0,0.0,0.0,False,28263429,28263430
8,26,shape,-0.125,-0.375,0.0,False,28263430,28263431
8,26,spatial,0.25,0.0,0.625,False,28263431,28263432
8,27,color,0.375,0.0,0.75,False,28263526,28263527
8,27,coordinate,0.0,-0.375,0.375,False,28263527,28263528
8,27,count,-0.375,-0.75,-0.125,True,28263528,28263529
8,27,ocr,0.0,0.0,0.0,False,28263529,28263530
8,27,shape,0.0,0.0,0.0,False,28263530,28263531
8,27,spatial,0.375,0.0,0.75,False,28263531,28263532
8,28,color,0.375,0.125,0.75,False,28263626,28263627
8,28,coordinate,0.125,0.0,0.375,False,28263627,28263628
8,28,count,-0.375,-0.75,-0.125,True,28263628,28263629
8,28,ocr,0.125,0.0,0.375,False,28263629,28263630
8,28,shape,-0.125,-0.375,0.0,False,28263630,28263631
8,28,spatial,0.375,0.125,0.75,False,28263631,28263632
8,29,color,0.375,0.125,0.75,False,28263726,28263727
8,29,coordinate,0.0,-0.375,0.375,False,28263727,28263728
8,29,count,-0.125,-0.375,0.0,False,28263728,28263729
8,29,ocr,0.125,0.0,0.375,False,28263729,28263730
8,29,shape,-0.125,-0.375,0.0,False,28263730,28263731
8,29,spatial,0.375,0.0,0.75,False,28263731,28263732
8,30,color,0.25,0.0,0.625,False,28263826,28263827
8,30,coordinate,0.125,0.0,0.375,False,28263827,28263828
8,30,count,-0.375,-0.75,-0.125,True,28263828,28263829
8,30,ocr,0.0,0.0,0.0,False,28263829,28263830
8,30,shape,-0.5,-0.875,-0.125,True,28263830,28263831
8,30,spatial,0.5,0.125,0.875,False,28263831,28263832
8,31,color,0.0,-0.375,0.375,False,28263926,28263927
8,31,coordinate,0.0,-0.375,0.375,False,28263927,28263928
8,31,count,-0.25,-0.625,0.0,False,28263928,28263929
8,31,ocr,0.0,0.0,0.0,False,28263929,28263930
8,31,shape,0.0,0.0,0.0,False,28263930,28263931
8,31,spatial,0.125,0.0,0.375,False,28263931,28263932
8,32,color,0.125,0.0,0.375,False,28264026,28264027
8,32,coordinate,0.125,0.0,0.375,False,28264027,28264028
8,32,count,-0.25,-0.625,0.0,False,28264028,28264029
8,32,ocr,0.0,0.0,0.0,False,28264029,28264030
8,32,shape,0.25,0.0,0.625,False,28264030,28264031
8,32,spatial,0.5,0.125,0.875,False,28264031,28264032
8,33,color,0.25,-0.25,0.75,False,28264126,28264127
8,33,coordinate,0.25,0.0,0.625,False,28264127,28264128
8,33,count,-0.125,-0.375,0.0,False,28264128,28264129
8,33,ocr,0.0,-0.375,0.375,False,28264129,28264130
8,33,shape,0.125,0.0,0.375,False,28264130,28264131
8,33,spatial,0.375,0.0,0.75,False,28264131,28264132
8,34,color,0.125,0.0,0.375,False,28264226,28264227
8,34,coordinate,-0.125,-0.5,0.25,False,28264227,28264228
8,34,count,-0.25,-0.625,0.0,False,28264228,28264229
8,34,ocr,0.0,0.0,0.0,False,28264229,28264230
8,34,shape,0.0,0.0,0.0,False,28264230,28264231
8,34,spatial,0.5,0.125,0.875,False,28264231,28264232
8,35,color,-0.25,-0.625,0.25,False,28264326,28264327
8,35,coordinate,0.125,0.0,0.375,False,28264327,28264328
8,35,count,-0.25,-0.5,0.0,False,28264328,28264329
8,35,ocr,0.125,0.0,0.375,False,28264329,28264330
8,35,shape,0.125,-0.25,0.5,False,28264330,28264331
8,35,spatial,0.5,0.125,0.875,False,28264331,28264332
8,36,color,0.125,-0.5,0.625,False,28264426,28264427
8,36,coordinate,-0.125,-0.375,0.0,False,28264427,28264428
8,36,count,-0.5,-0.875,-0.125,True,28264428,28264429
8,36,ocr,-0.125,-0.375,0.0,False,28264429,28264430
8,36,shape,-0.125,-0.375,0.0,False,28264430,28264431
8,36,spatial,0.125,0.0,0.375,False,28264431,28264432
8,37,color,0.25,-0.25,0.75,False,28264526,28264527
8,37,coordinate,0.375,0.0,0.75,False,28264527,28264528
8,37,count,-0.375,-0.75,-0.125,True,28264528,28264529
8,37,ocr,0.125,0.0,0.375,False,28264529,28264530
8,37,shape,-0.375,-0.75,-0.125,True,28264530,28264531
8,37,spatial,0.125,0.0,0.375,False,28264531,28264532
8,38,color,0.125,-0.25,0.5,False,28264626,28264627
8,38,coordinate,0.0,-0.5,0.5,False,28264627,28264628
8,38,count,-0.25,-0.625,0.0,False,28264628,28264629
8,38,ocr,0.0,0.0,0.0,False,28264629,28264630
8,38,shape,-0.125,-0.375,0.0,False,28264630,28264631
8,38,spatial,0.5,0.125,0.875,False,28264631,28264632
8,39,color,0.25,0.0,0.625,False,28264726,28264727
8,39,coordinate,0.25,0.0,0.625,False,28264727,28264728
8,39,count,-0.25,-0.625,0.0,False,28264728,28264729
8,39,ocr,0.0,0.0,0.0,False,28264729,28264730
8,39,shape,-0.25,-0.625,0.0,False,28264730,28264731
8,39,spatial,0.0,0.0,0.0,False,28264731,28264732
8,40,color,0.125,0.0,0.375,False,28264826,28264827
8,40,coordinate,-0.125,-0.375,0.0,False,28264827,28264828
8,40,count,-0.375,-0.75,0.0,False,28264828,28264829
8,40,ocr,0.0,-0.375,0.375,False,28264829,28264830
8,40,shape,-0.125,-0.375,0.0,False,28264830,28264831
8,40,spatial,0.125,0.0,0.375,False,28264831,28264832
8,41,color,-0.125,-0.625,0.375,False,28264926,28264927
8,41,coordinate,0.0,-0.375,0.375,False,28264927,28264928
8,41,count,-0.375,-0.75,-0.125,True,28264928,28264929
8,41,ocr,-0.125,-0.375,0.0,False,28264929,28264930
8,41,shape,0.0,-0.375,0.375,False,28264930,28264931
8,41,spatial,0.25,0.0,0.625,False,28264931,28264932
8,42,color,0.375,0.125,0.75,False,28265026,28265027
8,42,coordinate,0.0,0.0,0.0,False,28265027,28265028
8,42,count,-0.25,-0.625,0.0,False,28265028,28265029
8,42,ocr,0.0,0.0,0.0,False,28265029,28265030
8,42,shape,0.125,0.0,0.375,False,28265030,28265031
8,42,spatial,0.0,0.0,0.0,False,28265031,28265032
8,43,color,0.375,0.0,0.75,False,28265126,28265127
8,43,coordinate,-0.125,-0.5,0.25,False,28265127,28265128
8,43,count,-0.375,-0.75,0.0,False,28265128,28265129
8,43,ocr,0.0,0.0,0.0,False,28265129,28265130
8,43,shape,0.125,0.0,0.375,False,28265130,28265131
8,43,spatial,0.25,0.0,0.625,False,28265131,28265132
8,44,color,-0.125,-0.375,0.0,False,28265226,28265227
8,44,coordinate,0.25,0.0,0.625,False,28265227,28265228
8,44,count,0.0,0.0,0.0,False,28265228,28265229
8,44,ocr,0.125,0.0,0.375,False,28265229,28265230
8,44,shape,0.125,0.0,0.375,False,28265230,28265231
8,44,spatial,0.125,0.0,0.375,False,28265231,28265232
8,45,color,0.0,-0.375,0.375,False,28265326,28265327
8,45,coordinate,-0.125,-0.5,0.25,False,28265327,28265328
8,45,count,-0.25,-0.625,0.0,False,28265328,28265329
8,45,ocr,0.0,0.0,0.0,False,28265329,28265330
8,45,shape,0.0,0.0,0.0,False,28265330,28265331
8,45,spatial,0.375,0.125,0.75,False,28265331,28265332
8,46,color,0.375,-0.125,0.875,False,28265426,28265427
8,46,coordinate,-0.125,-0.375,0.0,False,28265427,28265428
8,46,count,-0.25,-0.625,0.0,False,28265428,28265429
8,46,ocr,0.125,0.0,0.375,False,28265429,28265430
8,46,shape,0.125,0.0,0.375,False,28265430,28265431
8,46,spatial,0.125,0.0,0.375,False,28265431,28265432
8,47,color,0.0,-0.375,0.375,False,28265526,28265527
8,47,coordinate,-0.125,-0.375,0.0,False,28265527,28265528
8,47,count,-0.375,-0.75,-0.125,True,28265528,28265529
8,47,ocr,0.0,0.0,0.0,False,28265529,28265530
8,47,shape,0.0,0.0,0.0,False,28265530,28265531
8,47,spatial,0.0,0.0,0.0,False,28265531,28265532
8,48,color,0.125,-0.25,0.5,False,28265626,28265627
8,48,coordinate,0.125,-0.25,0.5,False,28265627,28265628
8,48,count,-0.25,-0.625,0.0,False,28265628,28265629
8,48,ocr,-0.125,-0.375,0.0,False,28265629,28265630
8,48,shape,0.0,0.0,0.0,False,28265630,28265631
8,48,spatial,0.125,0.0,0.375,False,28265631,28265632
8,49,color,0.0,-0.375,0.375,False,28265726,28265727
8,49,coordinate,0.125,0.0,0.375,False,28265727,28265728
8,49,count,-0.375,-0.75,-0.125,True,28265728,28265729
8,49,ocr,0.0,0.0,0.0,False,28265729,28265730
8,49,shape,0.0,0.0,0.0,False,28265730,28265731
8,49,spatial,0.375,0.125,0.75,False,28265731,28265732
8,50,color,0.0,-0.5,0.5,False,28265826,28265827
8,50,coordinate,0.125,0.0,0.375,False,28265827,28265828
8,50,count,-0.375,-0.75,-0.125,True,28265828,28265829
8,50,ocr,0.0,0.0,0.0,False,28265829,28265830
8,50,shape,0.125,0.0,0.375,False,28265830,28265831
8,50,spatial,0.125,0.0,0.375,False,28265831,28265832
8,51,color,0.0,-0.5,0.5,False,28265926,28265927
8,51,coordinate,0.25,0.0,0.5,False,28265927,28265928
8,51,count,-0.375,-0.75,-0.125,True,28265928,28265929
8,51,ocr,0.0,0.0,0.0,False,28265929,28265930
8,51,shape,-0.125,-0.375,0.0,False,28265930,28265931
8,51,spatial,0.0,0.0,0.0,False,28265931,28265932
8,52,color,0.25,0.0,0.625,False,28266026,28266027
8,52,coordinate,0.125,0.0,0.375,False,28266027,28266028
8,52,count,-0.5,-0.875,-0.125,True,28266028,28266029
8,52,ocr,0.0,0.0,0.0,False,28266029,28266030
8,52,shape,0.0,0.0,0.0,False,28266030,28266031
8,52,spatial,0.25,0.0,0.625,False,28266031,28266032
8,53,color,0.375,0.0,0.75,False,28266126,28266127
8,53,coordinate,0.0,0.0,0.0,False,28266127,28266128
8,53,count,0.0,0.0,0.0,False,28266128,28266129
8,53,ocr,0.25,0.0,0.5,False,28266129,28266130
8,53,shape,0.0,0.0,0.0,False,28266130,28266131
8,53,spatial,0.125,0.0,0.375,False,28266131,28266132
8,54,color,0.125,-0.25,0.5,False,28266226,28266227
8,54,coordinate,0.0,-0.5,0.5,False,28266227,28266228
8,54,count,-0.25,-0.625,0.0,False,28266228,28266229
8,54,ocr,0.125,0.0,0.375,False,28266229,28266230
8,54,shape,0.0,-0.375,0.375,False,28266230,28266231
8,54,spatial,0.5,0.125,0.875,False,28266231,28266232
8,55,color,0.0,-0.5,0.5,False,28266326,28266327
8,55,coordinate,0.125,-0.25,0.5,False,28266327,28266328
8,55,count,-0.5,-0.875,-0.125,True,28266328,28266329
8,55,ocr,0.0,-0.375,0.375,False,28266329,28266330
8,55,shape,0.125,0.0,0.375,False,28266330,28266331
8,55,spatial,0.5,0.125,0.875,False,28266331,28266332
8,56,color,-0.25,-0.625,0.0,False,28266426,28266427
8,56,coordinate,-0.25,-0.625,0.25,False,28266427,28266428
8,56,count,-0.25,-0.625,0.0,False,28266428,28266429
8,56,ocr,0.0,0.0,0.0,False,28266429,28266430
8,56,shape,0.125,0.0,0.375,False,28266430,28266431
8,56,spatial,0.125,0.0,0.375,False,28266431,28266432
8,57,color,0.125,0.0,0.375,False,28266526,28266527
8,57,coordinate,-0.25,-0.625,0.0,False,28266527,28266528
8,57,count,-0.5,-0.875,-0.125,True,28266528,28266529
8,57,ocr,0.0,0.0,0.0,False,28266529,28266530
8,57,shape,0.0,0.0,0.0,False,28266530,28266531
8,57,spatial,0.25,0.0,0.625,False,28266531,28266532
8,58,color,0.25,0.0,0.625,False,28266626,28266627
8,58,coordinate,0.25,0.0,0.5,False,28266627,28266628
8,58,count,-0.125,-0.375,0.0,False,28266628,28266629
8,58,ocr,-0.125,-0.375,0.0,False,28266629,28266630
8,58,shape,-0.125,-0.375,0.0,False,28266630,28266631
8,58,spatial,0.125,0.0,0.375,False,28266631,28266632
8,59,color,0.25,-0.25,0.75,False,28266726,28266727
8,59,coordinate,0.0,-0.375,0.375,False,28266727,28266728
8,59,count,-0.5,-0.875,-0.125,True,28266728,28266729
8,59,ocr,0.125,0.0,0.375,False,28266729,28266730
8,59,shape,-0.125,-0.375,0.0,False,28266730,28266731
8,59,spatial,0.125,0.0,0.375,False,28266731,28266732
8,60,color,0.0,-0.375,0.375,False,28266826,28266827
8,60,coordinate,0.0,-0.375,0.375,False,28266827,28266828
8,60,count,-0.25,-0.625,0.0,False,28266828,28266829
8,60,ocr,0.125,0.0,0.375,False,28266829,28266830
8,60,shape,0.0,-0.375,0.375,False,28266830,28266831
8,60,spatial,0.375,0.125,0.75,False,28266831,28266832
8,61,color,0.25,0.0,0.625,False,28266926,28266927
8,61,coordinate,0.125,0.0,0.375,False,28266927,28266928
8,61,count,-0.25,-0.625,0.0,False,28266928,28266929
8,61,ocr,0.0,-0.375,0.375,False,28266929,28266930
8,61,shape,0.0,0.0,0.0,False,28266930,28266931
8,61,spatial,0.25,0.0,0.625,False,28266931,28266932
8,62,color,0.625,0.25,0.875,False,28267026,28267027
8,62,coordinate,0.0,-0.5,0.5,False,28267027,28267028
8,62,count,-0.25,-0.625,0.0,False,28267028,28267029
8,62,ocr,0.0,-0.375,0.375,False,28267029,28267030
8,62,shape,0.0,0.0,0.0,False,28267030,28267031
8,62,spatial,0.0,0.0,0.0,False,28267031,28267032
8,63,color,0.0,-0.5,0.5,False,28267126,28267127
8,63,coordinate,0.125,-0.25,0.5,False,28267127,28267128
8,63,count,-0.125,-0.375,0.0,False,28267128,28267129
8,63,ocr,0.0,0.0,0.0,False,28267129,28267130
8,63,shape,-0.125,-0.375,0.0,False,28267130,28267131
8,63,spatial,0.375,0.125,0.75,False,28267131,28267132
8,64,color,0.0,-0.5,0.5,False,28267226,28267227
8,64,coordinate,0.5,0.125,0.875,False,28267227,28267228
8,64,count,-0.375,-0.75,0.0,False,28267228,28267229
8,64,ocr,0.0,0.0,0.0,False,28267229,28267230
8,64,shape,0.0,0.0,0.0,False,28267230,28267231
8,64,spatial,0.625,0.25,0.875,False,28267231,28267232
8,65,color,0.25,-0.25,0.75,False,28267326,28267327
8,65,coordinate,-0.125,-0.375,0.0,False,28267327,28267328
8,65,count,-0.25,-0.625,0.0,False,28267328,28267329
8,65,ocr,0.0,0.0,0.0,False,28267329,28267330
8,65,shape,0.125,0.0,0.375,False,28267330,28267331
8,65,spatial,0.5,0.125,0.875,False,28267331,28267332
8,66,color,0.5,0.125,0.875,False,28267426,28267427
8,66,coordinate,0.125,-0.375,0.625,False,28267427,28267428
8,66,count,-0.5,-0.875,-0.125,True,28267428,28267429
8,66,ocr,0.0,0.0,0.0,False,28267429,28267430
8,66,shape,0.125,0.0,0.375,False,28267430,28267431
8,66,spatial,0.5,0.125,0.875,False,28267431,28267432
8,67,color,0.375,0.125,0.75,False,28267526,28267527
8,67,coordinate,-0.125,-0.375,0.0,False,28267527,28267528
8,67,count,-0.25,-0.625,0.0,False,28267528,28267529
8,67,ocr,0.125,0.0,0.375,False,28267529,28267530
8,67,shape,-0.25,-0.5,0.0,False,28267530,28267531
8,67,spatial,0.375,0.125,0.75,False,28267531,28267532
8,68,color,0.25,-0.25,0.75,False,28267626,28267627
8,68,coordinate,0.125,-0.25,0.5,False,28267627,28267628
8,68,count,0.0,0.0,0.0,False,28267628,28267629
8,68,ocr,0.375,0.125,0.75,False,28267629,28267630
8,68,shape,0.125,0.0,0.375,False,28267630,28267631
8,68,spatial,0.5,0.125,0.875,False,28267631,28267632
8,69,color,0.375,0.0,0.75,False,28267726,28267727
8,69,coordinate,0.125,0.0,0.375,False,28267727,28267728
8,69,count,-0.25,-0.625,0.0,False,28267728,28267729
8,69,ocr,0.0,0.0,0.0,False,28267729,28267730
8,69,shape,-0.125,-0.375,0.0,False,28267730,28267731
8,69,spatial,0.625,0.25,0.875,False,28267731,28267732
8,70,color,0.125,0.0,0.375,False,28267826,28267827
8,70,coordinate,0.25,0.0,0.625,False,28267827,28267828
8,70,count,-0.375,-0.75,-0.125,True,28267828,28267829
8,70,ocr,0.0,0.0,0.0,False,28267829,28267830
8,70,shape,-0.125,-0.375,0.0,False,28267830,28267831
8,70,spatial,0.125,0.0,0.375,False,28267831,28267832
8,71,color,0.25,0.0,0.5,False,28267926,28267927
8,71,coordinate,-0.125,-0.375,0.0,False,28267927,28267928
8,71,count,-0.125,-0.375,0.0,False,28267928,28267929
8,71,ocr,0.125,0.0,0.375,False,28267929,28267930
8,71,shape,0.125,0.0,0.375,False,28267930,28267931
8,71,spatial,0.25,0.0,0.625,False,28267931,28267932
8,72,color,0.125,0.0,0.375,False,28268026,28268027
8,72,coordinate,0.0,-0.375,0.375,False,28268027,28268028
8,72,count,-0.5,-0.875,-0.125,True,28268028,28268029
8,72,ocr,0.0,0.0,0.0,False,28268029,28268030
8,72,shape,0.125,0.0,0.375,False,28268030,28268031
8,72,spatial,0.125,0.0,0.375,False,28268031,28268032
8,73,color,0.25,0.0,0.625,False,28268126,28268127
8,73,coordinate,0.125,-0.25,0.5,False,28268127,28268128
8,73,count,-0.625,-0.875,-0.25,True,28268128,28268129
8,73,ocr,0.0,0.0,0.0,False,28268129,28268130
8,73,shape,0.0,0.0,0.0,False,28268130,28268131
8,73,spatial,0.0,0.0,0.0,False,28268131,28268132
8,74,color,0.5,0.125,0.875,False,28268226,28268227
8,74,coordinate,0.25,0.0,0.625,False,28268227,28268228
8,74,count,-0.125,-0.375,0.0,False,28268228,28268229
8,74,ocr,0.0,0.0,0.0,False,28268229,28268230
8,74,shape,0.0,0.0,0.0,False,28268230,28268231
8,74,spatial,0.25,0.0,0.5,False,28268231,28268232
8,75,color,0.125,-0.375,0.625,False,28268326,28268327
8,75,coordinate,0.25,0.0,0.5,False,28268327,28268328
8,75,count,-0.125,-0.375,0.0,False,28268328,28268329
8,75,ocr,0.0,0.0,0.0,False,28268329,28268330
8,75,shape,0.0,-0.375,0.375,False,28268330,28268331
8,75,spatial,0.25,0.0,0.625,False,28268331,28268332
8,76,color,0.25,-0.25,0.625,False,28268426,28268427
8,76,coordinate,0.0,0.0,0.0,False,28268427,28268428
8,76,count,-0.25,-0.625,0.0,False,28268428,28268429
8,76,ocr,0.0,0.0,0.0,False,28268429,28268430
8,76,shape,0.125,0.0,0.375,False,28268430,28268431
