modality,checkpoint,condition,task,metric,pairs,mean
preference,step-001500,shuffled_image,count,mean_margin,200,0.0023437485098838804
preference,step-001500,shuffled_image,ocr,paired_preference,200,0.0
preference,step-001500,shuffled_image,ocr,sample_preference,200,0.5
preference,step-001500,shuffled_image,ocr,mean_margin,200,-0.0015519225937979575
preference,step-001500,shuffled_image,shape,paired_preference,200,0.015
preference,step-001500,shuffled_image,shape,sample_preference,200,0.4825
preference,step-001500,shuffled_image,shape,mean_margin,200,-0.024531247317790984
preference,step-001500,shuffled_image,spatial,paired_preference,200,0.0
preference,step-001500,shuffled_image,spatial,sample_preference,200,0.5
preference,step-001500,shuffled_image,spatial,mean_margin,200,-0.02458268776535988
preference,step-001500,vision,overall,paired_preference,1200,0.021666666666666667
preference,step-001500,vision,overall,sample_preference,1200,0.4870833333333333
preference,step-001500,vision,overall,mean_margin,1200,0.017687294908459227
preference,step-001500,vision,color,paired_preference,200,0.0
preference,step-001500,vision,color,sample_preference,200,0.49
preference,step-001500,vision,color,mean_margin,200,0.012968751192092896
preference,step-001500,vision,coordinate,paired_preference,200,0.0
preference,step-001500,vision,coordinate,sample_preference,200,0.5
preference,step-001500,vision,coordinate,mean_margin,200,-0.006257575750350952
preference,step-001500,vision,count,paired_preference,200,0.0
preference,step-001500,vision,count,sample_preference,200,0.5
preference,step-001500,vision,count,mean_margin,200,0.0057812540233135225
preference,step-001500,vision,ocr,paired_preference,200,0.0
preference,step-001500,vision,ocr,sample_preference,200,0.4925
preference,step-001500,vision,ocr,mean_margin,200,0.001912658680053002
preference,step-001500,vision,shape,paired_preference,200,0.13
preference,step-001500,vision,shape,sample_preference,200,0.565
preference,step-001500,vision,shape,mean_margin,200,0.1329687276482582
preference,step-001500,vision,spatial,paired_preference,200,0.0
preference,step-001500,vision,spatial,sample_preference,200,0.375
preference,step-001500,vision,spatial,mean_margin,200,-0.04125004634261131
preference,balanced-projector-step25,background_matched_aux,overall,paired_preference,1200,0.0033333333333333335
preference,balanced-projector-step25,background_matched_aux,overall,sample_preference,1200,0.49375
preference,balanced-projector-step25,background_matched_aux,overall,mean_margin,1200,0.03435498642862316
preference,balanced-projector-step25,background_matched_aux,color,paired_preference,200,0.005
preference,balanced-projector-step25,background_matched_aux,color,sample_preference,200,0.5025
preference,balanced-projector-step25,background_matched_aux,color,mean_margin,200,0.01999997138977051
preference,balanced-projector-step25,background_matched_aux,coordinate,paired_preference,200,0.0
preference,balanced-projector-step25,background_matched_aux,coordinate,sample_preference,200,0.5
preference,balanced-projector-step25,background_matched_aux,coordinate,mean_margin,200,-0.005809018015861511
preference,balanced-projector-step25,background_matched_aux,count,paired_preference,200,0.0
preference,balanced-projector-step25,background_matched_aux,count,sample_preference,200,0.4525
preference,balanced-projector-step25,background_matched_aux,count,mean_margin,200,0.006562500298023224
preference,balanced-projector-step25,background_matched_aux,ocr,paired_preference,200,0.015
preference,balanced-projector-step25,background_matched_aux,ocr,sample_preference,200,0.5075
preference,balanced-projector-step25,background_matched_aux,ocr,mean_margin,200,0.017169702302841892
preference,balanced-projector-step25,background_matched_aux,shape,paired_preference,200,0.0
preference,balanced-projector-step25,background_matched_aux,shape,sample_preference,200,0.5
preference,balanced-projector-step25,background_matched_aux,shape,mean_margin,200,0.17671878270804883
preference,balanced-projector-step25,background_matched_aux,spatial,paired_preference,200,0.0
preference,balanced-projector-step25,background_matched_aux,spatial,sample_preference,200,0.5
preference,balanced-projector-step25,background_matched_aux,spatial,mean_margin,200,-0.008512020111083984
preference,balanced-projector-step25,paired_counterfactual_image,overall,paired_preference,1200,0.0025
preference,balanced-projector-step25,paired_counterfactual_image,overall,sample_preference,1200,0.4579166666666667
preference,balanced-projector-step25,paired_counterfactual_image,overall,mean_margin,1200,-0.06785790305135268
preference,balanced-projector-step25,paired_counterfactual_image,color,paired_preference,200,0.0
preference,balanced-projector-step25,paired_counterfactual_image,color,sample_preference,200,0.4675
preference,balanced-projector-step25,paired_counterfactual_image,color,mean_margin,200,-0.013906251192092895
preference,balanced-projector-step25,paired_counterfactual_image,coordinate,paired_preference,200,0.0
preference,balanced-projector-step25,paired_counterfactual_image,coordinate,sample_preference,200,0.4675
preference,balanced-projector-step25,paired_counterfactual_image,coordinate,mean_margin,200,-0.012782214879989625
preference,balanced-projector-step25,paired_counterfactual_image,count,paired_preference,200,0.0
preference,balanced-projector-step25,paired_counterfactual_image,count,sample_preference,200,0.4375
preference,balanced-projector-step25,paired_counterfactual_image,count,mean_margin,200,-0.006250002384185791
preference,balanced-projector-step25,paired_counterfactual_image,ocr,paired_preference,200,0.015
preference,balanced-projector-step25,paired_counterfactual_image,ocr,sample_preference,200,0.5
preference,balanced-projector-step25,paired_counterfactual_image,ocr,mean_margin,200,-0.015296632471538731
preference,balanced-projector-step25,paired_counterfactual_image,shape,paired_preference,200,0.0
preference,balanced-projector-step25,paired_counterfactual_image,shape,sample_preference,200,0.5
preference,balanced-projector-step25,paired_counterfactual_image,shape,mean_margin,200,-0.3026562540978193
preference,balanced-projector-step25,paired_counterfactual_image,spatial,paired_preference,200,0.0
preference,balanced-projector-step25,paired_counterfactual_image,spatial,sample_preference,200,0.375
preference,balanced-projector-step25,paired_counterfactual_image,spatial,mean_margin,200,-0.05625606328248978
preference,balanced-projector-step25,shuffled_image,overall,paired_preference,1200,0.006666666666666667
preference,balanced-projector-step25,shuffled_image,overall,sample_preference,1200,0.47
preference,balanced-projector-step25,shuffled_image,overall,mean_margin,1200,0.00507856815970606
preference,balanced-projector-step25,shuffled_image,color,paired_preference,200,0.01
preference,balanced-projector-step25,shuffled_image,color,sample_preference,200,0.49
preference,balanced-projector-step25,shuffled_image,color,mean_margin,200,0.002031249403953552
preference,balanced-projector-step25,shuffled_image,coordinate,paired_preference,200,0.01
preference,balanced-projector-step25,shuffled_image,coordinate,sample_preference,200,0.5025
preference,balanced-projector-step25,shuffled_image,coordinate,mean_margin,200,0.0028003495931625366
preference,balanced-projector-step25,shuffled_image,count,paired_preference,200,0.005
preference,balanced-projector-step25,shuffled_image,count,sample_preference,200,0.445
preference,balanced-projector-step25,shuffled_image,count,mean_margin,200,0.0007812511920928955
preference,balanced-projector-step25,shuffled_image,ocr,paired_preference,200,0.015
preference,balanced-projector-step25,shuffled_image,ocr,sample_preference,200,0.5075
preference,balanced-projector-step25,shuffled_image,ocr,mean_margin,200,0.0010725980202356822
preference,balanced-projector-step25,shuffled_image,shape,paired_preference,200,0.0
preference,balanced-projector-step25,shuffled_image,shape,sample_preference,200,0.5
preference,balanced-projector-step25,shuffled_image,shape,mean_margin,200,0.068593745008111
preference,balanced-projector-step25,shuffled_image,spatial,paired_preference,200,0.0
preference,balanced-projector-step25,shuffled_image,spatial,sample_preference,200,0.375
preference,balanced-projector-step25,shuffled_image,spatial,mean_margin,200,-0.044807784259319305
preference,balanced-projector-step25,vision,overall,paired_preference,1200,0.0175
preference,balanced-projector-step25,vision,overall,sample_preference,1200,0.5020833333333333
preference,balanced-projector-step25,vision,overall,mean_margin,1200,0.06785790305135268
preference,balanced-projector-step25,vision,color,paired_preference,200,0.025
preference,balanced-projector-step25,vision,color,sample_preference,200,0.5125
preference,balanced-projector-step25,vision,color,mean_margin,200,0.013906251192092895
preference,balanced-projector-step25,vision,coordinate,paired_preference,200,0.065
preference,balanced-projector-step25,vision,coordinate,sample_preference,200,0.5325
preference,balanced-projector-step25,vision,coordinate,mean_margin,200,0.012782214879989625
preference,balanced-projector-step25,vision,count,paired_preference,200,0.0
preference,balanced-projector-step25,vision,count,sample_preference,200,0.4675
preference,balanced-projector-step25,vision,count,mean_margin,200,0.006250002384185791
preference,balanced-projector-step25,vision,ocr,paired_preference,200,0.015
preference,balanced-projector-step25,vision,ocr,sample_preference,200,0.5
preference,balanced-projector-step25,vision,ocr,mean_margin,200,0.015296632471538731
preference,balanced-projector-step25,vision,shape,paired_preference,200,0.0
preference,balanced-projector-step25,vision,shape,sample_preference,200,0.5
preference,balanced-projector-step25,vision,shape,mean_margin,200,0.3026562540978193
preference,balanced-projector-step25,vision,spatial,paired_preference,200,0.0
preference,balanced-projector-step25,vision,spatial,sample_preference,200,0.5
preference,balanced-projector-step25,vision,spatial,mean_margin,200,0.05625606328248978
preference,balanced-projector-step50,background_matched_aux,overall,paired_preference,1200,0.07916666666666666
preference,balanced-projector-step50,background_matched_aux,overall,sample_preference,1200,0.5308333333333334
preference,balanced-projector-step50,background_matched_aux,overall,mean_margin,1200,0.21580174599185825
preference,balanced-projector-step50,background_matched_aux,color,paired_preference,200,0.11
preference,balanced-projector-step50,background_matched_aux,color,sample_preference,200,0.555
preference,balanced-projector-step50,background_matched_aux,color,mean_margin,200,0.12359374910593032
preference,balanced-projector-step50,background_matched_aux,coordinate,paired_preference,200,0.0
preference,balanced-projector-step50,background_matched_aux,coordinate,sample_preference,200,0.495
preference,balanced-projector-step50,background_matched_aux,coordinate,mean_margin,200,-0.011526788473129273
preference,balanced-projector-step50,background_matched_aux,count,paired_preference,200,0.0
preference,balanced-projector-step50,background_matched_aux,count,sample_preference,200,0.4525
preference,balanced-projector-step50,background_matched_aux,count,mean_margin,200,0.008125001341104507
preference,balanced-projector-step50,background_matched_aux,ocr,paired_preference,200,0.025
preference,balanced-projector-step50,background_matched_aux,ocr,sample_preference,200,0.5125
preference,balanced-projector-step50,background_matched_aux,ocr,mean_margin,200,0.029880047684624076
preference,balanced-projector-step50,background_matched_aux,shape,paired_preference,200,0.34
preference,balanced-projector-step50,background_matched_aux,shape,sample_preference,200,0.67
preference,balanced-projector-step50,background_matched_aux,shape,mean_margin,200,1.1404687397181987
preference,balanced-projector-step50,background_matched_aux,spatial,paired_preference,200,0.0
preference,balanced-projector-step50,background_matched_aux,spatial,sample_preference,200,0.5
preference,balanced-projector-step50,background_matched_aux,spatial,mean_margin,200,0.004269726574420929
preference,balanced-projector-step50,paired_counterfactual_image,overall,paired_preference,1200,0.0
preference,balanced-projector-step50,paired_counterfactual_image,overall,sample_preference,1200,0.4125
preference,balanced-projector-step50,paired_counterfactual_image,overall,mean_margin,1200,-0.22172004981457238
preference,balanced-projector-step50,paired_counterfactual_image,color,paired_preference,200,0.0
preference,balanced-projector-step50,paired_counterfactual_image,color,sample_preference,200,0.42
preference,balanced-projector-step50,paired_counterfactual_image,color,mean_margin,200,-0.09703123033046722
preference,balanced-projector-step50,paired_counterfactual_image,coordinate,paired_preference,200,0.0
preference,balanced-projector-step50,paired_counterfactual_image,coordinate,sample_preference,200,0.495
preference,balanced-projector-step50,paired_counterfactual_image,coordinate,mean_margin,200,0.006307988166809082
preference,balanced-projector-step50,paired_counterfactual_image,count,paired_preference,200,0.0
preference,balanced-projector-step50,paired_counterfactual_image,count,sample_preference,200,0.435
preference,balanced-projector-step50,paired_counterfactual_image,count,mean_margin,200,-0.01109375163912773
preference,balanced-projector-step50,paired_counterfactual_image,ocr,paired_preference,200,0.0
preference,balanced-projector-step50,paired_counterfactual_image,ocr,sample_preference,200,0.49
preference,balanced-projector-step50,paired_counterfactual_image,ocr,mean_margin,200,-0.028858197547140554
preference,balanced-projector-step50,paired_counterfactual_image,shape,paired_preference,200,0.0
preference,balanced-projector-step50,paired_counterfactual_image,shape,sample_preference,200,0.26
preference,balanced-projector-step50,paired_counterfactual_image,shape,mean_margin,200,-1.168593740016222
preference,balanced-projector-step50,paired_counterfactual_image,spatial,paired_preference,200,0.0
preference,balanced-projector-step50,paired_counterfactual_image,spatial,sample_preference,200,0.375
preference,balanced-projector-step50,paired_counterfactual_image,spatial,mean_margin,200,-0.03105136752128601
preference,balanced-projector-step50,shuffled_image,overall,paired_preference,1200,0.015833333333333335
preference,balanced-projector-step50,shuffled_image,overall,sample_preference,1200,0.47791666666666666
preference,balanced-projector-step50,shuffled_image,overall,mean_margin,1200,-0.010610669182583925
preference,balanced-projector-step50,shuffled_image,color,paired_preference,200,0.015
preference,balanced-projector-step50,shuffled_image,color,sample_preference,200,0.4675
preference,balanced-projector-step50,shuffled_image,color,mean_margin,200,-0.005937499701976776
preference,balanced-projector-step50,shuffled_image,coordinate,paired_preference,200,0.0
preference,balanced-projector-step50,shuffled_image,coordinate,sample_preference,200,0.495
preference,balanced-projector-step50,shuffled_image,coordinate,mean_margin,200,0.0004315808415412903
preference,balanced-projector-step50,shuffled_image,count,paired_preference,200,0.0
preference,balanced-projector-step50,shuffled_image,count,sample_preference,200,0.4525
preference,balanced-projector-step50,shuffled_image,count,mean_margin,200,-0.0006250014901161194
preference,balanced-projector-step50,shuffled_image,ocr,paired_preference,200,0.01
preference,balanced-projector-step50,shuffled_image,ocr,sample_preference,200,0.5
preference,balanced-projector-step50,shuffled_image,ocr,mean_margin,200,0.0016824218148277005
preference,balanced-projector-step50,shuffled_image,shape,paired_preference,200,0.07
preference,balanced-projector-step50,shuffled_image,shape,sample_preference,200,0.4525
preference,balanced-projector-step50,shuffled_image,shape,mean_margin,200,-0.030625005029141904
preference,balanced-projector-step50,shuffled_image,spatial,paired_preference,200,0.0
preference,balanced-projector-step50,shuffled_image,spatial,sample_preference,200,0.5
preference,balanced-projector-step50,shuffled_image,spatial,mean_margin,200,-0.02859051153063774
preference,balanced-projector-step50,vision,overall,paired_preference,1200,0.08666666666666667
preference,balanced-projector-step50,vision,overall,sample_preference,1200,0.5383333333333333
preference,balanced-projector-step50,vision,overall,mean_margin,1200,0.22172004981457238
preference,balanced-projector-step50,vision,color,paired_preference,200,0.065
preference,balanced-projector-step50,vision,color,sample_preference,200,0.5325
preference,balanced-projector-step50,vision,color,mean_margin,200,0.09703123033046722
preference,balanced-projector-step50,vision,coordinate,paired_preference,200,0.0
preference,balanced-projector-step50,vision,coordinate,sample_preference,200,0.5
preference,balanced-projector-step50,vision,coordinate,mean_margin,200,-0.006307988166809082
preference,balanced-projector-step50,vision,count,paired_preference,200,0.0
preference,balanced-projector-step50,vision,count,sample_preference,200,0.47
preference,balanced-projector-step50,vision,count,mean_margin,200,0.01109375163912773
preference,balanced-projector-step50,vision,ocr,paired_preference,200,0.02
preference,balanced-projector-step50,vision,ocr,sample_preference,200,0.51
preference,balanced-projector-step50,vision,ocr,mean_margin,200,0.028858197547140554
preference,balanced-projector-step50,vision,shape,paired_preference,200,0.435
preference,balanced-projector-step50,vision,shape,sample_preference,200,0.7175
preference,balanced-projector-step50,vision,shape,mean_margin,200,1.168593740016222
preference,balanced-projector-step50,vision,spatial,paired_preference,200,0.0
preference,balanced-projector-step50,vision,spatial,sample_preference,200,0.5
preference,balanced-projector-step50,vision,spatial,mean_margin,200,0.03105136752128601
preference,balanced-projector-step100,background_matched_aux,overall,paired_preference,1200,0.16666666666666666
preference,balanced-projector-step100,background_matched_aux,overall,sample_preference,1200,0.57125
preference,balanced-projector-step100,background_matched_aux,overall,mean_margin,1200,0.9570974067718027
preference,balanced-projector-step100,background_matched_aux,color,paired_preference,200,0.38
preference,balanced-projector-step100,background_matched_aux,color,sample_preference,200,0.69
preference,balanced-projector-step100,background_matched_aux,color,mean_margin,200,0.813125011920929
preference,balanced-projector-step100,background_matched_aux,coordinate,paired_preference,200,0.0
preference,balanced-projector-step100,background_matched_aux,coordinate,sample_preference,200,0.5
preference,balanced-projector-step100,background_matched_aux,coordinate,mean_margin,200,0.06360489219427108
preference,balanced-projector-step100,background_matched_aux,count,paired_preference,200,0.085
preference,balanced-projector-step100,background_matched_aux,count,sample_preference,200,0.475
preference,balanced-projector-step100,background_matched_aux,count,mean_margin,200,0.03859374672174454
preference,balanced-projector-step100,background_matched_aux,ocr,paired_preference,200,0.14
preference,balanced-projector-step100,background_matched_aux,ocr,sample_preference,200,0.565
preference,balanced-projector-step100,background_matched_aux,ocr,mean_margin,200,0.41280802637054803
preference,balanced-projector-step100,background_matched_aux,shape,paired_preference,200,0.395
preference,balanced-projector-step100,background_matched_aux,shape,sample_preference,200,0.6975
preference,balanced-projector-step100,background_matched_aux,shape,mean_margin,200,4.299999995306134
preference,balanced-projector-step100,background_matched_aux,spatial,paired_preference,200,0.0
preference,balanced-projector-step100,background_matched_aux,spatial,sample_preference,200,0.5
preference,balanced-projector-step100,background_matched_aux,spatial,mean_margin,200,0.11445276811718941
preference,balanced-projector-step100,paired_counterfactual_image,overall,paired_preference,1200,0.0008333333333333334
preference,balanced-projector-step100,paired_counterfactual_image,overall,sample_preference,1200,0.37166666666666665
preference,balanced-projector-step100,paired_counterfactual_image,overall,mean_margin,1200,-0.9537247838907477
preference,balanced-projector-step100,paired_counterfactual_image,color,paired_preference,200,0.0
preference,balanced-projector-step100,paired_counterfactual_image,color,sample_preference,200,0.36
preference,balanced-projector-step100,paired_counterfactual_image,color,mean_margin,200,-0.6339062684774399
preference,balanced-projector-step100,paired_counterfactual_image,coordinate,paired_preference,200,0.0
preference,balanced-projector-step100,paired_counterfactual_image,coordinate,sample_preference,200,0.4725
preference,balanced-projector-step100,paired_counterfactual_image,coordinate,mean_margin,200,-0.06757493585348129
preference,balanced-projector-step100,paired_counterfactual_image,count,paired_preference,200,0.005
preference,balanced-projector-step100,paired_counterfactual_image,count,sample_preference,200,0.385
preference,balanced-projector-step100,paired_counterfactual_image,count,mean_margin,200,-0.03609375059604645
preference,balanced-projector-step100,paired_counterfactual_image,ocr,paired_preference,200,0.0
preference,balanced-projector-step100,paired_counterfactual_image,ocr,sample_preference,200,0.4325
preference,balanced-projector-step100,paired_counterfactual_image,ocr,mean_margin,200,-0.4066392201866422
preference,balanced-projector-step100,paired_counterfactual_image,shape,paired_preference,200,0.0
preference,balanced-projector-step100,paired_counterfactual_image,shape,sample_preference,200,0.205
preference,balanced-projector-step100,paired_counterfactual_image,shape,mean_margin,200,-4.43742190008983
preference,balanced-projector-step100,paired_counterfactual_image,spatial,paired_preference,200,0.0
preference,balanced-projector-step100,paired_counterfactual_image,spatial,sample_preference,200,0.375
preference,balanced-projector-step100,paired_counterfactual_image,spatial,mean_margin,200,-0.14071262814104557
preference,balanced-projector-step100,shuffled_image,overall,paired_preference,1200,0.06
preference,balanced-projector-step100,shuffled_image,overall,sample_preference,1200,0.45208333333333334
preference,balanced-projector-step100,shuffled_image,overall,mean_margin,1200,-0.07957569763909966
preference,balanced-projector-step100,shuffled_image,color,paired_preference,200,0.095
preference,balanced-projector-step100,shuffled_image,color,sample_preference,200,0.455
preference,balanced-projector-step100,shuffled_image,color,mean_margin,200,-0.010624995529651642
preference,balanced-projector-step100,shuffled_image,coordinate,paired_preference,200,0.0
preference,balanced-projector-step100,shuffled_image,coordinate,sample_preference,200,0.4875
preference,balanced-projector-step100,shuffled_image,coordinate,mean_margin,200,0.0024079552292823794
preference,balanced-projector-step100,shuffled_image,count,paired_preference,200,0.06
preference,balanced-projector-step100,shuffled_image,count,sample_preference,200,0.435
preference,balanced-projector-step100,shuffled_image,count,mean_margin,200,-0.009843750447034836
preference,balanced-projector-step100,shuffled_image,ocr,paired_preference,200,0.05
preference,balanced-projector-step100,shuffled_image,ocr,sample_preference,200,0.485
preference,balanced-projector-step100,shuffled_image,ocr,mean_margin,200,0.023613779158819286
preference,balanced-projector-step100,shuffled_image,shape,paired_preference,200,0.155
preference,balanced-projector-step100,shuffled_image,shape,sample_preference,200,0.475
preference,balanced-projector-step100,shuffled_image,shape,mean_margin,200,-0.368593763820827
preference,balanced-projector-step100,shuffled_image,spatial,paired_preference,200,0.0
preference,balanced-projector-step100,shuffled_image,spatial,sample_preference,200,0.375
preference,balanced-projector-step100,shuffled_image,spatial,mean_margin,200,-0.11441341042518616
preference,balanced-projector-step100,vision,overall,paired_preference,1200,0.22416666666666665
preference,balanced-projector-step100,vision,overall,sample_preference,1200,0.6058333333333333
preference,balanced-projector-step100,vision,overall,mean_margin,1200,0.9537247838907477
preference,balanced-projector-step100,vision,color,paired_preference,200,0.23
preference,balanced-projector-step100,vision,color,sample_preference,200,0.615
preference,balanced-projector-step100,vision,color,mean_margin,200,0.6339062684774399
preference,balanced-projector-step100,vision,coordinate,paired_preference,200,0.055
preference,balanced-projector-step100,vision,coordinate,sample_preference,200,0.5275
preference,balanced-projector-step100,vision,coordinate,mean_margin,200,0.06757493585348129
preference,balanced-projector-step100,vision,count,paired_preference,200,0.115
preference,balanced-projector-step100,vision,count,sample_preference,200,0.52
preference,balanced-projector-step100,vision,count,mean_margin,200,0.03609375059604645
preference,balanced-projector-step100,vision,ocr,paired_preference,200,0.135
preference,balanced-projector-step100,vision,ocr,sample_preference,200,0.5675
preference,balanced-projector-step100,vision,ocr,mean_margin,200,0.4066392201866422
preference,balanced-projector-step100,vision,shape,paired_preference,200,0.56
preference,balanced-projector-step100,vision,shape,sample_preference,200,0.78
preference,balanced-projector-step100,vision,shape,mean_margin,200,4.43742190008983
preference,balanced-projector-step100,vision,spatial,paired_preference,200,0.25
preference,balanced-projector-step100,vision,spatial,sample_preference,200,0.625
preference,balanced-projector-step100,vision,spatial,mean_margin,200,0.14071262814104557
generation,step-001500,background_matched_aux,overall,generation_paired,300,0.0
generation,step-001500,background_matched_aux,overall,generation_sample,300,0.14666666666666667
generation,step-001500,background_matched_aux,overall,prediction_flip,300,0.17
generation,step-001500,background_matched_aux,color,generation_paired,50,0.0
generation,step-001500,background_matched_aux,color,generation_sample,50,0.18
generation,step-001500,background_matched_aux,color,prediction_flip,50,0.06
generation,step-001500,background_matched_aux,coordinate,generation_paired,50,0.0
generation,step-001500,background_matched_aux,coordinate,generation_sample,50,0.0
generation,step-001500,background_matched_aux,coordinate,prediction_flip,50,0.56
generation,step-001500,background_matched_aux,count,generation_paired,50,0.0
generation,step-001500,background_matched_aux,count,generation_sample,50,0.11
generation,step-001500,background_matched_aux,count,prediction_flip,50,0.0
generation,step-001500,background_matched_aux,ocr,generation_paired,50,0.0
generation,step-001500,background_matched_aux,ocr,generation_sample,50,0.0
generation,step-001500,background_matched_aux,ocr,prediction_flip,50,0.4
generation,step-001500,background_matched_aux,shape,generation_paired,50,0.0
generation,step-001500,background_matched_aux,shape,generation_sample,50,0.26
generation,step-001500,background_matched_aux,shape,prediction_flip,50,0.0
generation,step-001500,background_matched_aux,spatial,generation_paired,50,0.0
generation,step-001500,background_matched_aux,spatial,generation_sample,50,0.33
generation,step-001500,background_matched_aux,spatial,prediction_flip,50,0.0
generation,step-001500,blind,overall,generation_paired,300,0.0
generation,step-001500,blind,overall,generation_sample,300,0.0
generation,step-001500,blind,overall,prediction_flip,300,0.0
generation,step-001500,blind,color,generation_paired,50,0.0
generation,step-001500,blind,color,generation_sample,50,0.0
generation,step-001500,blind,color,prediction_flip,50,0.0
generation,step-001500,blind,coordinate,generation_paired,50,0.0
generation,step-001500,blind,coordinate,generation_sample,50,0.0
generation,step-001500,blind,coordinate,prediction_flip,50,0.0
generation,step-001500,blind,count,generation_paired,50,0.0
generation,step-001500,blind,count,generation_sample,50,0.0
generation,step-001500,blind,count,prediction_flip,50,0.0
generation,step-001500,blind,ocr,generation_paired,50,0.0
generation,step-001500,blind,ocr,generation_sample,50,0.0
generation,step-001500,blind,ocr,prediction_flip,50,0.0
generation,step-001500,blind,shape,generation_paired,50,0.0
generation,step-001500,blind,shape,generation_sample,50,0.0
generation,step-001500,blind,shape,prediction_flip,50,0.0
generation,step-001500,blind,spatial,generation_paired,50,0.0
generation,step-001500,blind,spatial,generation_sample,50,0.0
generation,step-001500,blind,spatial,prediction_flip,50,0.0
generation,step-001500,paired_counterfactual_image,overall,generation_paired,300,0.0
generation,step-001500,paired_counterfactual_image,overall,generation_sample,300,0.135
generation,step-001500,paired_counterfactual_image,overall,prediction_flip,300,0.2733333333333333
generation,step-001500,paired_counterfactual_image,color,generation_paired,50,0.0
generation,step-001500,paired_counterfactual_image,color,generation_sample,50,0.22
generation,step-001500,paired_counterfactual_image,color,prediction_flip,50,0.4
generation,step-001500,paired_counterfactual_image,coordinate,generation_paired,50,0.0
generation,step-001500,paired_counterfactual_image,coordinate,generation_sample,50,0.0
generation,step-001500,paired_counterfactual_image,coordinate,prediction_flip,50,0.52
generation,step-001500,paired_counterfactual_image,count,generation_paired,50,0.0
generation,step-001500,paired_counterfactual_image,count,generation_sample,50,0.11
