previous_checkpoint,checkpoint,previous_examples_seen,examples_seen,task,condition,metric,denominator,mean_a,mean_b,mean_gap,ci95_low,ci95_high,bootstrap_samples,seed
step-000500,step-001000,4000,8000,count,vision,mean_margin,200,-0.0029687421023845673,-0.001093747466802597,-0.0018749946355819701,-0.005156247466802597,0.0015625041723251343,2000,20461035
step-000500,step-001000,4000,8000,ocr,vision,paired_preference,200,0.0,0.0,0.0,0.0,0.0,2000,20461044
step-000500,step-001000,4000,8000,ocr,vision,mean_margin,200,-0.003527420611608587,-0.003028946728933387,-0.0004984738826752,-0.004895764135179078,0.0037638177531105453,2000,20461045
step-000500,step-001000,4000,8000,shape,vision,paired_preference,200,0.0,0.0,0.0,0.0,0.0,2000,20461054
step-000500,step-001000,4000,8000,shape,vision,mean_margin,200,0.06031248062849045,0.039531238079071045,0.020781242549419404,0.004062502384185791,0.035624985992908476,2000,20461055
step-000500,step-001000,4000,8000,spatial,vision,paired_preference,200,0.0,0.0,0.0,0.0,0.0,2000,20461064
step-000500,step-001000,4000,8000,spatial,vision,mean_margin,200,-0.023030351847410202,-0.021359883248806,-0.0016704685986042023,-0.007374101281166077,0.0041452056914567945,2000,20461065
step-001000,step-001500,8000,12000,overall,vision,paired_preference,1200,0.021666666666666667,0.005833333333333334,0.015833333333333335,0.006666666666666667,0.025833333333333333,2000,20461104
step-001000,step-001500,8000,12000,overall,vision,mean_margin,1200,0.017687294908459227,0.006445234641196237,0.01124206026726299,0.008294066501988304,0.014074427034173696,2000,20461105
step-001000,step-001500,8000,12000,color,vision,paired_preference,200,0.0,0.0,0.0,0.0,0.0,2000,20461114
step-001000,step-001500,8000,12000,color,vision,mean_margin,200,0.012968751192092896,0.01328125,-0.00031249880790710447,-0.005312500596046448,0.004999998807907104,2000,20461115
step-001000,step-001500,8000,12000,coordinate,vision,paired_preference,200,0.0,0.035,-0.035,-0.06,-0.015,2000,20461124
step-001000,step-001500,8000,12000,coordinate,vision,mean_margin,200,-0.006257575750350952,-0.005395808219909668,-0.0008617675304412841,-0.004126312732696533,0.0024512755870819093,2000,20461125
step-001000,step-001500,8000,12000,count,vision,paired_preference,200,0.0,0.0,0.0,0.0,0.0,2000,20461134
step-001000,step-001500,8000,12000,count,vision,mean_margin,200,0.0057812540233135225,-0.0029687421023845673,0.00874999612569809,0.004687495827674866,0.012812495827674866,2000,20461135
step-001000,step-001500,8000,12000,ocr,vision,paired_preference,200,0.0,0.0,0.0,0.0,0.0,2000,20461144
step-001000,step-001500,8000,12000,ocr,vision,mean_margin,200,0.001912658680053002,-0.003527420611608587,0.005440079291661589,-0.00019578011830647112,0.011173890726906914,2000,20461145
step-001000,step-001500,8000,12000,shape,vision,paired_preference,200,0.13,0.0,0.13,0.085,0.18,2000,20461154
step-001000,step-001500,8000,12000,shape,vision,mean_margin,200,0.1329687276482582,0.06031248062849045,0.07265624701976776,0.062499995529651645,0.08296874701976777,2000,20461155
step-001000,step-001500,8000,12000,spatial,vision,paired_preference,200,0.0,0.0,0.0,0.0,0.0,2000,20461164
step-001000,step-001500,8000,12000,spatial,vision,mean_margin,200,-0.04125004634261131,-0.023030351847410202,-0.01821969449520111,-0.02186703935265541,-0.014624241143465042,2000,20461165
step-001500,step-002000,12000,16000,overall,vision,paired_preference,1200,0.0,0.021666666666666667,-0.021666666666666667,-0.030833333333333334,-0.014166666666666666,2000,20461204
step-001500,step-002000,12000,16000,overall,vision,mean_margin,1200,0.008085266179508633,0.017687294908459227,-0.009602028728950595,-0.014542080047702981,-0.004948278423576132,2000,20461205
step-001500,step-002000,12000,16000,color,vision,paired_preference,200,0.0,0.0,0.0,0.0,0.0,2000,20461214
step-001500,step-002000,12000,16000,color,vision,mean_margin,200,0.0062500017881393435,0.012968751192092896,-0.0067187494039535525,-0.010624998211860658,-0.0028125026822090147,2000,20461215
step-001500,step-002000,12000,16000,coordinate,vision,paired_preference,200,0.0,0.0,0.0,0.0,0.0,2000,20461224
step-001500,step-002000,12000,16000,coordinate,vision,mean_margin,200,0.0014640891551971436,-0.006257575750350952,0.007721664905548095,0.003954640626907349,0.0115028715133667,2000,20461225
step-001500,step-002000,12000,16000,count,vision,paired_preference,200,0.0,0.0,0.0,0.0,0.0,2000,20461234
step-001500,step-002000,12000,16000,count,vision,mean_margin,200,0.0031249982118606565,0.0057812540233135225,-0.0026562558114528656,-0.006562508195638656,0.0014062424004077912,2000,20461235
step-001500,step-002000,12000,16000,ocr,vision,paired_preference,200,0.0,0.0,0.0,0.0,0.0,2000,20461244
step-001500,step-002000,12000,16000,ocr,vision,mean_margin,200,-0.007258511622746786,0.001912658680053002,-0.009171170302799788,-0.015428377162842576,-0.0032423017252059395,2000,20461245
step-001500,step-002000,12000,16000,shape,vision,paired_preference,200,0.0,0.13,-0.13,-0.175,-0.085,2000,20461254
step-001500,step-002000,12000,16000,shape,vision,mean_margin,200,0.04468751966953278,0.1329687276482582,-0.08828120797872543,-0.11093744933605194,-0.06609370857477188,2000,20461255
step-001500,step-002000,12000,16000,spatial,vision,paired_preference,200,0.0,0.0,0.0,0.0,0.0,2000,20461264
step-001500,step-002000,12000,16000,spatial,vision,mean_margin,200,0.00024349987506866455,-0.04125004634261131,0.04149354621767998,0.03387552373111248,0.04973656587302685,2000,20461265
