checkpoint,examples_seen,task,metric,a,b,denominator,mean_a,mean_b,mean_gap,ci95_low,ci95_high,a_only_better,b_only_better,equal,bootstrap_samples,seed
step-000000,0,ocr,mean_margin,vision,patch_permutation,200,0.0331831223737626,0.03912805570874896,-0.00594493333498636,-0.06579280784016568,0.0564892364683606,99,101,0,2000,20361345
step-000000,0,ocr,paired_preference,vision,paired_counterfactual_image,200,0.03,0.025,0.005,-0.03,0.035,6,5,189,2000,20361444
step-000000,0,ocr,mean_margin,vision,paired_counterfactual_image,200,0.0331831223737626,-0.0331831223737626,0.0663662447475252,-0.02468280771800445,0.15888742494583133,94,106,0,2000,20361445
step-000000,0,ocr,paired_preference,vision,background_matched_aux,200,0.03,0.045,-0.015,-0.045,0.015,4,7,189,2000,20361544
step-000000,0,ocr,mean_margin,vision,background_matched_aux,200,0.0331831223737626,0.042224249510538006,-0.009041127136775408,-0.05730030216489518,0.03857181379908613,102,98,0,2000,20361545
step-000000,0,shape,paired_preference,vision,blind,200,0.055,0.0,0.055,0.025,0.09,11,0,189,2000,20360954
step-000000,0,shape,mean_margin,vision,blind,200,-0.0214843487739563,0.0,-0.0214843487739563,-0.05695309162139892,0.015390651226043701,100,100,0,2000,20360955
step-000000,0,shape,paired_preference,vision,blank,200,0.055,0.0,0.055,0.025,0.09,11,0,189,2000,20361054
step-000000,0,shape,mean_margin,vision,blank,200,-0.0214843487739563,0.0,-0.0214843487739563,-0.05507810115814209,0.015234394073486328,100,100,0,2000,20361055
step-000000,0,shape,paired_preference,vision,same_image,200,0.055,0.0,0.055,0.025,0.085,11,0,189,2000,20361154
step-000000,0,shape,mean_margin,vision,same_image,200,-0.0214843487739563,0.0,-0.0214843487739563,-0.05531247019767761,0.014375026226043702,100,100,0,2000,20361155
step-000000,0,shape,paired_preference,vision,shuffled_image,200,0.055,0.025,0.03,-0.005,0.065,10,4,186,2000,20361254
step-000000,0,shape,mean_margin,vision,shuffled_image,200,-0.0214843487739563,-0.003046877384185791,-0.018437471389770508,-0.0801562261581421,0.042734400033950806,96,100,4,2000,20361255
step-000000,0,shape,paired_preference,vision,patch_permutation,200,0.055,0.085,-0.03,-0.075,0.015,8,14,178,2000,20361354
step-000000,0,shape,mean_margin,vision,patch_permutation,200,-0.0214843487739563,0.3169531226158142,-0.3384374713897705,-0.4085155951976776,-0.2714062249660492,50,149,1,2000,20361355
step-000000,0,shape,paired_preference,vision,paired_counterfactual_image,200,0.055,0.0,0.055,0.025,0.09,11,0,189,2000,20361454
step-000000,0,shape,mean_margin,vision,paired_counterfactual_image,200,-0.0214843487739563,0.0214843487739563,-0.0429686975479126,-0.11265621423721313,0.02296879768371582,100,100,0,2000,20361455
step-000000,0,shape,paired_preference,vision,background_matched_aux,200,0.055,0.0,0.055,0.025,0.09,11,0,189,2000,20361554
step-000000,0,shape,mean_margin,vision,background_matched_aux,200,-0.0214843487739563,-0.10960940718650818,0.08812505841255187,0.03101567506790161,0.14640629887580872,107,93,0,2000,20361555
step-000000,0,spatial,paired_preference,vision,blind,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20360964
step-000000,0,spatial,mean_margin,vision,blind,200,0.13037782907485962,0.0,0.13037782907485962,0.10634583830833436,0.15432260274887086,100,100,0,2000,20360965
step-000000,0,spatial,paired_preference,vision,blank,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20361064
step-000000,0,spatial,mean_margin,vision,blank,200,0.13037782907485962,0.0,0.13037782907485962,0.10719612121582031,0.15353118300437926,100,100,0,2000,20361065
step-000000,0,spatial,paired_preference,vision,same_image,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20361164
step-000000,0,spatial,mean_margin,vision,same_image,200,0.13037782907485962,0.0,0.13037782907485962,0.10717578172683716,0.15399993300437928,100,100,0,2000,20361165
step-000000,0,spatial,paired_preference,vision,shuffled_image,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20361264
step-000000,0,spatial,mean_margin,vision,shuffled_image,200,0.13037782907485962,0.0494769811630249,0.08090084791183472,0.039373241662979126,0.12043211102485657,150,50,0,2000,20361265
step-000000,0,spatial,paired_preference,vision,patch_permutation,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20361364
step-000000,0,spatial,mean_margin,vision,patch_permutation,200,0.13037782907485962,0.03927046895027161,0.09110736012458802,0.06200852632522583,0.11835025072097778,140,56,4,2000,20361365
step-000000,0,spatial,paired_preference,vision,paired_counterfactual_image,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20361464
step-000000,0,spatial,mean_margin,vision,paired_counterfactual_image,200,0.13037782907485962,-0.13037782907485962,0.26075565814971924,0.2132759976387024,0.3065754318237305,100,100,0,2000,20361465
step-000000,0,spatial,paired_preference,vision,background_matched_aux,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20361564
step-000000,0,spatial,mean_margin,vision,background_matched_aux,200,0.13037782907485962,-0.03439205884933472,0.16476988792419434,0.1469573998451233,0.1821425712108612,200,0,0,2000,20361565
step-000500,4000,overall,paired_preference,vision,blind,1200,0.0025,0.0,0.0025,0.0,0.005,3,0,1197,2000,20361904
step-000500,4000,overall,mean_margin,vision,blind,1200,0.0036899462737261367,0.0,0.0036899462737261367,0.0010131002711871357,0.006364088508817892,418,545,237,2000,20361905
step-000500,4000,overall,paired_preference,vision,blank,1200,0.0025,0.0,0.0025,0.0,0.005833333333333334,3,0,1197,2000,20362004
step-000500,4000,overall,mean_margin,vision,blank,1200,0.0036899462737261367,0.0,0.0036899462737261367,0.0010267416662167043,0.006396593222542419,418,545,237,2000,20362005
step-000500,4000,overall,paired_preference,vision,same_image,1200,0.0025,0.0,0.0025,0.0,0.005,3,0,1197,2000,20362104
step-000500,4000,overall,mean_margin,vision,same_image,1200,0.0036899462737261367,0.0,0.0036899462737261367,0.0010131639157022786,0.006443099937978245,418,545,237,2000,20362105
step-000500,4000,overall,paired_preference,vision,shuffled_image,1200,0.0025,0.0008333333333333334,0.0016666666666666668,-0.0008333333333333334,0.005,3,1,1196,2000,20362204
step-000500,4000,overall,mean_margin,vision,shuffled_image,1200,0.0036899462737261367,-0.006454956653099207,0.010144902926825345,0.006085030039151511,0.014419843157605526,520,493,187,2000,20362205
step-000500,4000,overall,paired_preference,vision,patch_permutation,1200,0.0025,0.008333333333333333,-0.005833333333333334,-0.011666666666666667,0.0,3,10,1187,2000,20362304
step-000500,4000,overall,mean_margin,vision,patch_permutation,1200,0.0036899462737261367,0.004114573894275555,-0.00042462762054941796,-0.004166148751027992,0.003565567157334765,506,553,141,2000,20362305
step-000500,4000,overall,paired_preference,vision,paired_counterfactual_image,1200,0.0025,0.0,0.0025,0.0,0.005833333333333334,3,0,1197,2000,20362404
step-000500,4000,overall,mean_margin,vision,paired_counterfactual_image,1200,0.0036899462737261367,-0.0036899462737261367,0.0073798925474522735,0.002187701941482611,0.01304476222159373,418,545,237,2000,20362405
step-000500,4000,overall,paired_preference,vision,background_matched_aux,1200,0.0025,0.0,0.0025,0.0,0.005833333333333334,3,0,1197,2000,20362504
step-000500,4000,overall,mean_margin,vision,background_matched_aux,1200,0.0036899462737261367,0.0016433722890085674,0.0020465739847175695,0.00019002458405874056,0.0038468997811987263,456,469,275,2000,20362505
step-000500,4000,color,paired_preference,vision,blind,200,0.015,0.0,0.015,0.0,0.035,3,0,197,2000,20361914
step-000500,4000,color,mean_margin,vision,blind,200,0.00765625,0.0,0.00765625,0.00375,0.01171875,76,39,85,2000,20361915
step-000500,4000,color,paired_preference,vision,blank,200,0.015,0.0,0.015,0.0,0.035,3,0,197,2000,20362014
step-000500,4000,color,mean_margin,vision,blank,200,0.00765625,0.0,0.00765625,0.00375,0.0115625,76,39,85,2000,20362015
step-000500,4000,color,paired_preference,vision,same_image,200,0.015,0.0,0.015,0.0,0.035,3,0,197,2000,20362114
step-000500,4000,color,mean_margin,vision,same_image,200,0.00765625,0.0,0.00765625,0.00359375,0.0115625,76,39,85,2000,20362115
step-000500,4000,color,paired_preference,vision,shuffled_image,200,0.015,0.005,0.01,-0.01,0.03,3,1,196,2000,20362214
step-000500,4000,color,mean_margin,vision,shuffled_image,200,0.00765625,0.00109375,0.0065625,0.00140625,0.01171875,74,51,75,2000,20362215
step-000500,4000,color,paired_preference,vision,patch_permutation,200,0.015,0.0,0.015,0.0,0.035,3,0,197,2000,20362314
step-000500,4000,color,mean_margin,vision,patch_permutation,200,0.00765625,0.000625,0.00703125,0.00015625,0.01359375,87,63,50,2000,20362315
step-000500,4000,color,paired_preference,vision,paired_counterfactual_image,200,0.015,0.0,0.015,0.0,0.035,3,0,197,2000,20362414
step-000500,4000,color,mean_margin,vision,paired_counterfactual_image,200,0.00765625,-0.00765625,0.0153125,0.0078125,0.0228125,76,39,85,2000,20362415
step-000500,4000,color,paired_preference,vision,background_matched_aux,200,0.015,0.0,0.015,0.0,0.035,3,0,197,2000,20362514
step-000500,4000,color,mean_margin,vision,background_matched_aux,200,0.00765625,0.00421875,0.0034375,-0.00109375,0.00796875,60,53,87,2000,20362515
step-000500,4000,coordinate,paired_preference,vision,blind,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20361924
step-000500,4000,coordinate,mean_margin,vision,blind,200,0.0004347670078277588,0.0,0.0004347670078277588,-0.002012389898300171,0.0029482567310333252,96,88,16,2000,20361925
step-000500,4000,coordinate,paired_preference,vision,blank,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20362024
step-000500,4000,coordinate,mean_margin,vision,blank,200,0.0004347670078277588,0.0,0.0004347670078277588,-0.0019491839408874512,0.0028760957717895506,96,88,16,2000,20362025
step-000500,4000,coordinate,paired_preference,vision,same_image,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20362124
step-000500,4000,coordinate,mean_margin,vision,same_image,200,0.0004347670078277588,0.0,0.0004347670078277588,-0.0018931663036346436,0.002750047445297241,96,88,16,2000,20362125
step-000500,4000,coordinate,paired_preference,vision,shuffled_image,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20362224
step-000500,4000,coordinate,mean_margin,vision,shuffled_image,200,0.0004347670078277588,-0.0005857372283935547,0.0010205042362213135,-0.002572578191757202,0.0046785414218902584,99,88,13,2000,20362225
step-000500,4000,coordinate,paired_preference,vision,patch_permutation,200,0.0,0.035,-0.035,-0.065,-0.015,0,7,193,2000,20362324
step-000500,4000,coordinate,mean_margin,vision,patch_permutation,200,0.0004347670078277588,0.002137019634246826,-0.0017022526264190675,-0.008962712287902831,0.005220296382904052,98,97,5,2000,20362325
step-000500,4000,coordinate,paired_preference,vision,paired_counterfactual_image,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20362424
step-000500,4000,coordinate,mean_margin,vision,paired_counterfactual_image,200,0.0004347670078277588,-0.0004347670078277588,0.0008695340156555176,-0.0038585972785949705,0.005563919544219971,96,88,16,2000,20362425
step-000500,4000,coordinate,paired_preference,vision,background_matched_aux,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20362524
step-000500,4000,coordinate,mean_margin,vision,background_matched_aux,200,0.0004347670078277588,0.0004329657554626465,1.8012523651123046e-06,-0.004875926971435547,0.004927455186843872,115,83,2,2000,20362525
step-000500,4000,count,paired_preference,vision,blind,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20361934
step-000500,4000,count,mean_margin,vision,blind,200,-0.001093747466802597,0.0,-0.001093747466802597,-0.003749997168779373,0.0015625032782554628,53,52,95,2000,20361935
step-000500,4000,count,paired_preference,vision,blank,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20362034
step-000500,4000,count,mean_margin,vision,blank,200,-0.001093747466802597,0.0,-0.001093747466802597,-0.0037499965727329256,0.0015625019371509551,53,52,95,2000,20362035
step-000500,4000,count,paired_preference,vision,same_image,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20362134
step-000500,4000,count,mean_margin,vision,same_image,200,-0.001093747466802597,0.0,-0.001093747466802597,-0.003749997913837433,0.0015625014901161193,53,52,95,2000,20362135
step-000500,4000,count,paired_preference,vision,shuffled_image,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20362234
step-000500,4000,count,mean_margin,vision,shuffled_image,200,-0.001093747466802597,0.0004687526822090149,-0.001562500149011612,-0.00500000074505806,0.0018750037252902984,57,75,68,2000,20362235
step-000500,4000,count,paired_preference,vision,patch_permutation,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20362334
step-000500,4000,count,mean_margin,vision,patch_permutation,200,-0.001093747466802597,0.002656250149011612,-0.003749997615814209,-0.007499998509883881,-0.00015624254941940308,67,75,58,2000,20362335
step-000500,4000,count,paired_preference,vision,paired_counterfactual_image,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20362434
step-000500,4000,count,mean_margin,vision,paired_counterfactual_image,200,-0.001093747466802597,0.001093747466802597,-0.002187494933605194,-0.00718749463558197,0.0031250035762786866,53,52,95,2000,20362435
step-000500,4000,count,paired_preference,vision,background_matched_aux,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20362534
step-000500,4000,count,mean_margin,vision,background_matched_aux,200,-0.001093747466802597,-0.0001562555134296417,-0.0009374919533729553,-0.0048437432944774626,0.003125009983778,72,74,54,2000,20362535
step-000500,4000,ocr,paired_preference,vision,blind,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20361944
step-000500,4000,ocr,mean_margin,vision,blind,200,-0.003028946728933387,0.0,-0.003028946728933387,-0.006585042340414864,0.0008426326797122486,94,106,0,2000,20361945
step-000500,4000,ocr,paired_preference,vision,blank,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20362044
step-000500,4000,ocr,mean_margin,vision,blank,200,-0.003028946728933387,0.0,-0.003028946728933387,-0.0068469300497145304,0.0005341970807030394,94,106,0,2000,20362045
step-000500,4000,ocr,paired_preference,vision,same_image,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20362144
step-000500,4000,ocr,mean_margin,vision,same_image,200,-0.003028946728933387,0.0,-0.003028946728933387,-0.007048984720593359,0.0005922600541796585,94,106,0,2000,20362145
step-000500,4000,ocr,paired_preference,vision,shuffled_image,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20362244
step-000500,4000,ocr,mean_margin,vision,shuffled_image,200,-0.003028946728933387,-0.0013904134773072463,-0.0016385332516261409,-0.006601748545964553,0.003071527640024798,93,107,0,2000,20362245
step-000500,4000,ocr,paired_preference,vision,patch_permutation,200,0.0,0.005,-0.005,-0.015,0.0,0,1,199,2000,20362344
step-000500,4000,ocr,mean_margin,vision,patch_permutation,200,-0.003028946728933387,-0.013616073290507028,0.010587126561573639,0.003132931652523253,0.01781411181177415,108,92,0,2000,20362345
step-000500,4000,ocr,paired_preference,vision,paired_counterfactual_image,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20362444
step-000500,4000,ocr,mean_margin,vision,paired_counterfactual_image,200,-0.003028946728933387,0.003028946728933387,-0.006057893457866774,-0.013710861592065679,0.001267420768737866,94,106,0,2000,20362445
step-000500,4000,ocr,paired_preference,vision,background_matched_aux,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20362544
step-000500,4000,ocr,mean_margin,vision,background_matched_aux,200,-0.003028946728933387,-0.002879864056905093,-0.0001490826720282945,-0.003975935527256553,0.003821105241775532,101,99,0,2000,20362545
step-000500,4000,shape,paired_preference,vision,blind,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20361954
step-000500,4000,shape,mean_margin,vision,blind,200,0.039531238079071045,0.0,0.039531238079071045,0.02671873986721039,0.05328123867511749,99,60,41,2000,20361955
step-000500,4000,shape,paired_preference,vision,blank,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20362054
step-000500,4000,shape,mean_margin,vision,blank,200,0.039531238079071045,0.0,0.039531238079071045,0.026249993443489075,0.05281248271465302,99,60,41,2000,20362055
step-000500,4000,shape,paired_preference,vision,same_image,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20362154
step-000500,4000,shape,mean_margin,vision,same_image,200,0.039531238079071045,0.0,0.039531238079071045,0.026718733310699464,0.05328124165534973,99,60,41,2000,20362155
step-000500,4000,shape,paired_preference,vision,shuffled_image,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20362254
step-000500,4000,shape,mean_margin,vision,shuffled_image,200,0.039531238079071045,-0.011093756556510926,0.05062499463558197,0.030156243443489075,0.07187500476837158,97,72,31,2000,20362255
step-000500,4000,shape,paired_preference,vision,patch_permutation,200,0.0,0.01,-0.01,-0.025,0.0,0,2,198,2000,20362354
step-000500,4000,shape,mean_margin,vision,patch_permutation,200,0.039531238079071045,0.0356249862909317,0.003906251788139343,-0.011093756556510926,0.019375003576278686,88,88,24,2000,20362355
step-000500,4000,shape,paired_preference,vision,paired_counterfactual_image,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20362454
step-000500,4000,shape,mean_margin,vision,paired_counterfactual_image,200,0.039531238079071045,-0.039531238079071045,0.07906247615814209,0.05406247019767761,0.10593746542930603,99,60,41,2000,20362455
step-000500,4000,shape,paired_preference,vision,background_matched_aux,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20362554
step-000500,4000,shape,mean_margin,vision,background_matched_aux,200,0.039531238079071045,0.042031239867210385,-0.0025000017881393432,-0.00781249463558197,0.00265625,58,60,82,2000,20362555
step-000500,4000,spatial,paired_preference,vision,blind,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20361964
step-000500,4000,spatial,mean_margin,vision,blind,200,-0.021359883248806,0.0,-0.021359883248806,-0.025173065662384034,-0.017859200835227965,0,200,0,2000,20361965
step-000500,4000,spatial,paired_preference,vision,blank,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20362064
step-000500,4000,spatial,mean_margin,vision,blank,200,-0.021359883248806,0.0,-0.021359883248806,-0.024995186179876328,-0.01787086859345436,0,200,0,2000,20362065
