checkpoint,optimizer_steps,examples_seen,task,condition,samples,pairs,sample_preference_accuracy,paired_preference_accuracy,mean_correct_margin,median_correct_margin,mean_correct_token_nll,mean_counterfactual_token_nll
step-000000,0,0,shape,patch_permutation,400,200,0.5325,0.085,0.3169531226158142,0.25,11.499344511032104,11.816297633647919
step-000000,0,0,spatial,patch_permutation,400,200,0.5,0.0,0.03927046895027161,0.10517263412475586,9.15658056139946,9.195851030349731
step-000000,0,0,overall,paired_counterfactual_image,2400,1200,0.49125,0.015833333333333335,-0.012338334139377355,-0.03125,7.844244038052502,7.831905703913124
step-000000,0,0,color,paired_counterfactual_image,400,200,0.5275,0.07,0.05343745470046997,0.0625,7.598023648262024,7.651461102962494
step-000000,0,0,coordinate,paired_counterfactual_image,400,200,0.465,0.0,0.027265390157699586,-0.1022796630859375,10.021087515354157,10.048352905511855
step-000000,0,0,count,paired_counterfactual_image,400,200,0.485,0.0,-0.012656247019767761,0.0,2.196648319065571,2.183992072045803
step-000000,0,0,ocr,paired_counterfactual_image,400,200,0.4975,0.025,-0.0331831223737626,-0.010843276977538174,8.7536747678348,8.720491645461037
step-000000,0,0,shape,paired_counterfactual_image,400,200,0.4725,0.0,0.0214843487739563,-0.0625,10.332696323394776,10.35418067216873
step-000000,0,0,spatial,paired_counterfactual_image,400,200,0.5,0.0,-0.13037782907485962,-0.11798739433288574,8.163333654403687,8.032955825328827
step-000000,0,0,overall,background_matched_aux,2400,1200,0.48833333333333334,0.019166666666666665,-0.016357626125453013,0.0,7.7208278671422645,7.704470241016811
step-000000,0,0,color,background_matched_aux,400,200,0.46,0.035,-0.06851561784744263,-0.0625,8.374062027931213,8.305546410083771
step-000000,0,0,coordinate,background_matched_aux,400,200,0.4975,0.03,0.045272074937820435,0.0,9.02805585384369,9.07332792878151
step-000000,0,0,count,background_matched_aux,400,200,0.4575,0.005,0.026875002682209014,0.0,1.9089634546637535,1.9358384573459626
step-000000,0,0,ocr,background_matched_aux,400,200,0.515,0.045,0.042224249510538006,0.13393764495849592,8.673081762802033,8.715306012312572
step-000000,0,0,shape,background_matched_aux,400,200,0.5,0.0,-0.10960940718650818,0.125,10.696968022584915,10.587358615398408
step-000000,0,0,spatial,background_matched_aux,400,200,0.5,0.0,-0.03439205884933472,-0.10631799697875977,7.643836081027985,7.60944402217865
step-000500,500,4000,overall,vision,2400,1200,0.4995833333333333,0.0025,0.0036899462737261367,0.0,3.8192755056700065,3.8229654519437326
step-000500,500,4000,color,vision,400,200,0.5025,0.015,0.00765625,0.0625,2.8968644231557845,2.9045206731557847
step-000500,500,4000,coordinate,vision,400,200,0.5,0.0,0.0004347670078277588,-0.01300191879272461,5.251594489812851,5.252029256820679
step-000500,500,4000,count,vision,400,200,0.495,0.0,-0.001093747466802597,0.0,1.22929424315691,1.2282004956901074
step-000500,500,4000,ocr,vision,400,200,0.5,0.0,-0.003028946728933387,0.0011116981506344992,7.099332795608611,7.096303848879678
step-000500,500,4000,shape,vision,400,200,0.5,0.0,0.039531238079071045,-0.03125,3.861896241903305,3.901427479982376
step-000500,500,4000,spatial,vision,400,200,0.5,0.0,-0.021359883248806,-2.9802322387695312e-08,2.576670840382576,2.55531095713377
step-000500,500,4000,overall,blind,2400,1200,0.4979166666666667,0.0,0.0,0.0,10.398102144318914,10.398102144318914
step-000500,500,4000,color,blind,400,200,0.5,0.0,0.0,0.0,12.21103588104248,12.21103588104248
step-000500,500,4000,coordinate,blind,400,200,0.5,0.0,0.0,0.0,12.75480099439621,12.75480099439621
step-000500,500,4000,count,blind,400,200,0.4875,0.0,0.0,0.0,4.198449039459229,4.198449039459229
step-000500,500,4000,ocr,blind,400,200,0.5,0.0,0.0,0.0,9.212698685634704,9.212698685634704
step-000500,500,4000,shape,blind,400,200,0.5,0.0,0.0,0.0,10.13686954498291,10.13686954498291
step-000500,500,4000,spatial,blind,400,200,0.5,0.0,0.0,0.0,13.87475872039795,13.87475872039795
step-000500,500,4000,overall,blank,2400,1200,0.49875,0.0,0.0,0.0,3.7257871058136227,3.7257871058136227
step-000500,500,4000,color,blank,400,200,0.5,0.0,0.0,0.0,2.9717743587493897,2.9717743587493897
step-000500,500,4000,coordinate,blank,400,200,0.5,0.0,0.0,0.0,4.852939796447754,4.852939796447754
step-000500,500,4000,count,blank,400,200,0.4925,0.0,0.0,0.0,1.218141827136278,1.218141827136278
step-000500,500,4000,ocr,blank,400,200,0.5,0.0,0.0,0.0,7.051769501447677,7.051769501447677
step-000500,500,4000,shape,blank,400,200,0.5,0.0,0.0,0.0,3.694152039885521,3.694152039885521
step-000500,500,4000,spatial,blank,400,200,0.5,0.0,0.0,0.0,2.5659451112151146,2.5659451112151146
step-000500,500,4000,overall,same_image,2400,1200,0.49875,0.0,0.0,0.0,3.788653104489048,3.788653104489048
step-000500,500,4000,color,same_image,400,200,0.5,0.0,0.0,0.0,2.9602810287475587,2.9602810287475587
step-000500,500,4000,coordinate,same_image,400,200,0.5,0.0,0.0,0.0,5.249478070735932,5.249478070735932
step-000500,500,4000,count,same_image,400,200,0.4925,0.0,0.0,0.0,1.2204010491073132,1.2204010491073132
step-000500,500,4000,ocr,same_image,400,200,0.5,0.0,0.0,0.0,6.846393106341362,6.846393106341362
step-000500,500,4000,shape,same_image,400,200,0.5,0.0,0.0,0.0,3.8381451416015624,3.8381451416015624
step-000500,500,4000,spatial,same_image,400,200,0.5,0.0,0.0,0.0,2.6172202304005623,2.6172202304005623
step-000500,500,4000,overall,shuffled_image,2400,1200,0.4975,0.0008333333333333334,-0.006454956653099207,0.0,3.825835147837798,3.819380191184699
step-000500,500,4000,color,shuffled_image,400,200,0.4925,0.005,0.00109375,0.0,2.9015519231557847,2.9026456731557846
step-000500,500,4000,coordinate,shuffled_image,400,200,0.5,0.0,-0.0005857372283935547,0.010387659072875977,5.2520333874225615,5.2514476501941685
step-000500,500,4000,count,shuffled_image,400,200,0.4925,0.0,0.0004687526822090149,0.0,1.2294504943490028,1.229919247031212
step-000500,500,4000,ocr,shuffled_image,400,200,0.5,0.0,-0.0013904134773072463,0.0016326268513990883,7.0971567847728725,7.095766371295566
step-000500,500,4000,shape,shuffled_image,400,200,0.5,0.0,-0.011093756556510926,0.0,3.8967399901151656,3.8856462335586546
step-000500,500,4000,spatial,shuffled_image,400,200,0.5,0.0,-0.02722233533859253,-0.06250002980232239,2.578078307211399,2.5508559718728065
step-000500,500,4000,overall,patch_permutation,2400,1200,0.49375,0.008333333333333333,0.004114573894275555,0.0,3.9021425524640176,3.9062571263582937
step-000500,500,4000,color,patch_permutation,400,200,0.4775,0.0,0.000625,0.0,3.007845103740692,3.008470103740692
step-000500,500,4000,coordinate,patch_permutation,400,200,0.51,0.035,0.002137019634246826,0.014571189880371094,5.3113261926174165,5.313463212251663
step-000500,500,4000,count,patch_permutation,400,200,0.4925,0.0,0.002656250149011612,0.0,1.2303808619081975,1.233037112057209
step-000500,500,4000,ocr,patch_permutation,400,200,0.5,0.005,-0.013616073290507028,0.002617518107096206,7.064549205325899,7.050933132035392
step-000500,500,4000,shape,patch_permutation,400,200,0.4825,0.01,0.0356249862909317,-0.0625,4.036825175881386,4.072450162172317
step-000500,500,4000,spatial,patch_permutation,400,200,0.5,0.0,-0.002739739418029785,0.0,2.7619287753105164,2.7591890358924864
step-000500,500,4000,overall,paired_counterfactual_image,2400,1200,0.4975,0.0,-0.0036899462737261367,0.0,3.8229654519437326,3.8192755056700065
step-000500,500,4000,color,paired_counterfactual_image,400,200,0.4925,0.0,-0.00765625,-0.0625,2.9045206731557847,2.8968644231557845
step-000500,500,4000,coordinate,paired_counterfactual_image,400,200,0.5,0.0,-0.0004347670078277588,0.01300191879272461,5.252029256820679,5.251594489812851
step-000500,500,4000,count,paired_counterfactual_image,400,200,0.4925,0.0,0.001093747466802597,0.0,1.2282004956901074,1.22929424315691
step-000500,500,4000,ocr,paired_counterfactual_image,400,200,0.5,0.0,0.003028946728933387,-0.0011116981506344992,7.096303848879678,7.099332795608611
step-000500,500,4000,shape,paired_counterfactual_image,400,200,0.5,0.0,-0.039531238079071045,0.03125,3.901427479982376,3.861896241903305
step-000500,500,4000,spatial,paired_counterfactual_image,400,200,0.5,0.0,0.021359883248806,2.9802322387695312e-08,2.55531095713377,2.576670840382576
step-000500,500,4000,overall,background_matched_aux,2400,1200,0.4975,0.0,0.0016433722890085674,0.0,3.8398657435919086,3.841509115880917
step-000500,500,4000,color,background_matched_aux,400,200,0.495,0.0,0.00421875,0.0,2.9173979544639588,2.921616704463959
step-000500,500,4000,coordinate,background_matched_aux,400,200,0.5,0.0,0.0004329657554626465,-0.01447916030883789,5.283912885189056,5.284345850944519
step-000500,500,4000,count,background_matched_aux,400,200,0.495,0.0,-0.0001562555134296417,0.0,1.230381906181574,1.2302256506681442
step-000500,500,4000,ocr,background_matched_aux,400,200,0.495,0.0,-0.002879864056905093,-0.0172806580861411,7.078518837985538,7.0756389739286325
step-000500,500,4000,shape,background_matched_aux,400,200,0.5,0.0,0.042031239867210385,-0.03125,3.9243007451295853,3.9663319849967955
step-000500,500,4000,spatial,background_matched_aux,400,200,0.5,0.0,-0.033786602318286896,0.0,2.604682132601738,2.570895530283451
step-001000,1000,8000,overall,vision,2400,1200,0.49916666666666665,0.005833333333333334,0.006445234641196237,0.0,3.723288738736085,3.729733973377281
step-001000,1000,8000,color,vision,400,200,0.495,0.0,0.01328125,0.0,2.563674576282501,2.5769558262825014
step-001000,1000,8000,coordinate,vision,400,200,0.5175,0.035,-0.005395808219909668,0.0020303726196289062,5.554015047550202,5.548619239330292
step-001000,1000,8000,count,vision,400,200,0.4825,0.0,-0.0029687421023845673,0.0,1.2341006979346276,1.2311319558322429
step-001000,1000,8000,ocr,vision,400,200,0.5,0.0,-0.003527420611608587,-0.007226562500000089,7.073296620300838,7.06976919968923
step-001000,1000,8000,shape,vision,400,200,0.5,0.0,0.06031248062849045,0.03125,3.4333568635582923,3.4936693441867828
step-001000,1000,8000,spatial,vision,400,200,0.5,0.0,-0.023030351847410202,0.0,2.4812886267900467,2.4582582749426365
step-001000,1000,8000,overall,blind,2400,1200,0.4979166666666667,0.0,0.0,0.0,10.398102144318914,10.398102144318914
step-001000,1000,8000,color,blind,400,200,0.5,0.0,0.0,0.0,12.21103588104248,12.21103588104248
step-001000,1000,8000,coordinate,blind,400,200,0.5,0.0,0.0,0.0,12.75480099439621,12.75480099439621
step-001000,1000,8000,count,blind,400,200,0.4875,0.0,0.0,0.0,4.198449039459229,4.198449039459229
step-001000,1000,8000,ocr,blind,400,200,0.5,0.0,0.0,0.0,9.212698685634704,9.212698685634704
step-001000,1000,8000,shape,blind,400,200,0.5,0.0,0.0,0.0,10.13686954498291,10.13686954498291
step-001000,1000,8000,spatial,blind,400,200,0.5,0.0,0.0,0.0,13.87475872039795,13.87475872039795
step-001000,1000,8000,overall,blank,2400,1200,0.47458333333333336,0.0,0.0,0.0,3.7650844030805994,3.7650844030805994
step-001000,1000,8000,color,blank,400,200,0.5,0.0,0.0,0.0,2.6735438537597656,2.6735438537597656
step-001000,1000,8000,coordinate,blank,400,200,0.49,0.0,0.0,0.0,5.426000068187713,5.426000068187713
step-001000,1000,8000,count,blank,400,200,0.4825,0.0,0.0,0.0,1.2267447939515115,1.2267447939515115
step-001000,1000,8000,ocr,blank,400,200,0.5,0.0,0.0,0.0,7.269578111307961,7.269578111307961
step-001000,1000,8000,shape,blank,400,200,0.5,0.0,0.0,0.0,3.4773273700475693,3.4773273700475693
step-001000,1000,8000,spatial,blank,400,200,0.375,0.0,0.0,0.0,2.5173122212290764,2.5173122212290764
step-001000,1000,8000,overall,same_image,2400,1200,0.49625,0.0,0.0,0.0,3.748386511546042,3.748386511546042
step-001000,1000,8000,color,same_image,400,200,0.4775,0.0,0.0,0.0,2.6462071323394776,2.6462071323394776
step-001000,1000,8000,coordinate,same_image,400,200,0.5,0.0,0.0,0.0,5.499982534646988,5.499982534646988
step-001000,1000,8000,count,same_image,400,200,0.5,0.0,0.0,0.0,1.2241468524932861,1.2241468524932861
step-001000,1000,8000,ocr,same_image,400,200,0.5,0.0,0.0,0.0,7.053422712484995,7.053422712484995
step-001000,1000,8000,shape,same_image,400,200,0.5,0.0,0.0,0.0,3.5307043689489364,3.5307043689489364
step-001000,1000,8000,spatial,same_image,400,200,0.5,0.0,0.0,0.0,2.53585546836257,2.53585546836257
step-001000,1000,8000,overall,shuffled_image,2400,1200,0.49125,0.005,-0.001003834423328207,0.0,3.7302991291320042,3.729295294708676
step-001000,1000,8000,color,shuffled_image,400,200,0.49,0.005,-0.0009375,0.0,2.573987076282501,2.5730495762825014
step-001000,1000,8000,coordinate,shuffled_image,400,200,0.505,0.02,0.002044872045516968,0.004291534423828125,5.550037624835968,5.552082496881485
step-001000,1000,8000,count,shuffled_image,400,200,0.4825,0.0,-0.00140625,0.0,1.232381952702999,1.230975702702999
step-001000,1000,8000,ocr,shuffled_image,400,200,0.4975,0.0,-0.0014998962992713817,-0.013071441650390536,7.070895928553173,7.069396032253901
step-001000,1000,8000,shape,shuffled_image,400,200,0.4725,0.005,-0.027343752682209014,0.0,3.490388102531433,3.4630443498492243
step-001000,1000,8000,spatial,shuffled_image,400,200,0.5,0.0,0.023119520395994186,0.0,2.46410408988595,2.4872236102819443
step-001000,1000,8000,overall,patch_permutation,2400,1200,0.49333333333333335,0.006666666666666667,0.007452754718325442,0.0,3.794792734003138,3.802245488721464
step-001000,1000,8000,color,patch_permutation,400,200,0.5,0.01,0.012031249403953552,0.03125,2.5469486901164053,2.558979939520359
step-001000,1000,8000,coordinate,patch_permutation,400,200,0.5,0.025,0.01064276933670044,-0.001458883285522461,5.66145959019661,5.6721023595333095
step-001000,1000,8000,count,patch_permutation,400,200,0.4925,0.0,0.0014062517881393434,0.0,1.220284513682127,1.2216907654702664
step-001000,1000,8000,ocr,patch_permutation,400,200,0.495,0.0,-0.01648849663280305,-0.014956855773925692,7.234479710033963,7.2179912134011595
step-001000,1000,8000,shape,patch_permutation,400,200,0.4825,0.0,0.042499997913837434,-0.0625,3.500406069159508,3.542906067073345
step-001000,1000,8000,spatial,patch_permutation,400,200,0.49,0.005,-0.0053752434998750685,0.0,2.6051778308302165,2.599802587330341
step-001000,1000,8000,overall,paired_counterfactual_image,2400,1200,0.48333333333333334,0.0,-0.006445234641196237,0.0,3.729733973377281,3.723288738736085
step-001000,1000,8000,color,paired_counterfactual_image,400,200,0.4825,0.0,-0.01328125,0.0,2.5769558262825014,2.563674576282501
step-001000,1000,8000,coordinate,paired_counterfactual_image,400,200,0.4825,0.0,0.005395808219909668,-0.0020303726196289062,5.548619239330292,5.554015047550202
step-001000,1000,8000,count,paired_counterfactual_image,400,200,0.4825,0.0,0.0029687421023845673,0.0,1.2311319558322429,1.2341006979346276
step-001000,1000,8000,ocr,paired_counterfactual_image,400,200,0.5,0.0,0.003527420611608587,0.007226562500000089,7.06976919968923,7.073296620300838
step-001000,1000,8000,shape,paired_counterfactual_image,400,200,0.4525,0.0,-0.06031248062849045,-0.03125,3.4936693441867828,3.4333568635582923
step-001000,1000,8000,spatial,paired_counterfactual_image,400,200,0.5,0.0,0.023030351847410202,0.0,2.4582582749426365,2.4812886267900467
step-001000,1000,8000,overall,background_matched_aux,2400,1200,0.5016666666666667,0.005,0.023610361490694304,0.006839752197265625,3.716745822090242,3.7403561835809356
step-001000,1000,8000,color,background_matched_aux,400,200,0.5,0.0,0.0125,0.03125,2.5607249188423156,2.5732249188423157
step-001000,1000,8000,coordinate,background_matched_aux,400,200,0.515,0.03,0.0004329335689544678,0.010798215866088867,5.505394142866135,5.505827076435089
step-001000,1000,8000,count,background_matched_aux,400,200,0.495,0.0,0.0006250040233135223,0.0,1.2318050095438957,1.2324300135672093
step-001000,1000,8000,ocr,background_matched_aux,400,200,0.5,0.0,-0.003601905709221248,0.006600809097289773,7.088804903825125,7.085202998115903
step-001000,1000,8000,shape,background_matched_aux,400,200,0.5,0.0,0.10500003755092621,0.03125,3.455875559747219,3.5608755972981454
step-001000,1000,8000,spatial,background_matched_aux,400,200,0.5,0.0,0.02670609951019287,0.0625,2.4578703977167606,2.4845764972269535
step-001500,1500,12000,overall,vision,2400,1200,0.4870833333333333,0.021666666666666667,0.017687294908459227,-0.0625,3.5826314686480023,3.6003187635564617
step-001500,1500,12000,color,vision,400,200,0.49,0.0,0.012968751192092896,0.0,2.507498745918274,2.5204674971103667
step-001500,1500,12000,coordinate,vision,400,200,0.5,0.0,-0.006257575750350952,-0.0042073726654052734,5.35473445892334,5.348476883172989
step-001500,1500,12000,count,vision,400,200,0.5,0.0,0.0057812540233135225,0.0,1.24555445805192,1.2513357120752335
step-001500,1500,12000,ocr,vision,400,200,0.4925,0.0,0.001912658680053002,-0.019443941116333185,7.003175762142454,7.005088420822506
step-001500,1500,12000,shape,vision,400,200,0.565,0.13,0.1329687276482582,0.09375,2.9946586161851885,3.1276273438334465
step-001500,1500,12000,spatial,vision,400,200,0.375,0.0,-0.04125004634261131,-0.125,2.3901667706668377,2.3489167243242264
step-001500,1500,12000,overall,blind,2400,1200,0.4979166666666667,0.0,0.0,0.0,10.398102144318914,10.398102144318914
step-001500,1500,12000,color,blind,400,200,0.5,0.0,0.0,0.0,12.21103588104248,12.21103588104248
step-001500,1500,12000,coordinate,blind,400,200,0.5,0.0,0.0,0.0,12.75480099439621,12.75480099439621
step-001500,1500,12000,count,blind,400,200,0.4875,0.0,0.0,0.0,4.198449039459229,4.198449039459229
step-001500,1500,12000,ocr,blind,400,200,0.5,0.0,0.0,0.0,9.212698685634704,9.212698685634704
step-001500,1500,12000,shape,blind,400,200,0.5,0.0,0.0,0.0,10.13686954498291,10.13686954498291
step-001500,1500,12000,spatial,blind,400,200,0.5,0.0,0.0,0.0,13.87475872039795,13.87475872039795
step-001500,1500,12000,overall,blank,2400,1200,0.48875,0.0,0.0,0.0,3.7129420183137767,3.7129420183137767
step-001500,1500,12000,color,blank,400,200,0.5,0.0,0.0,0.0,2.70939151763916,2.70939151763916
step-001500,1500,12000,coordinate,blank,400,200,0.5,0.0,0.0,0.0,5.052262908220291,5.052262908220291
step-001500,1500,12000,count,blank,400,200,0.5,0.0,0.0,0.0,1.32135892868042,1.32135892868042
step-001500,1500,12000,ocr,blank,400,200,0.4975,0.0,0.0,0.0,7.007404163054058,7.007404163054058
step-001500,1500,12000,shape,blank,400,200,0.435,0.0,0.0,0.0,3.6569536781311034,3.6569536781311034
step-001500,1500,12000,spatial,blank,400,200,0.5,0.0,0.0,0.0,2.530280914157629,2.530280914157629
step-001500,1500,12000,overall,same_image,2400,1200,0.49041666666666667,0.0,0.0,0.0,3.6018176656436354,3.6018176656436354
step-001500,1500,12000,color,same_image,400,200,0.4625,0.0,0.0,0.0,2.5574460411071778,2.5574460411071778
step-001500,1500,12000,coordinate,same_image,400,200,0.4875,0.0,0.0,0.0,5.202413258552551,5.202413258552551
step-001500,1500,12000,count,same_image,400,200,0.4925,0.0,0.0,0.0,1.2549863992631436,1.2549863992631436
step-001500,1500,12000,ocr,same_image,400,200,0.5,0.0,0.0,0.0,6.840395231825965,6.840395231825965
step-001500,1500,12000,shape,same_image,400,200,0.5,0.0,0.0,0.0,3.3306077003479,3.3306077003479
step-001500,1500,12000,spatial,same_image,400,200,0.5,0.0,0.0,0.0,2.4250573627650738,2.4250573627650738
step-001500,1500,12000,overall,shuffled_image,2400,1200,0.49333333333333335,0.0025,-0.008209860454712595,0.0,3.6006410680578815,3.592431207603169
step-001500,1500,12000,color,shuffled_image,400,200,0.4825,0.0,-0.0018749994039535523,0.0,2.5062487456202507,2.504373746216297
step-001500,1500,12000,coordinate,shuffled_image,400,200,0.495,0.0,0.00093794584274292,-0.015387535095214844,5.350385061502457,5.3513230073452
step-001500,1500,12000,count,shuffled_image,400,200,0.5,0.0,0.0023437485098838804,2.9802322387695312e-08,1.2489919623732566,1.2513357108831407
step-001500,1500,12000,ocr,shuffled_image,400,200,0.5,0.0,-0.0015519225937979575,-0.0016600131988524502,7.0108652161757155,7.009313293581918
step-001500,1500,12000,shape,shuffled_image,400,200,0.4825,0.015,-0.024531247317790984,0.0,3.103877347409725,3.079346100091934
step-001500,1500,12000,spatial,shuffled_image,400,200,0.5,0.0,-0.02458268776535988,-0.0625,2.3834780752658844,2.3588953875005245
step-001500,1500,12000,overall,patch_permutation,2400,1200,0.4875,0.005,-0.003392716131986136,-0.0625,3.676376763956533,3.672984047824546
step-001500,1500,12000,color,patch_permutation,400,200,0.495,0.02,0.013437498807907105,0.0,2.603193732202053,2.61663123100996
step-001500,1500,12000,coordinate,patch_permutation,400,200,0.5025,0.005,-0.013180611133575439,0.005583524703979492,5.314317452907562,5.301136841773987
step-001500,1500,12000,count,patch_permutation,400,200,0.4975,0.0,0.0015624977648258209,-0.03125,1.248733747601509,1.2502962453663349
step-001500,1500,12000,ocr,patch_permutation,400,200,0.495,0.0,-0.022471702291851966,-0.03447111447652196,7.1335893208639956,7.111117618572145
step-001500,1500,12000,shape,patch_permutation,400,200,0.4525,0.005,0.0024999967217445374,-0.15625,3.156532666683197,3.1590326634049415
step-001500,1500,12000,spatial,patch_permutation,400,200,0.4825,0.0,-0.002203976660966873,0.0,2.601893663480878,2.599689686819911
step-001500,1500,12000,overall,paired_counterfactual_image,2400,1200,0.5095833333333334,0.04416666666666667,-0.017687294908459227,0.0625,3.6003187635564617,3.5826314686480023
step-001500,1500,12000,color,paired_counterfactual_image,400,200,0.49,0.0,-0.012968751192092896,0.0,2.5204674971103667,2.507498745918274
step-001500,1500,12000,coordinate,paired_counterfactual_image,400,200,0.5,0.0,0.006257575750350952,0.0042073726654052734,5.348476883172989,5.35473445892334
step-001500,1500,12000,count,paired_counterfactual_image,400,200,0.5,0.0,-0.0057812540233135225,0.0,1.2513357120752335,1.24555445805192
step-001500,1500,12000,ocr,paired_counterfactual_image,400,200,0.5075,0.015,-0.001912658680053002,0.019443941116333185,7.005088420822506,7.003175762142454
step-001500,1500,12000,shape,paired_counterfactual_image,400,200,0.435,0.0,-0.1329687276482582,-0.09375,3.1276273438334465,2.9946586161851885
step-001500,1500,12000,spatial,paired_counterfactual_image,400,200,0.625,0.25,0.04125004634261131,0.125,2.3489167243242264,2.3901667706668377
step-001500,1500,12000,overall,background_matched_aux,2400,1200,0.51,0.0225,0.03579688713238353,0.0625,3.588065436703345,3.623862323835729
step-001500,1500,12000,color,background_matched_aux,400,200,0.4925,0.0,0.021562503576278688,0.0,2.4876632994413375,2.509225803017616
step-001500,1500,12000,coordinate,background_matched_aux,400,200,0.515,0.03,0.009200754165649415,0.03093266487121582,5.297864693403244,5.307065447568894
step-001500,1500,12000,count,background_matched_aux,400,200,0.5,0.0,0.0018749970197677612,-2.9802322387695312e-08,1.2545166675746442,1.2563916645944118
step-001500,1500,12000,ocr,background_matched_aux,400,200,0.5,0.0,0.00398840011869159,-0.0057045618693036815,7.018306627704984,7.022295027823675
