comparison,checkpoint,site,pairs,records,mean_delta,ci95_low,ci95_high,bootstrap_samples,seed
vision_vs_random_label_probe,projector-step50,layer_06_assistant,200,400,0.32,0.28,0.36,2000,20260819
vision_vs_paired_counterfactual_image,projector-step50,layer_06_assistant,200,400,0.425,0.3675,0.4825,2000,20260928
vision_vs_shuffled_image,projector-step50,layer_06_assistant,200,400,0.325,0.2774375,0.37506249999999963,2000,20260929
vision_vs_patch_permutation,projector-step50,layer_06_assistant,200,400,0.1575,0.11,0.205,2000,20260930
vision_vs_random_label_probe,projector-step50,layer_06_image_mean,200,400,0.6425,0.6025,0.68,2000,20260820
vision_vs_paired_counterfactual_image,projector-step50,layer_06_image_mean,200,400,1.0,1.0,1.0,2000,20260938
vision_vs_shuffled_image,projector-step50,layer_06_image_mean,200,400,0.7625,0.72,0.8025,2000,20260939
vision_vs_patch_permutation,projector-step50,layer_06_image_mean,200,400,0.0,0.0,0.0,2000,20260940
vision_vs_random_label_probe,projector-step50,layer_07_assistant,200,400,0.53,0.4925,0.5675,2000,20260821
vision_vs_paired_counterfactual_image,projector-step50,layer_07_assistant,200,400,0.7025,0.655,0.75,2000,20260948
vision_vs_shuffled_image,projector-step50,layer_07_assistant,200,400,0.53,0.485,0.58,2000,20260949
vision_vs_patch_permutation,projector-step50,layer_07_assistant,200,400,0.415,0.375,0.455,2000,20260950
vision_vs_random_label_probe,projector-step50,layer_07_image_mean,200,400,0.6425,0.605,0.68,2000,20260822
vision_vs_paired_counterfactual_image,projector-step50,layer_07_image_mean,200,400,1.0,1.0,1.0,2000,20260958
vision_vs_shuffled_image,projector-step50,layer_07_image_mean,200,400,0.7625,0.7225,0.805,2000,20260959
vision_vs_patch_permutation,projector-step50,layer_07_image_mean,200,400,0.0,0.0,0.0,2000,20260960
vision_vs_random_label_probe,projector-step50,layer_08_assistant,200,400,0.245,0.21,0.28,2000,20260823
vision_vs_paired_counterfactual_image,projector-step50,layer_08_assistant,200,400,0.3275,0.275,0.38,2000,20260968
vision_vs_shuffled_image,projector-step50,layer_08_assistant,200,400,0.2575,0.2175,0.3025,2000,20260969
vision_vs_patch_permutation,projector-step50,layer_08_assistant,200,400,0.08,0.04,0.115,2000,20260970
vision_vs_random_label_probe,projector-step50,layer_08_image_mean,200,400,0.6425,0.605,0.68,2000,20260824
vision_vs_paired_counterfactual_image,projector-step50,layer_08_image_mean,200,400,1.0,1.0,1.0,2000,20260978
vision_vs_shuffled_image,projector-step50,layer_08_image_mean,200,400,0.7625,0.72,0.8025,2000,20260979
vision_vs_patch_permutation,projector-step50,layer_08_image_mean,200,400,0.0,0.0,0.0,2000,20260980
vision_vs_random_label_probe,projector-step50,layer_09_assistant,200,400,0.245,0.2125,0.28,2000,20260825
vision_vs_paired_counterfactual_image,projector-step50,layer_09_assistant,200,400,0.335,0.28493749999999995,0.3875,2000,20260988
vision_vs_shuffled_image,projector-step50,layer_09_assistant,200,400,0.2875,0.245,0.32756249999999965,2000,20260989
vision_vs_patch_permutation,projector-step50,layer_09_assistant,200,400,-0.25,-0.285,-0.215,2000,20260990
vision_vs_random_label_probe,projector-step50,layer_09_image_mean,200,400,0.6425,0.605,0.68,2000,20260826
vision_vs_paired_counterfactual_image,projector-step50,layer_09_image_mean,200,400,1.0,1.0,1.0,2000,20260998
vision_vs_shuffled_image,projector-step50,layer_09_image_mean,200,400,0.7625,0.72,0.8025,2000,20260999
vision_vs_patch_permutation,projector-step50,layer_09_image_mean,200,400,0.0,0.0,0.0,2000,20261000
vision_vs_random_label_probe,projector-step50,layer_10_assistant,200,400,0.245,0.21,0.28,2000,20260827
vision_vs_paired_counterfactual_image,projector-step50,layer_10_assistant,200,400,0.335,0.285,0.3875,2000,20261008
vision_vs_shuffled_image,projector-step50,layer_10_assistant,200,400,0.2875,0.2475,0.32756249999999965,2000,20261009
vision_vs_patch_permutation,projector-step50,layer_10_assistant,200,400,-0.01,-0.0225,0.0,2000,20261010
vision_vs_random_label_probe,projector-step50,layer_10_image_mean,200,400,0.6425,0.6,0.6800624999999997,2000,20260828
vision_vs_paired_counterfactual_image,projector-step50,layer_10_image_mean,200,400,1.0,1.0,1.0,2000,20261018
vision_vs_shuffled_image,projector-step50,layer_10_image_mean,200,400,0.7625,0.7225,0.8025,2000,20261019
vision_vs_patch_permutation,projector-step50,layer_10_image_mean,200,400,0.0,0.0,0.0,2000,20261020
vision_vs_random_label_probe,projector-step50,layer_11_assistant,200,400,0.325,0.2499375,0.3925,2000,20260829
vision_vs_paired_counterfactual_image,projector-step50,layer_11_assistant,200,400,0.425,0.3724375,0.4825,2000,20261028
vision_vs_shuffled_image,projector-step50,layer_11_assistant,200,400,0.325,0.2725,0.375,2000,20261029
vision_vs_patch_permutation,projector-step50,layer_11_assistant,200,400,0.2175,0.18,0.25506249999999964,2000,20261030
vision_vs_random_label_probe,projector-step50,layer_11_image_mean,200,400,0.6425,0.6025,0.68,2000,20260830
vision_vs_paired_counterfactual_image,projector-step50,layer_11_image_mean,200,400,1.0,1.0,1.0,2000,20261038
vision_vs_shuffled_image,projector-step50,layer_11_image_mean,200,400,0.7625,0.72,0.8025,2000,20261039
vision_vs_patch_permutation,projector-step50,layer_11_image_mean,200,400,0.0,0.0,0.0,2000,20261040
vision_vs_random_label_probe,projector-step50,layer_12_assistant,200,400,0.59,0.5325,0.645,2000,20260831
vision_vs_paired_counterfactual_image,projector-step50,layer_12_assistant,200,400,0.62,0.5675,0.6725,2000,20261048
vision_vs_shuffled_image,projector-step50,layer_12_assistant,200,400,0.48,0.43,0.5325,2000,20261049
vision_vs_patch_permutation,projector-step50,layer_12_assistant,200,400,0.0625,0.0275,0.0975,2000,20261050
vision_vs_random_label_probe,projector-step50,layer_12_image_mean,200,400,0.6425,0.6025,0.68,2000,20260832
vision_vs_paired_counterfactual_image,projector-step50,layer_12_image_mean,200,400,1.0,1.0,1.0,2000,20261058
vision_vs_shuffled_image,projector-step50,layer_12_image_mean,200,400,0.7625,0.7225,0.8,2000,20261059
vision_vs_patch_permutation,projector-step50,layer_12_image_mean,200,400,0.0,0.0,0.0,2000,20261060
vision_vs_random_label_probe,projector-step50,layer_13_assistant,200,400,0.53,0.4925,0.5675,2000,20260833
vision_vs_paired_counterfactual_image,projector-step50,layer_13_assistant,200,400,0.7075,0.66,0.7575,2000,20261068
vision_vs_shuffled_image,projector-step50,layer_13_assistant,200,400,0.535,0.49,0.5825,2000,20261069
vision_vs_patch_permutation,projector-step50,layer_13_assistant,200,400,0.02,0.0075,0.035,2000,20261070
vision_vs_random_label_probe,projector-step50,layer_13_image_mean,200,400,0.6425,0.6025,0.6825,2000,20260834
vision_vs_paired_counterfactual_image,projector-step50,layer_13_image_mean,200,400,1.0,1.0,1.0,2000,20261078
vision_vs_shuffled_image,projector-step50,layer_13_image_mean,200,400,0.7625,0.72,0.8,2000,20261079
vision_vs_patch_permutation,projector-step50,layer_13_image_mean,200,400,0.0,0.0,0.0,2000,20261080
vision_vs_random_label_probe,projector-step50,layer_14_assistant,200,400,0.285,0.2524375,0.3175,2000,20260835
vision_vs_paired_counterfactual_image,projector-step50,layer_14_assistant,200,400,0.7025,0.655,0.75,2000,20261088
vision_vs_shuffled_image,projector-step50,layer_14_assistant,200,400,0.53,0.4825,0.575,2000,20261089
vision_vs_patch_permutation,projector-step50,layer_14_assistant,200,400,0.0475,0.0275,0.0675,2000,20261090
vision_vs_random_label_probe,projector-step50,layer_14_image_mean,200,400,0.6425,0.6025,0.68,2000,20260836
vision_vs_paired_counterfactual_image,projector-step50,layer_14_image_mean,200,400,1.0,1.0,1.0,2000,20261098
vision_vs_shuffled_image,projector-step50,layer_14_image_mean,200,400,0.7625,0.7225,0.8,2000,20261099
vision_vs_patch_permutation,projector-step50,layer_14_image_mean,200,400,0.0,0.0,0.0,2000,20261100
vision_vs_random_label_probe,projector-step50,layer_15_assistant,200,400,0.5,0.4525,0.5450624999999997,2000,20260837
vision_vs_paired_counterfactual_image,projector-step50,layer_15_assistant,200,400,0.82,0.775,0.865,2000,20261108
vision_vs_shuffled_image,projector-step50,layer_15_assistant,200,400,0.64,0.5875,0.6925,2000,20261109
vision_vs_patch_permutation,projector-step50,layer_15_assistant,200,400,0.115,0.0825,0.145,2000,20261110
vision_vs_random_label_probe,projector-step50,layer_15_image_mean,200,400,0.6425,0.6025,0.68,2000,20260838
vision_vs_paired_counterfactual_image,projector-step50,layer_15_image_mean,200,400,1.0,1.0,1.0,2000,20261118
vision_vs_shuffled_image,projector-step50,layer_15_image_mean,200,400,0.7625,0.72,0.8025,2000,20261119
vision_vs_patch_permutation,projector-step50,layer_15_image_mean,200,400,0.0,0.0,0.0,2000,20261120
vision_vs_random_label_probe,projector-step50,layer_16_assistant,200,400,0.87,0.84,0.9,2000,20260839
vision_vs_paired_counterfactual_image,projector-step50,layer_16_assistant,200,400,0.82,0.7725,0.865,2000,20261128
vision_vs_shuffled_image,projector-step50,layer_16_assistant,200,400,0.64,0.5875,0.69,2000,20261129
vision_vs_patch_permutation,projector-step50,layer_16_assistant,200,400,0.1075,0.075,0.14,2000,20261130
vision_vs_random_label_probe,projector-step50,layer_16_image_mean,200,400,0.585,0.5425,0.6275,2000,20260840
vision_vs_paired_counterfactual_image,projector-step50,layer_16_image_mean,200,400,1.0,1.0,1.0,2000,20261138
vision_vs_shuffled_image,projector-step50,layer_16_image_mean,200,400,0.7625,0.7225,0.8025,2000,20261139
vision_vs_patch_permutation,projector-step50,layer_16_image_mean,200,400,0.0,0.0,0.0,2000,20261140
vision_vs_random_label_probe,projector-step50,layer_17_assistant,200,400,0.715,0.68,0.7475,2000,20260841
vision_vs_paired_counterfactual_image,projector-step50,layer_17_assistant,200,400,1.0,1.0,1.0,2000,20261148
vision_vs_shuffled_image,projector-step50,layer_17_assistant,200,400,0.7625,0.7225,0.8,2000,20261149
vision_vs_patch_permutation,projector-step50,layer_17_assistant,200,400,0.25,0.2075,0.29,2000,20261150
vision_vs_random_label_probe,projector-step50,layer_17_image_mean,200,400,0.6425,0.605,0.68,2000,20260842
vision_vs_paired_counterfactual_image,projector-step50,layer_17_image_mean,200,400,1.0,1.0,1.0,2000,20261158
vision_vs_shuffled_image,projector-step50,layer_17_image_mean,200,400,0.7625,0.7225,0.8025,2000,20261159
vision_vs_patch_permutation,projector-step50,layer_17_image_mean,200,400,0.0,0.0,0.0,2000,20261160
vision_vs_random_label_probe,projector-step50,layer_18_assistant,200,400,0.715,0.6825,0.75,2000,20260843
vision_vs_paired_counterfactual_image,projector-step50,layer_18_assistant,200,400,1.0,1.0,1.0,2000,20261168
vision_vs_shuffled_image,projector-step50,layer_18_assistant,200,400,0.7625,0.7225,0.8025,2000,20261169
vision_vs_patch_permutation,projector-step50,layer_18_assistant,200,400,0.145,0.1125,0.175,2000,20261170
vision_vs_random_label_probe,projector-step50,layer_18_image_mean,200,400,0.6425,0.605,0.6825,2000,20260844
vision_vs_paired_counterfactual_image,projector-step50,layer_18_image_mean,200,400,1.0,1.0,1.0,2000,20261178
vision_vs_shuffled_image,projector-step50,layer_18_image_mean,200,400,0.7625,0.72,0.8025,2000,20261179
vision_vs_patch_permutation,projector-step50,layer_18_image_mean,200,400,0.0,0.0,0.0,2000,20261180
vision_vs_random_label_probe,projector-step50,layer_19_assistant,200,400,0.87,0.84,0.9,2000,20260845
vision_vs_paired_counterfactual_image,projector-step50,layer_19_assistant,200,400,0.82,0.775,0.865,2000,20261188
vision_vs_shuffled_image,projector-step50,layer_19_assistant,200,400,0.64,0.5875,0.69,2000,20261189
vision_vs_patch_permutation,projector-step50,layer_19_assistant,200,400,0.1875,0.1525,0.2225,2000,20261190
vision_vs_random_label_probe,projector-step50,layer_19_image_mean,200,400,0.6975,0.66,0.735,2000,20260846
vision_vs_paired_counterfactual_image,projector-step50,layer_19_image_mean,200,400,1.0,1.0,1.0,2000,20261198
vision_vs_shuffled_image,projector-step50,layer_19_image_mean,200,400,0.7625,0.7225,0.8025,2000,20261199
vision_vs_patch_permutation,projector-step50,layer_19_image_mean,200,400,0.0,0.0,0.0,2000,20261200
vision_vs_random_label_probe,projector-step50,layer_20_assistant,200,400,0.56,0.4999375,0.6175,2000,20260847
vision_vs_paired_counterfactual_image,projector-step50,layer_20_assistant,200,400,0.6075,0.555,0.6575,2000,20261208
vision_vs_shuffled_image,projector-step50,layer_20_assistant,200,400,0.5025,0.4599375,0.545,2000,20261209
vision_vs_patch_permutation,projector-step50,layer_20_assistant,200,400,0.0375,0.02,0.055,2000,20261210
vision_vs_random_label_probe,projector-step50,layer_20_image_mean,200,400,0.6425,0.605,0.6800624999999997,2000,20260848
vision_vs_paired_counterfactual_image,projector-step50,layer_20_image_mean,200,400,1.0,1.0,1.0,2000,20261218
vision_vs_shuffled_image,projector-step50,layer_20_image_mean,200,400,0.7625,0.72,0.8025,2000,20261219
vision_vs_patch_permutation,projector-step50,layer_20_image_mean,200,400,0.0,0.0,0.0,2000,20261220
vision_vs_random_label_probe,projector-step50,layer_21_assistant,200,400,0.7875,0.755,0.8225,2000,20260849
vision_vs_paired_counterfactual_image,projector-step50,layer_21_assistant,200,400,1.0,1.0,1.0,2000,20261228
vision_vs_shuffled_image,projector-step50,layer_21_assistant,200,400,0.7625,0.72,0.8025,2000,20261229
vision_vs_patch_permutation,projector-step50,layer_21_assistant,200,400,0.25,0.215,0.285,2000,20261230
vision_vs_random_label_probe,projector-step50,layer_21_image_mean,200,400,0.6425,0.6025,0.6825,2000,20260850
vision_vs_paired_counterfactual_image,projector-step50,layer_21_image_mean,200,400,1.0,1.0,1.0,2000,20261238
vision_vs_shuffled_image,projector-step50,layer_21_image_mean,200,400,0.7625,0.72,0.8025,2000,20261239
vision_vs_patch_permutation,projector-step50,layer_21_image_mean,200,400,0.0,0.0,0.0,2000,20261240
vision_vs_random_label_probe,projector-step50,layer_22_assistant,200,400,0.4925,0.4374375,0.5475,2000,20260851
vision_vs_paired_counterfactual_image,projector-step50,layer_22_assistant,200,400,0.91,0.8725,0.9425,2000,20261248
vision_vs_shuffled_image,projector-step50,layer_22_assistant,200,400,0.7025,0.655,0.7475,2000,20261249
vision_vs_patch_permutation,projector-step50,layer_22_assistant,200,400,0.23,0.1925,0.2675,2000,20261250
vision_vs_random_label_probe,projector-step50,layer_22_image_mean,200,400,0.6425,0.6075,0.68,2000,20260852
vision_vs_paired_counterfactual_image,projector-step50,layer_22_image_mean,200,400,1.0,1.0,1.0,2000,20261258
vision_vs_shuffled_image,projector-step50,layer_22_image_mean,200,400,0.7625,0.7224375000000001,0.8025,2000,20261259
vision_vs_patch_permutation,projector-step50,layer_22_image_mean,200,400,0.0,0.0,0.0,2000,20261260
vision_vs_random_label_probe,projector-step50,layer_23_assistant,200,400,0.925,0.9,0.95,2000,20260853
vision_vs_paired_counterfactual_image,projector-step50,layer_23_assistant,200,400,1.0,1.0,1.0,2000,20261268
vision_vs_shuffled_image,projector-step50,layer_23_assistant,200,400,0.7625,0.7225,0.8025,2000,20261269
vision_vs_patch_permutation,projector-step50,layer_23_assistant,200,400,0.0825,0.0575,0.1075,2000,20261270
vision_vs_random_label_probe,projector-step50,layer_23_image_mean,200,400,0.6425,0.6025,0.68,2000,20260854
vision_vs_paired_counterfactual_image,projector-step50,layer_23_image_mean,200,400,1.0,1.0,1.0,2000,20261278
vision_vs_shuffled_image,projector-step50,layer_23_image_mean,200,400,0.7625,0.72,0.8025,2000,20261279
vision_vs_patch_permutation,projector-step50,layer_23_image_mean,200,400,0.0,0.0,0.0,2000,20261280
vision_vs_random_label_probe,projector-step50,layer_24_assistant,200,400,0.6525,0.605,0.7,2000,20260855
vision_vs_paired_counterfactual_image,projector-step50,layer_24_assistant,200,400,0.91,0.8725,0.9425,2000,20261288
vision_vs_shuffled_image,projector-step50,layer_24_assistant,200,400,0.7025,0.6525,0.75,2000,20261289
vision_vs_patch_permutation,projector-step50,layer_24_assistant,200,400,0.1275,0.0975,0.1575,2000,20261290
vision_vs_random_label_probe,projector-step50,layer_24_image_mean,200,400,0.7675,0.7325,0.8,2000,20260856
vision_vs_paired_counterfactual_image,projector-step50,layer_24_image_mean,200,400,1.0,1.0,1.0,2000,20261298
vision_vs_shuffled_image,projector-step50,layer_24_image_mean,200,400,0.7625,0.72,0.805,2000,20261299
vision_vs_patch_permutation,projector-step50,layer_24_image_mean,200,400,0.0,0.0,0.0,2000,20261300
vision_vs_random_label_probe,projector-step50,projector_center_mean,200,400,0.51,0.4675,0.5525624999999996,2000,20260857
vision_vs_paired_counterfactual_image,projector-step50,projector_center_mean,200,400,1.0,1.0,1.0,2000,20261308
vision_vs_shuffled_image,projector-step50,projector_center_mean,200,400,0.7625,0.7225,0.8025,2000,20261309
vision_vs_patch_permutation,projector-step50,projector_center_mean,200,400,0.7675,0.7325,0.8025,2000,20261310
vision_vs_random_label_probe,projector-step50,projector_global_mean,200,400,0.6425,0.605,0.68,2000,20260858
vision_vs_paired_counterfactual_image,projector-step50,projector_global_mean,200,400,1.0,1.0,1.0,2000,20261318
vision_vs_shuffled_image,projector-step50,projector_global_mean,200,400,0.7625,0.72,0.8025,2000,20261319
vision_vs_patch_permutation,projector-step50,projector_global_mean,200,400,0.0,0.0,0.0,2000,20261320
vision_vs_random_label_probe,projector-step50,projector_spatial_2x2,200,400,0.5575,0.515,0.6000624999999996,2000,20260859
vision_vs_paired_counterfactual_image,projector-step50,projector_spatial_2x2,200,400,1.0,1.0,1.0,2000,20261328
vision_vs_shuffled_image,projector-step50,projector_spatial_2x2,200,400,0.7625,0.7225,0.8000624999999997,2000,20261329
vision_vs_patch_permutation,projector-step50,projector_spatial_2x2,200,400,0.3725,0.3275,0.4175,2000,20261330
vision_vs_random_label_probe,projector-step50,tower_center_mean,200,400,0.8225,0.79,0.855,2000,20260860
vision_vs_paired_counterfactual_image,projector-step50,tower_center_mean,200,400,1.0,1.0,1.0,2000,20261338
vision_vs_shuffled_image,projector-step50,tower_center_mean,200,400,0.7625,0.7225,0.8000624999999997,2000,20261339
vision_vs_patch_permutation,projector-step50,tower_center_mean,200,400,0.1125,0.0825,0.145,2000,20261340
vision_vs_random_label_probe,projector-step50,tower_global_mean,200,400,0.7775,0.735,0.8175,2000,20260861
vision_vs_paired_counterfactual_image,projector-step50,tower_global_mean,200,400,1.0,1.0,1.0,2000,20261348
vision_vs_shuffled_image,projector-step50,tower_global_mean,200,400,0.7625,0.7225,0.8025,2000,20261349
vision_vs_patch_permutation,projector-step50,tower_global_mean,200,400,0.0,0.0,0.0,2000,20261350
vision_vs_random_label_probe,projector-step50,tower_spatial_2x2,200,400,0.705,0.6625,0.7425,2000,20260862
vision_vs_paired_counterfactual_image,projector-step50,tower_spatial_2x2,200,400,1.0,1.0,1.0,2000,20261358
vision_vs_shuffled_image,projector-step50,tower_spatial_2x2,200,400,0.7625,0.72,0.8,2000,20261359
vision_vs_patch_permutation,projector-step50,tower_spatial_2x2,200,400,0.04,0.0225,0.06,2000,20261360
